"Service","Glue($)","S3($)","CloudWatch($)","CloudTrail($)","EC2-Instances($)","Relational Database Service($)","Elastic File System($)","Managed Workflows for Apache Airflow($)","Key Management Service($)","DynamoDB($)","Config($)","GuardDuty($)","EC2-Other($)","DMS($)","Elastic Container Service for Kubernetes($)","Kinesis Analytics($)","VPC($)","Transfer Family($)","Lambda($)","Athena($)","Route 53($)","Elastic Load Balancing($)","SQS($)","Neptune($)","Kinesis($)","Secrets Manager($)","Identity and Access Management Access Analyzer($)","Cost Explorer($)","EC2 Container Registry (ECR)($)","SNS($)","Kinesis Firehose($)","ElastiCache($)","WAF($)","SES($)","Data Pipeline($)","Elastic MapReduce($)","Systems Manager($)","Service Catalog($)","Redshift($)","API Gateway($)","CloudWatch Events($)","Backup($)","Step Functions($)","Simple Workflow Service($)","Glacier($)","CloudShell($)","Tax($)","CloudFormation($)","X-Ray($)","Total costs($)"
"Service total","53600.2266454726","7659.830681583","6529.1522051758","5899.931504","3725.3615666754","2650.274421317","2065.0187903669","1912.6701887114","1645.522783344","1224.5343844691","1178.9876","1025.5863721672","960.045726434","708.288","564.71014528","515.8948874213","505.4137380917","446.4","390.478004473","375.252355","187.1071188","167.4098689134","162.9215390788","148.3914588304","120.3847403498","94.6931741939","58","35.58","22.5262195832","12.2529028743","6.972105836","6.398654076","5.999999904","1.26332","0.999999984","0.376155072","0.212525","0.1764","0.15127008","0.0494495419","0.019397","0.0002597914","0.0000645307","0.0000165843","0.0000021453","1.175e-7","0","0","0","94615.4666422693"
"2024-12-01","1396.6316222","122.9156897793","162.8632490882","36.996569","110.8121368357","96.0194487899","66.1565927417","61.5590532022","10.004826624","19.8858367534","27.534","26.7940137411","31.1072491008","22.848","28.8","16.646451612","16.765346381","14.4","0.7500241264","3.798905","6.0272892","5.4","12.5594539551","4.7883310784","3.8792726292","3.4594393536","56.2","0.02","0.7199415408","0.0748157446","0.2465199152","0.206408196","0.193548384","0.02073","0.032258064","","0.006915","0","0.00487968","0.000056","0.000626","","0.000002443","0.0000006942","0.0000000722","","0","","","2367.129502926"
"2024-12-02","809.3390651101","128.7733823468","177.6361942791","59.117687","166.027694621","102.8404052096","66.3023060291","62.0417621938","11.586459624","18.9455674596","41.259","30.886572815","31.1582045221","22.848","28.8","16.646451612","16.8470671812","14.4","1.3685071539","4.142745","6.028374","5.4000610191","4.8548170864","4.7873380784","3.8924739593","3.5844543536","","0.02","0.7199415408","0.1055216772","0.2505128269","0.206408196","0.193548384","0.07058","0.032258064","","0.006915","0","0.00487968","0.0005846105","0.000645","","0.0000022907","0.0000006942","0.0000000734","","","","","1841.1263886918"
"2024-12-03","1808.987025257","140.4740711711","183.705231536","87.930699","173.6668146736","108.6189919624","66.3874756238","61.889445471","7.214412624","19.2664602967","32.187","31.6634061004","31.1375506278","22.848","28.8","16.646451612","16.8049091536","14.4","1.1012642387","3.04031","6.025292","5.4002058826","4.6290291067","4.7851450784","3.8909145561","3.0955793536","","0.02","0.7204564766","0.0575921881","0.2510892832","0.206408196","0.193548384","0.05708","0.032258064","","0.007045","0.0028","0.00487968","0.0007649095","0.000696","","0.0000021741","0.0000004628","0.0000000686","","","0","","2886.1503062124"
"2024-12-04","3600.6482234872","174.3912879481","306.1146277045","122.172958","177.6869180788","93.9864164604","66.5063216981","62.0276818","5.832186624","28.5569236737","25.524","30.4531794722","31.6951041154","22.848","24.71014528","16.646451612","16.4455349157","14.4","7.4463330489","3.44977","6.0265976","5.4005972643","5.3381869917","4.7874050784","3.8858208427","3.5263793536","0.4","0.02","0.7230189142","0.349022402","0.2516302416","0.206408196","0.193548384","0.06864","0.032258064","0.376155072","0.00706","0.0056","0.00487968","0.0005616088","0.000666","","0.0000023498","0.0000006942","0.0000000686","0.0000000439","","0","0","4863.1465027688"
"2024-12-05","4522.312008638","147.4075903361","199.0762981354","74.400692","180.9801422119","86.2634312733","66.5006896152","60.9147811079","13.973163624","25.5674863017","38.324","29.0375039637","31.2140926127","22.848","16.8","16.646451612","16.3369487244","14.4","5.1244300878","6.814515","6.0281468","5.4002465074","4.7557286576","4.7860378784","3.8894579805","3.4090831182","","0.02","0.7240140264","0.2424968286","0.2471435641","0.206408196","0.193548384","0.08771","0.032258064","","0.006795","0.0028","0.00487968","0.0002921491","0.000828","","0.0000034068","0.0000004628","0.0000000698","","","0","","5604.9801040178"
"2024-12-06","4109.9099566362","210.6285874664","219.8092419655","116.210524","201.5801884591","84.5867397754","66.5310460593","61.0899933815","17.451141624","79.5388828967","39.823","38.1761276842","31.3908081239","22.848","16.8","16.568041816","17.8062274596","14.4","19.716248323","8.1149","6.0309592","5.4002322444","6.0513816717","4.7876248784","3.8881382045","3.2990968824","","0.02","0.7240143484","0.6742376778","0.2535523314","0.206408196","0.193548384","0.07487","0.032258064","","0.00681","0.0028","0.00487968","0.001811552","0.000672","","0.0000015999","0.0000004628","0.0000000698","","","","0","5424.6329531183"
"2024-12-07","3907.7403763295","160.0408966098","192.3277784066","59.705826","138.4470756629","82.6868859392","66.5331120562","61.5509827112","19.190475624","89.4244228578","25.6588","26.4344979442","31.2446349476","22.848","16.8","16.646451612","16.9999452003","14.4","15.7251172077","7.26118","6.0326212","5.4002366601","5.5632594273","4.7859618784","3.8940255949","3.2506440328","","0.02","0.7240158168","0.3546447309","0.2444610159","0.206408196","0.193548384","0.0106","0.032258064","","0.006795","0.0056","0.00487968","0.0000671664","0.000657","","0.0000014767","0.0000004628","0.000000071","","","","","5002.397144967"
"2024-12-08","2647.6819331738","155.004611507","179.0040653948","48.016325","141.4117639024","82.5070919352","66.5297282499","61.4642024308","14.265906624","89.8013176208","21.6002","24.8864455037","31.2457876553","22.848","16.8","16.646451612","16.7954730509","14.4","16.4669193036","2.88494","6.0356944","5.4","5.804808786","4.7867472784","3.8773335816","3.2644590328","","0.03","0.7240158168","0.3608479593","0.2457449064","0.206408196","0.193548384","0.03653","0.032258064","","0.006795","0.007","0.00487968","0.0000882519","0.00018","","0.000001872","0.0000009256","0.000000071","","","","","3701.27850517"
"2024-12-09","1911.3507981284","177.4518190471","150.2661028969","105.10435","159.3086496904","82.9201553089","66.7177895967","61.7302802373","32.343099624","35.3706884771","34.7582","28.9241440841","31.3229948717","22.848","16.8","16.646451612","16.8421278463","14.4","13.4557780437","7.345995","6.0351728","5.4017754011","5.9046553775","4.7880604784","3.9008584108","3.2877690328","","0.02","0.7240159007","0.3536311568","0.2415347312","0.206408196","0.193548384","0.0712","0.032258064","","0.006825","0.0133","0.00487968","0.0163955442","0.000715","","0.0000021985","0.0000004598","0.0000000677","","","0","","3017.1104303481"
