"Service","Glue($)","S3($)","CloudTrail($)","CloudWatch($)","EC2-Instances($)","Relational Database Service($)","Elastic File System($)","Managed Workflows for Apache Airflow($)","Key Management Service($)","Config($)","DynamoDB($)","EC2-Other($)","GuardDuty($)","Kinesis Analytics($)","DMS($)","Redshift($)","Lambda($)","VPC($)","Elastic Container Service for Kubernetes($)","Transfer Family($)","Athena($)","Route 53($)","Elastic Load Balancing($)","Kinesis($)","Neptune($)","SQS($)","Secrets Manager($)","Cost Explorer($)","Identity and Access Management Access Analyzer($)","SageMaker($)","EC2 Container Registry (ECR)($)","Elastic MapReduce($)","Kinesis Firehose($)","SNS($)","ElastiCache($)","WAF($)","SES($)","Data Pipeline($)","Service Catalog($)","Systems Manager($)","API Gateway($)","CloudWatch Events($)","Backup($)","Step Functions($)","Simple Workflow Service($)","Glacier($)","IoT($)","Tax($)","CloudFormation($)","X-Ray($)","Total costs($)"
"Service total","41527.1413320457","6524.742662213","6101.340084","6095.0182250717","3648.1602801073","2712.6309091068","2148.776761083","1759.9507051294","1618.5674615168","1327.028","920.3185986599","918.3662860992","831.0536429223","660.2083979266","639.744","612.64046015","550.2608594486","487.2482293841","470.4","403.2","232.76827","168.3791590501","151.203938708","144.4148657249","133.8767010064","123.4084487815","98.7075197418","71.11","58.2","57.9107184894","24.5297558869","23.001118644","9.3772144356","8.4532472897","6.3986540352","5.9999998464","1.54525","0.9999999744","0.2296","0.19016","0.1107936472","0.01831","0.0003660692","0.0000300369","0.0000089796","0.0000015682","0.00000108","0","0","0","81277.6310278598"
"2025-02-01","1669.61809836","185.7053976635","104.859646","248.7079404978","124.9827344024","99.6858437783","74.926372217","64.8089269018","16.9964016768","40.465","40.5149169355","32.2283872259","54.261713319","","22.848","0.005402976","16.0806517771","17.5294419778","16.8","14.4","4.3518","6.0123308","5.4","5.1269021896","4.7830597288","4.6883090656","3.2309642848","0.02","57.6","2.3636000016","0.8504576424","","0.2762055194","0.25989624","0.2285233584","0.2142857088","0.0084","0.0357142848","0","0.006765","0.000266","0.000186","0.0000130739","0.0000007853","0.0000002314","0.0000000518","","0","","","2940.8825556755"
"2025-02-02","783.2645894","182.2972165254","121.54884","248.0587480662","131.144633046","99.8748732587","75.1239803181","64.471881921","15.9944286768","43.18","42.4901536553","32.2396671018","38.7129660061","","22.848","0.005402976","16.4181678955","17.5704785846","16.8","14.4","4.25102","6.0121604","5.4","4.9482726298","4.7811627288","4.7738274876","3.2658942848","0.01","","2.3636000016","0.8504576424","","0.3202851877","0.3306733182","0.2285233584","0.2142857088","0.01193","0.0357142848","0.0056","0.006765","0.0001093401","0.000679","0.0000130739","0.0000007853","0.0000004628","0.0000000518","","","","","2004.2550021783"
"2025-02-03","1017.1621891873","187.2271924024","140.335777","260.284845234","132.0766411038","100.6334413194","75.1849796408","65.8767364105","51.1994204384","59.391","29.6277864897","32.2426325959","33.6456478458","","22.848","12.685434456","11.5163041178","16.6951413011","16.8","14.4","9.51687","6.0125928","5.4000383307","5.2443543416","4.7813079288","4.1849765638","3.4057657134","19.89","","2.3636000016","0.8526393463","0.132305088","0.3534312602","0.2640667768","0.2285233584","0.2142857088","0.05019","0.0357142848","0.0126","0.00678","0.0003983676","0.000698","0.0000130739","0.0000012674","0.0000004628","0.0000000468","","","0","","2342.7843222646"
"2025-02-04","1251.4810387759","204.5419350056","177.338741","266.3673354044","213.7476352663","100.0507862759","75.3069723963","66.1739746188","51.1449389616","63.0176","31.2681246955","35.5375207867","32.9746598508","","22.848","11.382176698","10.8814576995","16.3915769382","16.8","14.4","10.319765","6.0129656","5.4001227059","5.1970366384","4.7813069288","4.3376795467","3.3551757134","0.02","","3.0223364759","0.8630428333","21.524629792","0.3407695973","0.3714255214","0.2285233584","0.2142857088","0.09157","0.0357142848","0.0056","0.00675","0.0004950277","0.000916","0.0000130739","0.0000008726","","0.0000000478","","","0","","2727.7845991006"
"2025-02-05","1630.014831006","204.954066305","165.872303","267.6399279231","137.725185628","103.2062789175","75.481553726","66.2851594057","45.5719259616","65.3538","34.5891990218","32.834869195","31.0247794372","1.5278568496","22.848","0.005402976","13.8534318018","16.9264701687","16.8","14.4","9.64419","6.0137552","5.4001648672","5.2748135847","4.7818211288","4.5112335145","3.3721842848","0.01","","3.5836000008","0.8687368065","1.185047248","0.3457179463","0.3922200598","0.2285233584","0.2142857088","0.05857","0.0357142848","0.0098","0.006885","0.0036797615","0.000805","0.0000130739","0.0000011804","0.0000004628","0.0000000528","","","","","2992.8568038478"
"2025-02-06","2021.0649516897","193.6674229148","156.595053","255.8126927764","134.7095318454","121.9840426407","75.6442673478","65.4906055148","50.1756149616","64.4634","33.7402331448","32.458857666","30.2284455641","13.4537166118","22.848","15.227169592","14.180106981","16.9773168781","16.8","14.4","6.937575","6.016556","5.4003802503","5.3584173568","4.7819891288","4.4516081406","3.3381623801","0.05","","3.5530310022","0.8725035987","0.159136516","0.3423417849","0.3359630465","0.2285233584","0.2142857088","0.08504","0.0357142848","0.0112","0.006795","0.0107893796","0.000781","0.0000130739","0.0000003948","","0.000000051","","","","","3392.1122355852"
"2025-02-07","3732.7996974204","234.1139862059","201.749487","270.8844206068","131.8358820424","140.4771132438","75.8065748735","65.768770338","37.9987049616","58.9632","35.6702585609","32.4337954881","28.763105993","11.7745139995","22.848","26.070012552","18.0491622226","17.775494108","16.8","14.4","7.179565","6.0136812","5.4002362667","5.3466541503","4.7800767288","4.6665898912","3.3329999992","0.02","","3.5836000008","0.8744319006","","0.3476422503","0.3202393127","0.2285233584","0.2142857088","0.04168","0.0357142848","0.0112","0.006795","0.000569724","0.000691","0.0000130739","0.0000018563","","0.0000000518","","","","","5217.3873703751"
"2025-02-08","1541.7052898087","150.5763202903","97.227731","144.3222446492","120.2139467214","124.3784391212","76.0454513389","63.992408916","16.3350239616","31.518","31.5915178625","32.4357232709","22.4516395779","8.2771428576","22.848","26.070017184","15.7608974528","16.2409533336","16.8","14.4","5.13016","6.0110636","5.4","5.0928302614","4.7819621288","4.3559926156","3.1445499992","0.04","","3.5836000008","0.8747859648","","0.3115096898","0.2149468035","0.2285233584","0.2142857088","0.02297","0.0357142848","0.0042","0.006765","0.000133943","0.000186","0.0000130739","0.0000008726","0.0000004628","0.0000000513","","","","","2612.6449411661"
"2025-02-09","746.6153471952","151.6760178566","112.116274","146.1152783599","124.8553825904","153.3607349044","76.0812652859","62.5372940583","15.3956549616","27.4948","31.1536326806","32.4328566915","19.936158746","8.2771428576","22.848","26.070022296","18.5591403062","16.9791810143","16.8","14.4","4.568965","6.0111948","5.4000001333","4.917991836","4.7808793288","4.3410362498","3.1198649992","0.02","0.2","3.5836000008","0.8747859648","","0.301409845","0.200327351","0.2285233584","0.2142857088","0.01321","0.0357142848","0.0098","0.006765","0.0001198842","0.000686","0.0000130739","0.0000010249","","0.0000000534","","","","","1862.5333577016"
