"Service","Glue($)","CloudTrail($)","S3($)","CloudWatch($)","Key Management Service($)","EC2-Instances($)","Relational Database Service($)","Elastic File System($)","Managed Workflows for Apache Airflow($)","DynamoDB($)","Config($)","EC2-Other($)","GuardDuty($)","DMS($)","Elastic Container Service for Kubernetes($)","VPC($)","Kinesis Analytics($)","Transfer Family($)","Lambda($)","Athena($)","Elastic MapReduce($)","Route 53($)","Elastic Load Balancing($)","Neptune($)","SQS($)","Kinesis($)","Secrets Manager($)","Cost Explorer($)","Identity and Access Management Access Analyzer($)","EC2 Container Registry (ECR)($)","SNS($)","Kinesis Firehose($)","ElastiCache($)","WAF($)","SES($)","SageMaker($)","Data Pipeline($)","Systems Manager($)","Redshift($)","Service Catalog($)","API Gateway($)","CloudWatch Events($)","Step Functions($)","Backup($)","Simple Workflow Service($)","Glacier($)","CloudShell($)","Tax($)","CloudFormation($)","X-Ray($)","Total costs($)"
"Service total","49994.3724713181","10616.357329","8569.8419326207","6204.2087530632","4492.724742818","3919.0050378243","3006.2462457758","2080.9469197336","1961.5050168139","1386.2454334914","1175.1485","970.169656262","904.3113548639","708.288","520.8","501.3998458976","471.075323639","446.4","385.1780220658","359.6542","285.438537456","186.9292856188","167.4091886243","148.3944912304","132.895647172","122.3244253944","94.3432638559","94.28","58.8","23.0944924439","11.5947234718","6.9777342539","6.398654076","5.999999904","2.03373","1.3660730703","0.999999984","0.213915","0.15127008","0.1498","0.0295386192","0.020227","0.000457785","0.0003660697","0.0000177353","0.0000020197","1.119e-7","0","0","0","100023.7246261638"
"2025-01-01","609.32683408","176.962284","266.4035624494","226.1301026814","36.917826624","93.5460670908","82.2180689259","66.6032316264","61.974825579","30.4317135525","37.806","30.2026265142","40.61229243","22.848","16.8","15.7130039892","16.646451612","14.4","14.6238076351","5.726655","","6.03855","5.4000001333","4.7874714784","2.8105936886","3.887715171","2.9366019352","0.01","58","0.732476496","0.2396148521","0.2167381246","0.206408196","0.193548384","0.02257","","0.032258064","0.006795","0.00487968","0","0.00028","0.00067","0.0000015938","0.0000118087","0.0000004628","0.000000071","","0","","","1951.4205389294"
"2025-01-02","1763.369660186","503.168098","419.2415349759","259.4593968496","191.890131624","95.6938008306","83.3226408278","66.7406061312","62.0089780138","31.7258355491","53.815","29.9531390427","50.1959536496","22.848","16.8","15.8009674573","16.646451612","14.4","17.3326139614","14.20333","","6.0385272","5.4003414636","4.7865240784","2.6550113972","3.8959233677","2.9544019352","40.43","","0.7331037159","0.290681889","0.2225623956","0.206408196","0.193548384","0.04834","","0.032258064","0.006825","0.00487968","0","0.0003133756","0.000668","0.0000021795","0.0000118087","0.0000004628","0.000000071","","","","","3796.5164713752"
"2025-01-03","836.0810412087","419.803543","369.452706853","234.3874911813","144.105573624","95.9816565822","83.0849755779","66.7841421988","61.9766840609","31.3827497994","48.05","29.6651732005","36.5119525432","22.848","16.8","15.7243324423","16.646451612","14.4","17.8429192508","14.30588","","6.0401844","5.4005275112","4.7874204784","2.1777634864","3.8898398788","2.9662469352","5.57","","0.7349902989","0.245553744","0.2260812497","0.206408196","0.193548384","0.05509","","0.032258064","0.006945","0.00487968","0.0084","0.0003098574","0.000191","0.0000024421","0.0000118087","0.0000006942","0.0000000722","","","0","","2608.3819263162"
"2025-01-04","423.904378929","118.762836","230.8575623998","184.7346554912","24.201057624","92.0527586288","82.7844200269","66.8415151672","61.6619551409","32.0721933691","28.959","29.5389373144","26.9142562527","22.848","16.8","15.4408528709","16.646451612","14.4","18.9072237569","3.760315","","6.039094","5.4","4.7860000784","2.4921843584","3.8789352439","2.8451119352","0.02","","0.7360418112","0.2869046009","0.2238658607","0.206408196","0.193548384","0.0148","","0.032258064","0.006945","0.00487968","0.0042","0.0000601348","0.000669","0.0000031399","0.0000118087","0.0000006942","0.000000071","","","","","1539.2602916451"
"2025-01-05","845.5880093213","116.685628","229.5331521809","184.9493959121","22.849839624","92.9118213063","82.4195720606","66.8699120402","61.5131761402","31.5661120438","32.4954","29.5374869578","24.1294140495","22.848","16.8","15.4254434458","16.646451612","14.4","18.4320131234","1.766775","","6.0397672","5.4","4.7875050784","2.873266721","3.8751146316","2.9321319352","0.02","","0.7360418112","0.280203164","0.2237511545","0.206408196","0.193548384","0.01313","","0.032258064","0.007005","0.00487968","0.0042","0.0000566201","0.000669","0.0000023499","0.0000118087","0.0000006942","0.0000000722","","","","","1954.9975543829"
"2025-01-06","479.6310931796","166.446102","254.3754182604","197.8340009099","69.540828624","106.1491094899","82.8450687179","66.858509448","61.9686949149","30.1763522801","42.6434","29.568224316","27.0475472581","22.848","16.8","15.5046349054","16.646451612","14.4","17.6405501772","8.922655","","6.0392556","5.4001338909","4.7862968784","2.4019599764","3.8842564819","3.1246669352","0.03","","0.7360418112","0.2775799952","0.2270747553","0.206408196","0.193548384","0.06179","","0.032258064","0.006975","0.00487968","0.0056","0.0049981026","0.000666","0.0000019306","0.0000118087","0.0000006942","0.000000071","","","0","","1755.271045349"
"2025-01-07","893.5013078132","317.504203","287.1127725548","228.2851149616","149.605644624","95.1633567804","84.4113281557","66.893780513","61.9964131967","34.6524400281","45.4134","29.7345410696","30.2045824198","22.848","16.8","15.8945242213","16.646451612","14.4","19.3421743868","15.976075","","6.0424088","5.4004196235","4.7865882784","3.6026038289","3.8808506674","3.2341069352","0.07","","0.7367373166","0.4320655821","0.2261973635","0.206408196","0.193548384","0.04634","","0.032258064","0.007035","0.00487968","0.0042","0.000841003","0.000867","0.0000022907","0.0000118087","0.0000006942","0.000000071","","","0","","2475.2944809242"
"2025-01-08","1084.0026777959","386.405536","258.7812558121","211.4545102516","174.613965098","109.7409748927","101.1443787915","66.9616949129","62.1139411369","33.0707680602","45.7238","29.5632774195","28.3997774572","22.848","16.8","15.7360826471","16.646451612","14.4","6.6312998878","10.468785","","6.0404932","5.4005569284","4.7875330784","5.1444282765","3.883840134","3.1968869352","0.02","","0.7387395336","0.3486364775","0.2268741871","0.206408196","0.193548384","0.04768","","0.032258064","0.007005","0.00487968","0.0056","0.00200324","0.000693","0.000003082","0.0000118087","0.0000006942","0.000000071","","","0","","2725.795256746"
"2025-01-09","1272.8412165023","219.632474","231.493042563","187.7288211443","99.065313624","119.151848442","105.2606379529","67.001687022","61.9842354377","40.1765524006","30.5716","29.6313846993","30.3424306906","22.848","16.8","15.9598280824","16.646451612","14.4","16.7069702743","6.660815","","6.0392888","5.4003162127","4.7875488784","5.5899540504","3.8893277487","3.0053069352","0.02","","0.740238783","0.5152041105","0.2196293562","0.206408196","0.193548384","0.34733","","0.032258064","0.006975","0.00487968","0.0028","0.0049539308","0.000688","0.0000033845","0.0000118087","0.0000006897","0.0000000697","","","0","","2635.9099815299"
"2025-01-10","1442.7459902541","194.502802","206.45287667","197.2155457073","78.490329624","122.6101006135","96.5027991399","66.9982151995","62.0949694391","37.8857976818","29.7886","29.5763041006","28.7444019703","22.848","16.8","15.925074952","16.646451612","14.4","14.3245419863","3.08998","","6.0439544","5.4003245144","4.7856598784","5.3845881922","3.8861106295","2.9793919352","0.02","","0.7418447774","0.5022712595","0.2204249563","0.206408196","0.193548384","0.05554","","0.032258064","0.006945","0.00487968","0.0056","0.0049362795","0.000193","0.0000028375","0.0000118087","0.0000004598","0.0000000697","","","0","","2728.1176752725"
