"Service","Glue($)","CloudTrail($)","S3($)","CloudWatch($)","EC2-Instances($)","Relational Database Service($)","Elastic File System($)","Managed Workflows for Apache Airflow($)","Key Management Service($)","Config($)","Kinesis Analytics($)","GuardDuty($)","EC2-Other($)","Redshift($)","DynamoDB($)","DMS($)","Elastic Container Service for Kubernetes($)","VPC($)","Transfer Family($)","Athena($)","Lambda($)","Route 53($)","Elastic Load Balancing($)","Kinesis($)","Neptune($)","Secrets Manager($)","SQS($)","Identity and Access Management Access Analyzer($)","SageMaker($)","EC2 Container Registry (ECR)($)","Kinesis Firehose($)","SNS($)","ElastiCache($)","WAF($)","SES($)","Data Pipeline($)","Cost Explorer($)","Systems Manager($)","Service Catalog($)","API Gateway($)","CloudWatch Events($)","Backup($)","Step Functions($)","Simple Workflow Service($)","Glacier($)","CloudShell($)","Tax($)","CloudFormation($)","X-Ray($)","Total costs($)"
"Service total","26461.2973639809","7061.761737","6405.8471508707","5375.9065328691","3891.0932448931","2380.1753292163","1997.0158598241","1697.2223690105","1592.163204768","1376.5843","1112.8470275443","890.9412249342","800.2131817801","700.652562124","661.8847526622","612.136","450.1","426.8548199051","385.8","186.98608","176.2428186547","161.2910661163","146.0262512112","141.9148661305","129.0956166034","111.4635732768","106.2245403914","59.4","32.659087121","22.3079463666","9.3013749279","7.4662256344","5.418215145","5.185499388","2.70614","0.870967728","0.64","0.182734","0.1792","0.0711613398","0.017863","0.0003070262","0.000025941","0.000008069","0.0000016606","4.643e-7","0","0","0","65586.1482315787"
"2025-03-01","693.06524896","144.520526","196.8813137453","277.4757894482","118.3089962046","87.2909406248","71.6487454305","62.7341737829","29.271849816","36.229","41.5354838688","42.0225169997","29.600692212","26.069488656","25.5817075646","22.848","16.8","16.8722444585","14.4","5.28172","17.0792632949","6.0115750375","5.4","5.2351498657","4.7817822784","2.940670968","4.0868132154","58.2","1.2180645168","0.8086115136","0.3591901043","0.0471377932","0.206408196","0.193548384","0.0245","0.032258064","0.02","0.006795","0","0.0015187309","0.000338","0.0000118087","0.0000006337","0.0000002314","0.0000000674","","0","","","2065.0920754758"
"2025-03-02","716.0253610636","123.354956","178.8540127293","262.3414837887","121.0641377032","87.9135361213","71.8425375738","60.9606442771","27.179256816","34.302","41.5354838688","30.5339871265","29.6102035204","26.069492304","25.3446503417","22.848","16.8","16.7916156213","14.4","4.68617","9.0727643983","6.0190652","5.4","5.0539084772","4.7820118784","2.958550968","3.9837075841","","1.2180645168","0.8086894057","0.32026308","0.2905922845","0.206408196","0.193548384","0.03258","0.032258064","0.02","0.006795","0.0056","0.0013746108","0.000555","0.0000118087","0.0000012674","0.0000002314","0.0000000664","","","","","1952.8642792774"
"2025-03-03","810.4836439705","169.070732","217.957942543","274.75592842","132.1937970353","87.8060798937","71.9405874276","64.6992625261","32.638986816","48.117","41.5354838688","39.2080230654","29.6083573331","25.924658922","28.3444834205","22.848","16.8","17.1174199392","14.4","5.469035","19.012532258","6.0169432775","5.4000613333","5.2977336934","4.7810780784","4.022310968","4.1280555001","","1.2180645168","0.8088340124","0.3591008384","0.3454810714","0.206408196","0.193548384","0.1435","0.032258064","0.03","0.006765","0.014","0.0019007558","0.000704","0.0000118087","0.0000013108","0.0000006942","0.0000000665","","","0","","2202.9387160089"
"2025-03-04","1820.4737735512","252.680103","249.1929146038","262.9193747567","147.2660892103","88.2269339096","72.080425458","65.3956017961","46.229970032","48.673","41.5354838688","40.4863562902","29.4978884323","26.0694564","27.6738248694","22.848","16.8","16.0555990875","14.4","10.308735","16.4338704862","6.0261556","5.4000722249","5.2354670382","4.7810048784","4.1403362368","4.126904131","","1.2180645168","0.8091118455","0.3612855309","0.3991530161","0.206408196","0.193548384","0.20054","0.032258064","0.03","0.006795","0.0098","0.0028765443","0.000889","0.0000118087","0.0000011115","0.0000004628","0.0000000662","0.000000133","","0","0","3348.4280845412"
"2025-03-05","1561.2743599605","323.807453","274.9025019271","255.1488544925","151.9488000001","88.0654619142","72.2418435699","66.4885091105","77.098944816","44.788","41.5354838688","33.5398061939","29.4694630747","26.06945988","26.9404782885","22.848","16.8","15.8480423319","14.4","10.32058","14.0605266307","6.0174228","5.4000004","5.8657165025","4.7803098784","3.8813312368","4.1106132112","","1.2489618197","0.8107652112","0.345230425","0.4000844223","0.206408196","0.193548384","0.09903","0.032258064","0.03","0.006735","0.007","0.006333108","0.00072","0.0000118087","0.0000009409","0.0000004628","0.0000000664","","","0","","3201.0390509972"
"2025-03-06","2283.9723629726","454.472866","335.026445445","248.5298028546","151.9488","87.9374657832","72.368607042","65.6658116008","92.114001816","40.689","41.5354838688","37.6328591857","29.4859011089","26.069464104","28.715214038","22.848","16.8","16.4345579576","14.4","6.301495","18.8983910529","6.013574","5.4001721607","6.8864531961","4.7814862784","3.9071641936","4.4073838628","","1.2180645168","0.8136601195","0.3462548505","0.4728992923","0.206408196","0.193548384","0.12074","0.032258064","0.03","0.006735","0.0056","0.0109541995","0.000754","0.0000118087","0.0000007896","0.0000006942","0.0000000674","","","0","","4126.7006535042"
"2025-03-07","2558.5700287513","292.100767","279.3061549545","262.3684454143","151.2343799999","88.1398867474","72.5005633732","65.2930602251","59.293389816","49.1338","41.5354838688","39.706268362","29.5009719645","26.069471424","29.4770306055","22.848","16.8","15.9144041593","14.4","10.08423","19.3917357703","6.0273788","5.4000801301","5.4496566036","4.7805728784","4.5217391936","4.5085853788","","1.2180645168","0.8150994457","0.3598879181","0.8608959448","0.206408196","0.193548384","0.1046","0.032258064","0.03","0.006765","0.0098","0.0032402437","0.000717","0.0000118087","0.0000012674","0.0000002314","0.0000000686","","","0","","4178.1973835098"
"2025-03-08","1301.9178766873","204.090604","241.6853075502","207.5807196169","146.4009122737","90.9111334409","72.8109861907","63.0382161754","38.119935816","40.2808","41.5354838688","34.3281089836","29.5122618048","26.069477064","28.543861736","22.848","16.8","15.7465562616","14.4","5.8139","18.434481344","6.014058","5.4000002667","5.127850888","4.7827744784","4.1248791936","4.6255273787","","1.2150145583","0.8165500848","0.3419923286","1.0330765038","0.206408196","0.193548384","0.03026","0.032258064","0.02","0.006765","0.0014","0.0015819771","0.000704","0.0000118087","0.0000003948","0.0000004628","0.0000000674","","","","","2694.8432848496"
"2025-03-09","754.9778788089","210.634208","226.8190660983","183.9771962395","151.2751138129","88.5609418918","74.0725659377","62.5131941152","41.975196816","40.061","41.5354838688","30.9409972507","29.4709237278","26.069480688","26.1124353717","22.848","16.8","15.3518117985","14.4","8.3806","11.1769258804","6.0136884","5.4","4.9411850853","4.7799856784","4.1978841936","4.0638304898","","1.2180645168","0.8165500848","0.305693266","0.3995771009","0.206408196","0.193548384","0.06119","0.032258064","0.04","0.006765","0.0098","0.001022886","0.000662","0.0000118087","0.0000007167","0.0000004598","0.0000000685","","","","","2110.6411467055"
