"Service","Glue($)","CloudWatch($)","EC2-Instances($)","S3($)","CloudTrail($)","Relational Database Service($)","Elastic File System($)","Managed Workflows for Apache Airflow($)","Config($)","EC2-Other($)","DMS($)","Key Management Service($)","GuardDuty($)","DynamoDB($)","Athena($)","Elastic Container Service for Kubernetes($)","VPC($)","Transfer Family($)","Kinesis Analytics($)","SQS($)","Route 53($)","Identity and Access Management Access Analyzer($)","Elastic Load Balancing($)","Neptune($)","Kinesis($)","Elastic MapReduce($)","Secrets Manager($)","Cost Explorer($)","Lambda($)","EC2 Container Registry (ECR)($)","Kinesis Firehose($)","ElastiCache($)","WAF($)","SNS($)","SES($)","Data Pipeline($)","Systems Manager($)","Redshift($)","Service Catalog($)","CloudWatch Events($)","API Gateway($)","Step Functions($)","Simple Workflow Service($)","Glacier($)","CloudShell($)","Tax($)","CloudFormation($)","X-Ray($)","Total costs($)"
"Service total","47816.5703860452","11296.0259279985","6521.8299411585","4569.5703848131","3088.086545","2947.6606945063","2030.8450976169","1852.6445832429","1110.0049","976.4281756678","685.44","684.5850262148","646.1838055342","633.4233450824","530.86731","523.919005667","504.2494109414","432.0000103889","404.9646443786","332.1273994728","180.9529754101","173.6","162.012550898","143.608258264","116.3804982916","100.210474672","86.7956877871","45.75","40.0650822908","22.21770158","15.2493975155","6.39865404","6.000000048","1.3731198887","1.34985","1.000000008","0.207825","0.1512756","0.1148","0.025395","0.0227921485","0.0000846356","0.0000191072","0.0000020132","3.044e-7","0","0","0","88690.913038232"
"2024-11-01","829.3939384","210.8322606754","329.5022345509","133.7821583588","59.138673","96.7184039965","66.5330934507","61.7869471058","33.736","32.964765284","22.848","41.999041344","34.5689320535","20.4072042895","19.977","14.4","16.7810871637","14.4","3.1192417962","11.4041311575","6.039636","","5.4001713277","4.7872578688","3.8800488345","6.72","2.8060533336","0.01","1.0362399741","0.7366144008","0.2343585604","0.213288468","0.2000000016","0.0684630439","0.02246","0.0333333336","0.006795","0.00504252","0","0.001158","0.0014398717","0.0000013254","0.0000004628","0.0000000438","","0","","","2086.4954749972"
"2024-11-02","463.2771052527","165.4710601125","224.53465286","105.6460580155","7.640956","93.4929809297","67.0291794131","61.4368891558","27.055","33.0053284837","22.848","2.664868344","24.501971144","19.4110572714","1.20811","14.4","15.4802386376","14.4000008838","","5.558383653","6.039298","","5.4000009778","4.7863264688","3.8763004107","6.72","2.7940933336","0.03","0.3985727805","0.7366144008","0.2351593544","0.213288468","0.2000000016","0.0234992172","0.0095","0.0333333336","0.006765","0.00504252","0","0.001187","0.0013429753","0.0000013254","0.0000002314","0.000000054","","","","","1400.5721660099"
"2024-11-03","320.4528497089","163.2372703427","259.0890461486","106.0301671105","7.090689","92.1634344082","67.0685692127","61.4205406192","25.392","32.9658070277","22.848","1.960514788","21.7227060778","19.4141728647","0.412825","14.4","15.4842124472","14.4","","4.933748453","6.0417204","","5.4000199111","4.7884508688","3.8732659173","6.72","2.7110983336","0.03","0.2291876946","0.7366144008","0.2335845117","0.213288468","0.2000000016","0.0119429169","0.01382","0.0333333336","0.006765","0.00504252","0.0014","0.001298","0.0018979252","0.0000018715","0.0000006942","0.000000057","","","","","1281.7392860351"
"2024-11-04","1004.0618657611","336.1141663218","305.27277008","169.4997602652","150.028287","96.840503569","67.0317686358","61.7302835087","41.649","33.1017585073","22.848","71.202454344","28.6506616794","19.4107507806","12.718885","14.4","15.3557947868","14.4000001894","","4.3887656849","6.0416168","","5.4011238031","4.7858742688","3.8762894091","6.72","2.7563616669","23.88","0.8579311221","0.7366144008","0.3175950306","0.213288468","0.2000000016","0.0319412825","0.04568","0.0333333336","0.006765","0.00504252","0.0042","0.000986","0.0019758496","0.0000013254","0.0000004628","0.000000057","","","0","","2524.6220969159"
"2024-11-05","1710.2464612797","490.0348046177","377.4985314188","184.3570800212","174.289743","97.9145721975","67.1264302118","61.8996086779","46.0594","33.150997863","22.848","11.345263344","32.9615706005","19.4100041876","14.3866","14.4","15.8668768587","14.4000064951","5.7883438408","5.474274895","6.0405388","","5.4003078335","4.7863908688","3.873338754","6.72","2.826545","0.03","0.908340006","0.7366144008","0.4750342616","0.213288468","0.2000000016","0.1718020579","0.04605","0.0333333336","0.006855","0.00504252","0.0056","0.001302","0.002136774","0.0000014772","0.0000004628","0.0000000568","","","0","","3431.9410915859"
"2024-11-06","1682.7269168467","435.0386393122","399.8508917137","159.7444513307","106.015089","95.8691413761","67.182855607","61.8224698634","56.9662","34.4691940934","22.848","33.873766344","25.2192983624","19.4101881817","17.20036","14.4","17.5127592489","14.4000013879","16.917406534","14.9944238859","6.0403628","172.6","5.4008929955","4.7886038688","3.8757368561","6.72","2.9780627784","0.02","0.9108928075","0.7366144008","0.4145574361","0.213288468","0.2000000016","0.0373508296","0.05246","0.0333333336","0.007095","0.00504252","0.0042","0.002364","0.0009390922","0.0000043411","0.0000006942","0.0000000578","","","","","3501.5038553693"
"2024-11-07","1426.5205888146","427.7365717543","348.3896219881","143.8663267771","71.908519","96.4813320692","67.4414475957","61.8035546616","37.0652","33.2735015005","22.848","10.652603122","25.0594688701","19.4327021046","13.96306","14.4","19.1051162093","14.4","16.657222193","21.9438547616","6.0431304","","5.4004536462","4.7864506688","3.8797661008","6.72","2.7724200008","0.02","0.9208390786","0.7366144008","0.5437841261","0.213288468","0.2000000016","0.0264573667","0.04684","0.0333333336","0.007155","0.00504252","0.0042","0.001583","0.0004359479","0.0000051937","0.0000009256","0.000000058","0.0000001119","","","","2925.3104917708"
"2024-11-08","1177.579249735","360.3011094166","376.0878200732","170.9088700634","138.230908","96.9472794586","67.3466613461","61.7840486355","40.4232","33.7445379206","22.848","43.8461056776","23.4823034043","19.9555840891","21.15745","14.4","18.8273508872","14.4000004163","16.6733333328","22.1723664705","6.044286","","5.4006572944","4.7867198688","3.8759349311","6.72","2.7198150008","0.02","1.0001651554","0.7366144008","0.5771240191","0.213288468","0.2000000016","0.0248271537","0.0574","0.0333333336","0.007125","0.00504252","","0.001557","0.0008555988","0.0000058225","0.0000006897","0.0000000573","","","0","0","2773.5409312424"
"2024-11-09","539.7452661673","361.9521726302","274.7146666047","128.2169417963","35.373558","93.0929005804","67.3924818612","61.3843907109","26.8746","32.7076582167","22.848","8.5480876776","19.2574538297","19.4153584943","4.244505","14.4","18.7628213709","14.4","16.6733333328","23.308118434","6.044642","","5.4","4.7863354688","3.8711864946","6.72","2.6913300008","0.03","0.5662168745","0.7366144008","0.7264281656","0.213288468","0.2000000016","0.0205177533","0.01206","0.0333333336","0.007065","0.00504252","0.0014","0.000681","0.0000798455","0.000003711","0.0000006897","0.0000000665","","","","","1815.3785405013"
