"Service","Glue($)","CloudWatch($)","EC2-Instances($)","Athena($)","S3($)","Relational Database Service($)","CloudTrail($)","Elastic File System($)","Managed Workflows for Apache Airflow($)","Key Management Service($)","Config($)","EC2-Other($)","DMS($)","GuardDuty($)","DynamoDB($)","VPC($)","Transfer Family($)","Elastic Container Service for Kubernetes($)","Kinesis Analytics($)","SQS($)","Elastic MapReduce($)","Route 53($)","Elastic Load Balancing($)","Neptune($)","Kinesis($)","Secrets Manager($)","Lambda($)","EC2 Container Registry (ECR)($)","Kinesis Firehose($)","ElastiCache($)","WAF($)","SageMaker($)","SES($)","SNS($)","Data Pipeline($)","Cost Explorer($)","API Gateway($)","Systems Manager($)","Redshift($)","Service Catalog($)","CloudWatch Events($)","Comprehend($)","Step Functions($)","Simple Workflow Service($)","Glacier($)","Tax($)","CloudFormation($)","X-Ray($)","Total costs($)"
"Service total","28392.010666583","5893.8553966015","5134.053038473","3648.12062","3564.4308227796","2914.4393948882","2527.400253","1941.282600596","1912.7074917794","1701.954909594","1479.4607","963.6162443037","708.288","560.4612974858","517.1377316016","510.667901445","446.4000053147","446.4","337.9373615885","274.0135764422","208.421420544","186.9518446776","167.4164200371","148.2853180304","136.1948788327","78.6350741362","61.825872547","22.022005085","7.4772031699","6.398654076","5.999999904","1.3879276463","1.25817","1.1156951978","0.999999984","0.68","0.3443365719","0.213972","0.15127008","0.1113","0.015524","0.003912","0.0008279349","0.0000166606","0.0000020156","0","0","0","64910.5496576072"
"2024-10-01","959.5517002836","187.8415326146","184.8427448427","331.637305","93.9608289952","94.7425070637","54.452359","62.2041972263","61.6763623271","38.992225368","64.365","30.1094056058","22.848","27.5917360727","16.0309703357","16.7787212807","14.4","14.4","4.8552150535","1.8026289096","6.72","6.0294184","5.4002143791","4.7815462784","4.8408730054","2.5901662904","0.352776544","0.704990688","0.2158518502","0.206408196","0.193548384","","0.03951","0.0098624233","0.032258064","0.02","0.3061291115","0.007005","0.00487968","0","0.000511","","0.000002283","0.0000006174","0.0000000734","0","","","2315.5393922473"
"2024-10-02","1096.6329187364","170.7645263676","175.7451839694","849.557525","99.2698122966","94.8034878269","74.555005","62.3580403508","61.8670954301","26.143816368","52.021","30.4823074934","22.848","37.3330007606","15.0832268494","15.4126539165","14.4","14.4","16.646451612","1.8687371767","6.72","6.0297788","5.4002490762","4.7818796784","4.8385066271","2.4846012904","0.6290128069","0.704990688","0.2156943199","0.206408196","0.193548384","0.0882400413","0.01888","0.0216301019","0.032258064","0.02","0.0027947114","0.007035","0.00487968","0","0.00041","0.003912","0.000002283","0.0000006174","0.0000000734","","","","2964.5975015937"
"2024-10-03","1311.1435463702","231.9408158229","173.7179099389","880.08268","128.7694725953","92.2756695575","126.338089","62.4188430064","61.8789565101","108.177760368","63.876","30.5196649386","22.848","30.3521096124","16.1147689999","14.7584905245","14.4","14.4","16.646451612","1.9081376629","6.72","6.0314116","5.4005704753","4.7803252784","4.8378670166","2.5691762904","0.4481356938","0.7066931882","0.2339160566","0.206408196","0.193548384","","0.05449","0.0575130257","0.032258064","0.02","0.0013778476","0.006945","0.00487968","0.0021","0.0004","","0.0000024078","0.0000006174","0.0000000734","","","","3434.8753854148"
"2024-10-04","1330.3216659585","293.0153016348","138.8426012728","851.996825","145.6244907145","93.5879966524","163.771339","62.5570172447","61.822766529","154.555957368","69.805","30.3502547236","22.848","29.3060038468","15.0053533774","14.6609184917","14.4","14.4","16.646451612","1.313936318","6.72","6.0330036","5.4004402049","4.7804712784","4.83690725","2.5123262904","0.4266900478","0.7075950792","0.2652812107","0.206408196","0.193548384","","0.07897","0.0196807322","0.032258064","0.02","0.0002004825","0.006915","0.00487968","0.0028","0.000404","","0.0000024482","0.0000004116","0.0000000722","","","","3557.0806621763"
"2024-10-05","901.4669115442","190.1042008841","83.9852079464","0.665635","72.45696901","93.5623064253","7.2534","62.5953985145","61.4398908435","2.123062368","33.676","30.0853498447","22.848","17.2303354387","15.0491777979","14.5730367883","14.4","14.4","16.646451612","0.9851371744","6.72","6.03368","5.4","4.7817970784","4.8333177197","2.4611062904","0.440763931","0.7075950792","0.2291631189","0.206408196","0.193548384","","0.04028","0.0193167886","0.032258064","0.02","0.0000140793","0.006915","0.00487968","0.0042","0.000396","","0.0000024078","0.0000006174","0.0000000722","","","","1687.6821136989"
"2024-10-06","314.0140432464","176.2218622944","123.5984656296","0.481815","69.1541186267","91.9093487594","5.409024","62.3052166875","61.3670862721","1.753150368","32.435","30.0905512533","22.848","17.8554318973","15.5704310086","14.5545472331","14.4","14.4","16.646451612","0.9785633756","6.72","6.0242515038","5.4","4.7807134784","4.8321479566","2.4574562904","0.2668909128","0.7075950792","0.2162771418","0.206408196","0.193548384","","0.00801","0.0096865852","0.032258064","0.01","0.0000140793","0.006885","0.00487968","0.0014","0.0004","","0.0000024078","0.0000006174","0.0000000722","","","","1117.8719327129"
"2024-10-07","1324.2126946088","336.1905374206","161.5349753373","15.581455","118.5739143456","93.5730187799","104.527179","62.0812912415","61.7935279779","70.067341368","47.6416","30.359362515","22.848","20.8233393506","15.5407327554","14.8347770391","14.4","14.4","16.646451612","1.5713488053","6.72","6.0328576","5.4008594073","4.7807616784","4.8385951829","2.4917862904","0.7790474119","0.7075950792","0.2483534875","0.206408196","0.193548384","","0.05083","0.0155885396","0.032258064","0.02","0.0005571874","0.006885","0.00487968","0.0028","0.000015","","0.0000017899","0.0000006174","0.0000000722","","0","","2579.7351758251"
"2024-10-08","1050.1748975812","223.262851247","216.9955812856","15.334555","112.0159360994","92.4671375025","96.416134","62.1144869662","61.8505926438","23.740018368","50.9924","30.1624755968","22.848","29.3773138224","15.5530718083","15.0767083449","14.4","14.4","16.646451612","1.8513035595","6.72","6.0324216","5.4011382446","4.7813622784","4.8344299496","2.5066912904","0.5984886565","0.7075950792","0.2382511442","0.206408196","0.193548384","","0.04477","0.0297914191","0.032258064","0.02","0.0003305291","0.006915","0.00487968","0.0042","0.000425","","0.0000018903","0.0000006174","0.0000000698","","","","2198.0438225302"
"2024-10-09","1317.5204084017","235.0824290147","204.7559742787","8.176465","87.9360492589","93.162810679","23.79705","62.2045730601","61.9133137913","20.168503368","39.6664","32.6404945772","22.848","13.9114151191","15.584762941","14.8078684545","14.4","14.4","12.484838709","1.8529568775","6.72","6.033594","5.4013206849","4.7812578784","4.8385035785","2.5005512904","3.1501732138","0.7075950792","0.2222096149","0.206408196","0.193548384","0.3356931936","0.04396","0.0169896409","0.032258064","0.02","0.0012127454","0.006915","0.00487968","0.0042","0.000435","","0.0000024416","0.0000004086","0.0000000697","","0","","2332.5360216946"
