"Service","Glue($)","EC2-Instances($)","CloudWatch($)","S3($)","CloudTrail($)","Relational Database Service($)","Elastic File System($)","Key Management Service($)","Managed Workflows for Apache Airflow($)","Config($)","Athena($)","EC2-Other($)","DMS($)","Elastic Container Service for Kubernetes($)","GuardDuty($)","VPC($)","DynamoDB($)","Transfer Family($)","Elastic MapReduce($)","Route 53($)","Elastic Load Balancing($)","Neptune($)","Kinesis($)","Secrets Manager($)","SQS($)","Lambda($)","EC2 Container Registry (ECR)($)","ElastiCache($)","Kinesis Firehose($)","WAF($)","SageMaker($)","SNS($)","Data Pipeline($)","API Gateway($)","Cost Explorer($)","SES($)","Systems Manager($)","Redshift($)","Service Catalog($)","CloudWatch Events($)","Step Functions($)","Simple Workflow Service($)","Glacier($)","Tax($)","X-Ray($)","CloudFormation($)","Total costs($)"
"Service total","17897.914419067","4522.6524695132","3627.3165958419","3274.8587146585","2971.728718","2828.2876280841","1916.63617993","1886.3310924067","1847.9540295905","1526.4421","1002.98638","929.1403633285","685.44","491.400678528","479.2134542674","463.1924571594","453.3067290142","432","207.32824","180.8354866325","162.0343700802","143.592802464","125.0975993286","77.0818711166","66.4960947263","44.1007672845","21.6609989273","6.39865404","6.1286283624","6.000000048","4.7377342534","1.2884061933","0.9958333413","0.8046128742","0.63","0.2502785048","0.21036","0.1512756","0.1078","0.015906","0.0000920202","0.0000182127","0.0000015873","0","0","0","48292.749840987"
"2024-09-01","245.7527314688","97.2396745619","153.4566371706","66.7882126385","5.257146","93.1255590188","63.6370641296","2.0738733432","61.3820103692","29.477","4.17951","30.1983494139","22.848","16.8","18.2528673938","15.1948886637","4.3910279756","14.4","6.72","6.0262628","5.4","4.7882702688","4.233568393","2.3532533336","4.942137249","0.2253392447","0.7188346944","0.213288468","0.1941588506","0.2000000016","1.2233333328","0.0061372059","0.0333333336","0.0007008393","0.02","0.00173","0.006945","0.00504252","0","0.000553","0.0000013972","0.0000004116","0.0000000382","0","","","981.7674425299"
"2024-09-02","396.8143642611","119.9405604629","157.1808324952","116.5316323711","104.103881","96.4296550601","63.6972112082","90.5690853432","61.7481229721","54.934","163.157935","31.1948691109","22.848","16.8","21.4717609364","14.7984532435","14.8257514585","14.4","6.72","6.0260356","5.4000829296","4.7862500688","4.2632405936","2.4553622221","2.9350297224","0.4924088735","0.7188346944","0.213288468","0.1992126592","0.2000000016","1.2853946334","0.0763513991","0.0333333336","0.0020596465","0.01","","0.006915","0.00504252","0","0.000533","0.0000084219","0.0000002058","0.0000000248","","","","1597.2754989415"
"2024-09-03","393.1396576026","188.6400831875","152.438822028","123.5905599936","129.565308","100.415834985","63.7229682129","160.3975893432","61.7671459134","57.523","68.871935","30.3185298727","22.848","16.8","19.1650453806","14.6475915651","14.8187774265","14.4","7.49858312","6.0252472","5.4001065324","4.7870376688","4.329015102","2.3963416664","0.978395263","0.4704334636","0.7188346944","0.213288468","0.2021613885","0.2000000016","0.9311663038","0.0257636458","0.0333333336","0.0010495287","0.03","0.00191","0.006945","0.00504252","0.0021","0.000566","0.0000026573","0.0000006174","0.0000000351","","","","1667.3281727215"
"2024-09-04","887.9409854334","213.0077471125","153.7449071658","114.9572961314","111.282224","94.3892347179","63.8997749836","150.0346784539","61.7304898203","54.7836","85.789515","32.141746882","22.848","16.8","19.2177384167","14.436500837","14.8241425239","14.4","10.08","6.024706","5.4003715793","4.7860842688","4.3416239426","2.4251033344","0.9933509731","0.4672063465","0.7188346944","0.213288468","0.2040276505","0.2000000016","0.1845687743","0.0294527292","0.0333333336","0.0009646799","0.02","","0.00693","0.00504252","0.0042","0.000536","0.0000030315","0.0000006174","0.0000000448","","0","","2162.3682104683"
"2024-09-05","703.6443413533","230.6464618275","153.2675524148","110.4582800551","98.974355","94.3133019446","63.9692681066","108.7193913432","61.7843116004","52.2702","34.86399","34.3439022468","22.848","16.8","16.0466856602","15.0284805398","15.2494554304","14.4","8.30965688","6.0256404","5.4007876953","4.7872610688","4.3985528882","2.5115450004","1.0115140919","0.6731337847","0.7188346944","0.213288468","0.2013115784","0.2000000016","0.1968876137","0.0409808579","0.0333333336","0.0033838459","0.03","0.0001385048","0.006915","0.00504252","0.0042","0.000601","0.0000020211","0.0000004116","0.0000000466","","","","1882.4009892296"
"2024-09-06","560.8936643736","169.445853334","153.0462487579","105.4337497079","91.686724","94.5857468894","63.9990773629","109.3451973432","61.7863383493","38.9102","101.128675","30.6462849055","22.848","16.8","17.4924136268","14.7008839888","14.859820839","14.4","6.72","6.0223077625","5.4004863473","4.7864952688","4.3273574861","2.4109627776","1.007464816","0.4911365513","0.7188346944","0.213288468","0.2032935102","0.2000000016","0.1203815225","0.0514627257","0.0333333336","0.0055974543","0.02","","0.007035","0.00504252","0.0042","0.000268","0.0000029257","0.0000006174","0.0000000448","","0","0","1714.7578303061"
"2024-09-07","126.6464252222","105.2688133623","144.8639942032","65.4849939674","6.783752","93.1479583217","63.9708087014","2.7193353432","61.4369709826","23.4634","1.519385","30.1962082898","22.848","16.8","14.5582750507","14.5104272703","14.8237796809","14.4","6.72","6.0234576","5.4002621779","4.7875648688","4.2692165639","2.4276733328","0.9796410527","0.2809634259","0.7188346944","0.213288468","0.1982785708","0.2000000016","","0.0223277776","0.0333333336","0.0012135145","0.02","","0.007035","0.00504252","0.0042","0.000625","0.0000024078","0.0000006174","0.0000000493","","","","855.7554883727"
"2024-09-08","100.6800657787","168.5396218214","96.8169059553","103.7179958611","93.870294","92.3248725373","63.9165259705","96.2648913432","60.5742377701","24.4812","22.27108","30.1965040959","22.848","16.8","14.6003009139","14.5303489062","14.8158877007","14.4","6.72","6.0257652","5.4002597777","4.7868572688","4.2366914841","2.4263783328","0.9793181426","0.2393728453","0.7188346944","0.213288468","0.1967787425","0.2000000016","","0.0206284957","0.0333333336","0.0010696088","0.02","0.00173","0.007065","0.00504252","0.0042","0.000619","0.0000027825","0.0000006174","0.0000000473","","","","1083.8859690174"
"2024-09-09","286.4265131421","152.9837612258","101.4409167788","94.0987237386","57.812532","93.2602077956","63.8590861075","66.0784323432","61.6751318286","41.5328","24.96236","30.2182129311","22.848","16.8","14.6206923048","14.6795910542","14.8158966357","14.4","6.72","6.01563687","5.4004217666","4.7865656688","4.3003646954","2.5786983328","1.0176575037","0.4077215175","0.7196750155","0.213288468","0.2012428327","0.2000000016","","0.0563477611","0.0333333336","0.0120863031","0.02","0.00091","0.007215","0.00504252","0.0042","0.000628","0.0000020212","0.0000006129","0.0000000477","","","0","1205.2138961582"
