,,all_data,10/31/2024,9/30/2024,8/31/2024,7/31/2024,6/30/2024,5/31/2024,4/30/2024,3/31/2024,2/29/2024,1/31/2024,12/31/2023,11/30/2024,10/31/2024
tenure,sub_status_desc,distinct_customer_count,distinct_customer_count,distinct_customer_count,distinct_customer_count,distinct_customer_count,distinct_customer_count,distinct_customer_count,distinct_customer_count,distinct_customer_count,distinct_customer_count,distinct_customer_count,distinct_customer_count,distinct_customer_count,distinct_customer_count
0-30 days,Disconnect,693,12,123,24,24,87,13,24,2,182,10,4,79,12
121-180 days,Disconnect,83531,6622,6384,6300,6267,5996,6020,6389,5914,5329,6332,5918,5632,6378
13 Months,Disconnect,61930,3910,4758,6438,6746,5919,5001,4059,4180,3829,3539,3404,3699,4218
14 Months,Disconnect,45141,2964,4225,4370,4615,3570,3269,3104,3392,2557,2481,2586,2761,3422
15 Months,Disconnect,34201,2751,3167,2823,3073,2389,2435,2449,2359,2012,2135,2024,2356,2770
16 Months,Disconnect,29557,2332,2525,2380,2534,2096,2272,2043,1832,1847,1975,1958,2117,2136
17 Months,Disconnect,25791,1906,2232,1890,2276,2013,1950,1734,1747,1646,1697,1963,1704,1821
180-210 days,Disconnect,39909,3026,2890,2929,3096,2542,3170,3409,2731,2943,2933,2552,2709,3214
210-240 days,Disconnect,35855,2579,2546,2668,2766,2642,3023,2638,2797,2464,2440,2375,2613,2772
240-270 days,Disconnect,34858,2411,2853,2313,2930,2635,3004,2757,2556,2266,2214,2252,2392,2749
270-300 days,Disconnect,35611,2209,2825,2506,2962,2856,4639,2590,2390,2070,2089,2202,2371,2491
300-330 days,Disconnect,35615,2151,3156,2619,3477,3663,3451,2453,2184,2181,2317,2125,2236,2198
31-60 days,Disconnect,33876,2537,2844,3300,3279,2745,1936,2056,2252,2046,2136,2196,2149,2658
330-365 days,Disconnect,55106,3501,4320,4340,6715,5413,4799,3865,3485,3380,3419,3200,3146,3684
61-90 days,Disconnect,47154,4250,3906,4149,3696,2919,3039,3264,3216,2952,3119,3151,3418,3855
91-120 days,Disconnect,46118,3784,3803,4079,3080,3098,3253,3521,3062,2965,3165,3109,3496,3263
null,Disconnect,1178698,88987,93657,96358,107903,95323,95193,87195,82102,74886,75684,73597,73873,82632
