"customer_key","account_nbr","site_id","res_com_ind","customer_status","house_type","account_guid","user_guid_primary","employee_flag","test_account_flag","inception_date","sale_acquisition_channel","registration_date","registration_traffic_source_detail","registration_traffic_source","data_flag","tv_flag","phone_flag","homelife_flag","mobile_flag","pano_flag","pano_device","easy_pay_flag","do_not_call_flag","do_not_email_flag","do_not_mail_flag","do_not_market_flag","last_contacted_date_ivr_call","last_contacted_date_cox_com","last_contacted_date_cox_app","cox_segment","demographic_info1","demographic_info2","time_key"
"1.4230568E7","133346704","436","R","A","House","61a4df61-073a-4f8f-830b-f2a4bfca3ac9","37af89c6-36be-11dd-b727-00007f000001","0","2.0","2000-02-24 05:00:00.0","","2014-10-30 03:07:29.000","","undefined","1","0","1","","0","","","1","1","0","1","0","2024-09-12","","2024-09-18","","","","2024-08-31"
"1.10411875E8","134537201","476","R","A","House","cea6a470-e158-11e9-b7a0-005056a7c983","19580fe0-0cbe-11e6-8214-14feb5d94d4a","0","2.0","2016-04-04 04:00:00.0","","2016-04-28 03:01:12.000","cr_dm_camp_z_register_vanity","direct mail","1","1","1","","0","","","0","0","0","0","0","2024-06-28","2024-10-27","","","","","2024-05-31"
"1.14746682E8","102797403","132","R","A","Apartment","3afbbe10-f4a5-11eb-b25a-005056a78699","80652550-e1a3-11e6-b1c9-14feb5d950bc","0","2.0","2000-01-25 05:00:00.0","","2017-01-24 04:01:07.000","","undefined","0","1","0","","0","","","1","0","0","0","0","2024-07-19","2023-08-21","","","","","2024-05-31"
"1.07661791E8","73770903","132","R","A","House","216e7d90-8eee-11e8-91ae-14feb5d950bc","2a1e0a15-d7e1-6833-4f00-01889a55302e","0","2.0","2010-06-30 04:00:00.0","","2023-06-17 03:00:26.000","","undefined","1","0","0","","0","","","0","0","0","0","0","2024-10-28","2024-09-14","","","","","2024-05-31"
"1.17200871E8","85401109","476","R","A","House","2a1e0a16-a6e5-dea3-9400-018410acdecf","52dbbb30-4825-11e5-a2d4-14feb5d9513a","0","2.0","2019-11-20 05:00:00.0","","2016-01-18 04:00:48.000","","undefined","1","0","0","","0","","","1","0","0","0","0","","2024-11-05","","","","","2024-05-31"
"2.8561601E7","93376101","476","R","A","Condominium","1a6dca60-b9cb-11e4-8e82-14feb5d94d4a","3ae9f810-aa35-11e7-b0ca-14feb5d9513a","0","2.0","2004-02-12 05:00:00.0","","2017-10-07 03:02:20.000","","undefined","1","1","0","","0","","","1","0","0","0","0","","2024-11-05","","","","","2024-06-30"
"1.20234809E8","132131402","436","R","A","House","2a1e0a03-279b-4546-6400-019051e025e0","14704831-36bb-11dd-b727-00007f000001","0","2.0","2024-06-12 04:00:00.0","","2014-10-30 03:07:29.000","","undefined","1","0","0","","0","","","1","0","0","0","0","2024-06-13","","2024-07-18","","","","2024-10-31"
"1.18097721E8","73202905","476","R","A","House","2a1e0a1c-d93c-816f-fb00-0187c19360ca","2a1e0a0b-f282-f720-3400-0188702cd391","0","2.0","2023-05-19 04:00:00.0","","2023-06-01 03:00:28.000","","undefined","1","0","0","","0","","","1","0","0","0","0","2023-06-04","2024-07-05","2024-11-04","","","","2023-10-31"
"1.18144854E8","67557203","580","R","A","House","2a1e0a08-3ef8-88f7-e600-0187c26d02a8","77781ce0-1996-11e9-a9fa-005056a7c983","0","2.0","2018-08-06 04:00:00.0","","2019-01-17 04:00:20.000","","undefined","1","0","0","","0","","","1","0","0","0","0","2024-04-07","2024-09-07","2024-06-10","","","","2023-10-31"
"1.2026459E8","42302220","342","R","A","House","2a1e0a0f-aad2-c0db-c300-018fed3b67d4","2a1e0a08-51ef-2f3e-2700-0188d949c273","0","2.0","2023-06-29 04:00:00.0","","2023-07-02 03:00:38.000","","undefined","1","0","0","","0","","","","0","0","0","0","","2024-09-09","2024-11-03","","","","2024-06-30"
"1.19616421E8","245989308","436","R","A","Apartment","2a1e0a0e-6866-500f-d100-018d5f9103d9","2a1e0a0e-687f-b014-7700-018d5f9103b4","0","2.0","2024-02-17 05:00:00.0","","2024-02-18 04:00:39.000","","undefined","1","0","0","","0","","","0","0","0","0","0","2024-02-17","2024-07-11","2024-11-01","","","","2024-08-31"
"1.17336961E8","75175807","135","R","A","House","2a1e0a03-bceb-2462-fb00-018d5eab75ff","2a1e0a0b-d0d2-1e94-3000-018ea7fd7c7e","0","2.0","2022-11-28 05:00:00.0","","2024-04-05 03:00:52.000","","undefined","1","0","0","","0","","","1","0","0","0","0","","2024-05-15","2024-07-04","","","","2024-08-31"
"6.7578026E7","17275113","215","R","A","Condominium","cf6ddfa0-6e35-11de-8a3b-00144fcbed8c","cf73d310-6e35-11de-8a3b-00144fcbed8c","0","2.0","2009-07-10 04:00:00.0","","2014-10-30 03:00:34.000","","undefined","1","1","1","","0","","","1","0","0","0","0","2024-01-10","2024-08-10","2024-05-26","","","","2024-08-31"
"7.8351721E7","3479608","333","R","A","House","89376f10-1e61-11e4-8051-14feb5d9513a","8939e010-1e61-11e4-8051-14feb5d9513a","0","2.0","2014-07-13 04:00:00.0","","2014-11-07 04:00:28.000","","undefined","1","0","1","","0","","","0","0","0","0","0","2024-02-25","2024-10-16","2024-09-19","","","","2024-04-30"
"7.8367798E7","60435804","580","R","A","House","6a9aaea0-15ba-11e4-9a20-14feb5d950bc","6a9dbbe0-15ba-11e4-9a20-14feb5d950bc","0","2.0","2014-07-16 04:00:00.0","","2014-10-30 03:00:34.000","","undefined","1","0","0","","0","","","1","0","0","0","0","2024-03-07","2024-01-20","2024-03-07","","","","2024-03-31"
"1.9788584E7","31796101","580","R","A","House","77abe05a-0fc5-414f-89be-74546dfe4a91","feac1b36-36b7-11dd-b727-00007f000001","0","2.0","1981-07-31 04:00:00.0","","2014-10-30 03:00:34.000","","undefined","1","0","0","","0","","","1","0","0","0","0","2024-09-26","2024-10-13","","","","","2024-03-31"
"7.4153805E7","117958103","476","R","A","House","01947d90-d75b-11e1-a9c6-14feb5d9357d","12a87920-36be-11dd-b727-00007f000001","0","2.0","1994-06-21 04:00:00.0","","2014-10-30 03:00:34.000","","undefined","1","0","0","","0","","","1","1","0","0","0","2024-07-25","2024-07-25","","","","","2024-03-31"
"1.17131189E8","17321510","126","R","F","House","2a1e0a0e-999e-c3c1-2900-0183d092f55b","a8933730-683f-11ea-97c4-005056a7399c","0","2.0","2020-03-18 04:00:00.0","","2020-05-15 19:38:39.000","","undefined","1","0","0","","0","","","0","0","0","0","0","2022-11-09","2024-06-23","2024-06-23","","","","2024-05-31"
"1.09548476E8","6877803","214","R","A","House","5e4316f0-887f-11e9-ad46-005056a73b9c","df4a7580-7e2a-11e0-829b-00144ff25fc8","0","2.0","1992-01-06 05:00:00.0","","2014-12-06 04:00:22.000","","undefined","1","1","0","","0","","","1","0","0","0","0","2023-03-11","2024-10-06","","","","","2024-08-31"
"7.6047772E7","116204704","216","R","A","House","20ce0a90-dac6-11e2-8e3c-14feb5d9357d","ffdf0e33-36bd-11dd-b727-00007f000001","0","2.0","1999-11-16 05:00:00.0","","2014-10-18 03:44:32.000","","undefined","1","1","1","","0","","","0","0","0","0","0","2024-11-08","2024-09-08","2024-09-08","","","","2024-08-31"
"1.13553326E8","74965901","186","R","A","House","209103a0-56c6-11eb-94ea-005056a78157","4ea9d850-885d-11e8-bdb1-14feb5d9357d","0","2.0","2018-07-15 04:00:00.0","","2018-07-16 03:01:37.000","","undefined","1","0","1","","0","","","1","0","0","0","0","2023-02-11","2024-05-24","2024-10-30","","","","2024-08-31"
"1.19208532E8","12537209","186","R","A","Apartment","2a1e0a08-3965-ba96-9200-018b8ee1806c","2a1e0a04-e996-8ec9-7d00-018b8fea6271","0","2.0","2023-12-01 05:00:00.0","","2023-11-21 04:01:04.000","","undefined","1","0","0","","0","","","0","0","0","0","0","2024-04-03","2024-08-07","2024-11-03","","","","2024-11-30"
"1.1545555E7","34306101","334","R","A","House","d1a83571-0e6c-4cc1-972a-2da9ce2ba9ee","4330b933-36b5-11dd-b727-00007f000001","0","2.0","1990-04-14 04:00:00.0","","2014-10-30 03:07:29.000","","undefined","1","1","1","","0","","","0","0","0","0","0","2024-07-20","2024-02-25","","","","","2024-05-31"
"2.5993092E7","48615702","182","R","A","House","3cc3f0a3-888c-43a3-9670-86aa2c79b465","78472ec6-36be-11dd-b727-00007f000001","0","2.0","2003-01-16 05:00:00.0","","2014-10-30 03:07:29.000","","undefined","1","1","0","","0","","","0","0","0","0","0","2024-05-28","2024-10-24","","","","","2024-08-31"
