create_dt,metric_id,feature_name,metrics,display_names,operating_system_type,1st Quartile,3rd Quartile,IQR,Upper,Lower,Yesterday,last_7_days,last_30_days,% Change Last 7 Days,% Change Last 30 Days,metric_nature_indicator,colour_indicator
2025-02-06,22,COX MOBILE,DR_Mobile Lock Enabled,,Apple iOS,0.0,143.0,143.0,321.75,-178.75,42.0,50.714,45.833,-17.1830985915493,-8.363636363636369,,
2025-02-06,23,COX MOBILE,DR_Mobile Lock Disabled,,Apple iOS,0.0,143.0,143.0,321.75,-178.75,648.0,627.571,572.167,3.2551786933758278,13.25371395281096,,
2025-02-06,74,EASY CON NECT,DR_Easy Connect - Self install success,,Apple iOS,0.0,143.0,143.0,321.75,-178.75,0.0,,,0,0,,
2025-02-06,75,EASY CON NECT,DR_Easy Connect - Self install Timeout,,Apple iOS,0.0,143.0,143.0,321.75,-178.75,0.0,,,0,0,,
2025-02-06,10000022,COX MOBILE,DR_Mobile Lock Enabled,,Both,805.0,930.75,125.75,1087.938,647.812,1023.0,971.286,868.433,5.324312398882183,17.79833416497141,,
2025-02-06,258,COX MOBILE,DR_Mobile Lock Enabled,,Google Android,3.0,120.75,117.75,267.938,-144.188,37.0,20.286,20.4,82.39436619718312,81.37254901960786,,
2025-02-06,259,COX MOBILE,DR_Mobile Lock Disabled,,Google Android,3.0,120.75,117.75,267.938,-144.188,196.0,180.714,174.267,8.45849802371541,12.471308339709248,,
2025-02-06,310,EASY CON NECT,DR_Easy Connect - Self install success,,Google Android,3.0,120.75,117.75,267.938,-144.188,99.0,91.143,54.767,8.620689655172418,80.76688983566646,,
2025-02-06,311,EASY CON NECT,DR_Easy Connect - Self install Timeout,,Google Android,3.0,120.75,117.75,267.938,-144.188,1.0,0.857,1.0,16.666666666666675,0.0,,
2025-02-06,186,SMART HELP,DR_SmartHelp Result - Unknown,1st common reason (Unknown),Apple iOS,54.423,73.521,19.099,87.845,40.099,66.216,58.29,59.206,13.598364814093175,11.839638416246919,Negative Within,White
2025-02-06,100000183,SMART HELP,DR_SmartHelp Result - Unknown,1st common reason (Unknown),Both,54.716,70.603,15.886,82.518,42.801,64.151,56.409,58.838,13.724184214858234,9.030743414351164,Negative Within,White
2025-02-06,420,SMART HELP,DR_SmartHelp Result - Unknown,1st common reason (Unknown),Google Android,50.0,72.135,22.135,88.737,33.399,59.375,53.121,58.332,11.773722922185334,1.7883898662479107,Negative Within,White
2025-02-06,187,SMART HELP,DR_SmartHelp Result - Disconnected,2nd common reason (Disconnected),Apple iOS,10.098,23.292,13.195,33.189,0.201,21.622,20.06,23.126,7.788175305160307,-6.50161581859013,Negative Within,White
2025-02-06,100000184,SMART HELP,DR_SmartHelp Result - Disconnected,2nd common reason (Disconnected),Both,12.419,24.12,11.701,32.896,3.643,23.585,22.08,23.356,6.816814290982733,0.9786026119855586,Negative Within,White
2025-02-06,421,SMART HELP,DR_SmartHelp Result - Disconnected,2nd common reason (Disconnected),Google Android,10.07,25.436,15.365,36.96,-1.453,28.125,25.846,23.867,8.817010551450059,17.84267252516426,Negative Within,White
