"primary_intent_detail","contact_dt","sub_contact_id","contained","containment_rate_cy","containment_rate_py_7","containment_rate_py_30","percentage_change_7_days","percentage_change_30_days"
"PnP","2024-08-27","1839","1593","86.62","87.54","87.56","-1.05","-1.07"
"PnP","2024-08-26","1932","1658","85.82","87.36","87.68","-1.76","-2.12"
"PnP","2024-08-25","1900","1680","88.42","87.49","87.7","1.06","0.82"
"PnP","2024-08-24","1983","1727","87.09","87.66","87.75","-0.65","-0.75"
"PnP","2024-08-23","2351","2053","87.32","87.56","87.77","-0.27","-0.51"
"PnP","2024-08-22","2206","1932","87.58","87.56","87.82","0.02","-0.27"
"PnP","2024-08-21","2616","2321","88.72","87.41","87.78","1.5","1.07"
"PnP","2024-08-20","1967","1721","87.49","87.38","87.87","0.13","-0.43"
"PnP","2024-08-19","2093","1772","84.66","87.55","88.07","-3.3","-3.87"
"PnP","2024-08-18","2006","1792","89.33","87.53","88.05","2.06","1.45"
"PnP","2024-08-17","2070","1829","88.36","87.51","88.09","0.97","0.31"
"PnP","2024-08-16","2232","1934","86.65","87.75","88.17","-1.25","-1.72"
"PnP","2024-08-15","2248","1968","87.54","87.66","88.17","-0.14","-0.71"
"PnP","2024-08-14","2108","1854","87.95","87.43","88.19","0.59","-0.27"
"PnP","2024-08-13","1827","1595","87.3","87.45","88.28","-0.17","-1.11"
"PnP","2024-08-12","1949","1670","85.68","87.42","88.41","-1.99","-3.09"
"PnP","2024-08-11","1725","1543","89.45","87.42","88.4","2.32","1.19"
"PnP","2024-08-10","1692","1496","88.42","87.65","88.46","0.88","-0.05"
"PnP","2024-08-09","1813","1600","88.25","87.48","88.5","0.88","-0.28"
"PnP","2024-08-08","1801","1563","86.79","87.51","88.54","-0.82","-1.98"
"PnP","2024-08-07","1897","1640","86.45","87.67","88.46","-1.39","-2.27"
"PnP","2024-08-06","1922","1681","87.46","87.71","88.51","-0.29","-1.19"
"PnP","2024-08-05","1745","1487","85.21","87.9","88.59","-3.06","-3.82"
"PnP","2024-08-04","1706","1527","89.51","87.99","88.48","1.73","1.16"
"PnP","2024-08-03","1906","1712","89.82","87.91","88.48","2.17","1.51"
"PnP","2024-08-02","1602","1394","87.02","88.2","88.49","-1.34","-1.66"
