create_dt,metric_id,feature_id,unique_identifier,feature_name,metrics,display_names,operating_system_type,Date,Value
2025-02-04,1,1,BL,BIL LING,DR_Visits to Billing Home,Billing Section Visits,Apple iOS,29-08-2024,71742.0
2025-02-04,2,1,BL,BIL LING,DR_Billing Make a Payment,Make Payments,Apple iOS,29-08-2024,39.419
2025-02-04,3,1,BL,BIL LING,DR_Client Errors on Make Payment,Client Errors on Payment Page,Apple iOS,29-08-2024,0.004
2025-02-04,4,1,BL,BIL LING,DR_Server Errors on Make Payment,Server Errors on Payment Page,Apple iOS,29-08-2024,0.004
2025-02-04,5,1,BL,BIL LING,DR_Payment Submit,Payment Submit,Apple iOS,29-08-2024,36.536
2025-02-04,6,1,BL,BIL LING,DR_Payments,Payment Success Rate,Apple iOS,29-08-2024,97.879
2025-02-04,7,1,BL,BIL LING,DR_Promise to Pay,Promise to Pay - Linkout,Apple iOS,29-08-2024,0.0
2025-02-04,8,1,BL,BIL LING,DR_Promise to Pay (Native),Promise to Pay - Native,Apple iOS,29-08-2024,4.212
2025-02-04,9,1,BL,BIL LING,DR_CoxApp | Billing - Additional time to pay (Link out),Additional time to pay - Linkout,Apple iOS,29-08-2024,65.156
2025-02-04,10,1,BL,BIL LING,DR_CoxApp | Billing - Future date payment (Link out),Future date payment - Linkout,Apple iOS,29-08-2024,7.512
2025-02-04,11,1,BL,BIL LING,DR_Billing - View Bill Details,Bill Downloads,Apple iOS,29-08-2024,8.903
2025-02-04,12,1,BL,BIL LING,DR_Billing - Activity & Statements,Activity & Statements,Apple iOS,29-08-2024,7.124
2025-02-04,13,1,BL,BIL LING,DR_Billing - Automatic Payments,Easy Pay Enrollments,Apple iOS,29-08-2024,3.414
2025-02-04,14,1,BL,BIL LING,DR_Billing - Manage Payment Methods,Payment Method Changes,Apple iOS,29-08-2024,3.729
2025-02-04,15,1,BL,BIL LING,DR_Billing - Agreements & Discounts,Agreement & Discounts,Apple iOS,29-08-2024,2.795
2025-02-04,16,1,BL,BIL LING,DR_Billing - Bill Delivery,Bill Delivery Options,Apple iOS,29-08-2024,1.093
2025-02-04,17,1,BL,BIL LING,DR_Billing - Edit Billing Address,Address Changes,Apple iOS,29-08-2024,0.191
2025-02-04,18,1,BL,BIL LING,DR_Billing - Move My Service,Move Service,Apple iOS,29-08-2024,1.087
2025-02-04,19,1,BL,BIL LING,DR_Billing visits to chat,Billing_Interacted with chat,Apple iOS,29-08-2024,3.117
2025-02-04,44,3,DU,DATA USAGE,DR_Total Data Usage Visits,Total Data Usage Visits,Apple iOS,29-08-2024,13905.0
2025-02-04,45,3,DU,DATA USAGE,DR_Data Plan upgrade,Data Plan Upgrade,Apple iOS,29-08-2024,0.345
2025-02-04,46,3,DU,DATA USAGE,DR_Data Usage Learn More,Learn More,Apple iOS,29-08-2024,6.602
2025-02-04,47,3,DU,DATA USAGE,DR_Data Usage Courtesy Credits,Courtesy Credit,Apple iOS,29-08-2024,40.669
2025-02-04,48,3,DU,DATA USAGE,DR_Total Data Usage >=75%,Data usage >=75%,Apple iOS,29-08-2024,44.308
2025-02-04,49,3,DU,DATA USAGE,DR_Total Data Usage >=100%,Data usage >=100%,Apple iOS,29-08-2024,15.829
2025-02-04,50,3,DU,DATA USAGE,DR_Data Usage - Agent Chat Started,Data_usage Interacted with Chat,Apple iOS,29-08-2024,3.006
2025-02-04,59,5,ECN,EASY CON NECT,DR_Visits where One EC Card was shown,Easy Connect Eligible Visits,Apple iOS,29-08-2024,2116.0
2025-02-04,60,5,ECN,EASY CON NECT,DR_EC Flow>Success,Overall Success,Apple iOS,29-08-2024,26.04
2025-02-04,61,5,ECN,EASY CON NECT,DR_EC>Failure,Overall Failure,Apple iOS,29-08-2024,0.0
2025-02-04,62,5,ECN,EASY CON NECT,DR_EC Flow>Timeout,Overall Timeout,Apple iOS,29-08-2024,14.509
2025-02-04,63,5,ECN,EASY CON NECT,DR_EC>No Result,Overall No Result,Apple iOS,29-08-2024,59.452
2025-02-04,64,5,ECN,EASY CON NECT,DR_Easy Connect - Started,Started the Flow,Apple iOS,29-08-2024,26.229
2025-02-04,65,5,ECN,EASY CON NECT,DR_Easy Connect Started - Success,Success,Apple iOS,29-08-2024,28.468
2025-02-04,66,5,ECN,EASY CON NECT,DR_Easy Connect Started - Failure,Failure,Apple iOS,29-08-2024,0.0
2025-02-04,67,5,ECN,EASY CON NECT,DR_Easy Connect Started - Timeout,Timeout,Apple iOS,29-08-2024,52.793
2025-02-04,68,5,ECN,EASY CON NECT,DR_Easy Connect Started - No Result,No Result,Apple iOS,29-08-2024,18.739
2025-02-04,69,5,ECN,EASY CON NECT,DR_Easy Connect - Started Agent Chat,Easyconnect_Interacted with Chat,Apple iOS,29-08-2024,47.207
2025-02-04,70,5,ECN,EASY CON NECT,DR_Visits who did not Start EC Flow,Did Not Start the Flow,Apple iOS,29-08-2024,73.771
2025-02-04,71,5,ECN,EASY CON NECT,DR_Visits who did not Start EC Flow - Success,Did_not Success,Apple iOS,29-08-2024,25.176
2025-02-04,72,5,ECN,EASY CON NECT,DR_Visits who did not Start EC Flow - Failure,Did_not Failure,Apple iOS,29-08-2024,0.0
2025-02-04,73,5,ECN,EASY CON NECT,DR_Visits who did not Start EC Flow - No Result,Did_not No Result,Apple iOS,29-08-2024,74.824
2025-02-04,74,5,ECN,EASY CON NECT,DR_Easy Connect - Self install success,,Apple iOS,29-08-2024,0.0
2025-02-04,75,5,ECN,EASY CON NECT,DR_Easy Connect - Self install Timeout,,Apple iOS,29-08-2024,0.0
2025-02-04,96,7,LI,LOG IN,DR_Login Page Visits,Login Page Visits,Apple iOS,29-08-2024,128340.0
2025-02-04,97,7,LI,LOG IN,DR_Successful logins,Login Success Rate,Apple iOS,29-08-2024,86.564
2025-02-04,98,7,LI,LOG IN,DR_Auto Logins,Share of Auto Login (Remember/Biometrics),Apple iOS,29-08-2024,85.081
2025-02-04,99,7,LI,LOG IN,DR_Clicks to MFA Verification,with TSV,Apple iOS,29-08-2024,14.485
2025-02-04,100,7,LI,LOG IN,DR_Clicks on Forgot User ID,User ID Recovery,Apple iOS,29-08-2024,0.639
2025-02-04,101,7,LI,LOG IN,Clicks on Forgot Password,Password Reset,Apple iOS,29-08-2024,0.98
2025-02-04,102,7,LI,LOG IN,DR_Need to Register,Registration,Apple iOS,29-08-2024,0.817
2025-02-04,115,9,OA,OVER ALL,DR_Visits,Visits,Apple iOS,29-08-2024,128972.0
2025-02-04,116,9,OA,OVER ALL,Unique Visitors,Visitors,Apple iOS,29-08-2024,110767.0
2025-02-04,117,9,OA,OVER ALL,Page Views,Page Views,Apple iOS,29-08-2024,1660279.0
2025-02-04,118,9,OA,OVER ALL,Average Time Spent on Page,Average Time Spent (mins),Apple iOS,29-08-2024,3.4
2025-02-04,119,9,OA,OVER ALL,DR_New Visitors,New Visitors,Apple iOS,29-08-2024,3.221
2025-02-04,120,9,OA,OVER ALL,DR_Server Errors,Server Errors,Apple iOS,29-08-2024,1.414
2025-02-04,121,9,OA,OVER ALL,DR_Overall Chat,Visits to Chat,Apple iOS,29-08-2024,4.427
2025-02-04,122,9,OA,OVER ALL,DR_Message Us,Visits to Chat (Bot),Apple iOS,29-08-2024,2.966
2025-02-04,123,9,OA,OVER ALL,DR_Agent Chat,Visits to Agent Chat (Skip bot),Apple iOS,29-08-2024,1.603
2025-02-04,124,9,OA,OVER ALL,DR_Self Service Initiated,Visits to Self Service Features,Apple iOS,29-08-2024,54.62
2025-02-04,125,9,OA,OVER ALL,DR_CoxApp | Visits with Chat and No Self Service Initiated,Visits with Chat but No Self Service,Apple iOS,29-08-2024,1.129
2025-02-04,126,9,OA,OVER ALL,DR_CoxApp | Visits with No Self Service and No Chat,Visits with Neither Self Service nor Chat,Apple iOS,29-08-2024,31.659
2025-02-04,127,9,OA,OVER ALL,DR_CoxApp | Visits not logged in,Not Logged-in Visits,Apple iOS,29-08-2024,13.293
2025-02-04,128,10,RG(,RE GISTRATION (NATIVE),DR_Native Registration Home Page,Visits to Registration Home Page,Apple iOS,29-08-2024,1836.0
2025-02-04,129,10,RG(,RE GISTRATION (NATIVE),DR_Native Registration Confirmation,New Registrations,Apple iOS,29-08-2024,36.166
2025-02-04,130,10,RG(,RE GISTRATION (NATIVE),DR_Native Registration - Already Registered,Already Registered,Apple iOS,29-08-2024,21.678
2025-02-04,131,10,RG(,RE GISTRATION (NATIVE),DR_Native Registration - Did not Registered,Did not Register,Apple iOS,29-08-2024,42.538
2025-02-04,132,10,RG(,RE GISTRATION (NATIVE),DR_Native Registration - Server Form Errors,Reg_native Server Errors,Apple iOS,29-08-2024,22.767
2025-02-04,133,10,RG(,RE GISTRATION (NATIVE),DR_CoxApp | Chat from Registration Flow,Reg_native Interacted with Chat,Apple iOS,29-08-2024,14.815
2025-02-04,134,10,RG(,RE GISTRATION (NATIVE),DR_Native Registration - Intent to Register,Intent to Register,Apple iOS,29-08-2024,1516.0
2025-02-04,135,10,RG(,RE GISTRATION (NATIVE),DR_Native Registration Success,Funnel Success Rate,Apple iOS,29-08-2024,70.119
2025-02-04,136,10,RG(,RE GISTRATION (NATIVE),DR_Native Registration - Phone Lookup,Phone Lookup,Apple iOS,29-08-2024,1372.0
2025-02-04,137,10,RG(,RE GISTRATION (NATIVE),DR_Native Registration - Phone Lookup Success,Phone Lookup Success Rate,Apple iOS,29-08-2024,76.968
2025-02-04,138,10,RG(,RE GISTRATION (NATIVE),DR_Native Registration - Email Lookup,Email Lookup,Apple iOS,29-08-2024,407.0
2025-02-04,139,10,RG(,RE GISTRATION (NATIVE),DR_Native Registration - Email Lookup Success,Email Lookup Success Rate,Apple iOS,29-08-2024,56.02
2025-02-04,140,11,RM,RESET MODEM,DR_Reset Modem - Home Page,Reset Modem Start Page Visits,Apple iOS,29-08-2024,5306.0
2025-02-04,141,11,RM,RESET MODEM,DR_Reset Modem - Started Rebooting Process,Started Reset Process,Apple iOS,29-08-2024,91.199
2025-02-04,142,11,RM,RESET MODEM,DR_Reset Modem - Rebooting Complete,Reset Process Complete,Apple iOS,29-08-2024,30.544
2025-02-04,143,11,RM,RESET MODEM,DR_Reset Modem - Rebooting Incomplete,Reset Process Incomplete,Apple iOS,29-08-2024,45.485
2025-02-04,144,11,RM,RESET MODEM,DR_Reset Modem - Agent Chat,Reset_Modem Interacted with Chat,Apple iOS,29-08-2024,14.569
2025-02-04,145,11,RM,RESET MODEM,DR_Reset Modem - Error Outage,Error Outage,Apple iOS,29-08-2024,0.0
2025-02-04,146,11,RM,RESET MODEM,DR_Reset Modem Error - Non Pay,Non Pay Error,Apple iOS,29-08-2024,0.0
2025-02-04,147,11,RM,RESET MODEM,DR_Reset Modem Error -DMCA,DMCA Error,Apple iOS,29-08-2024,0.0
2025-02-04,148,12,RTB,RESET TV BOX,DR_Reset Tvbox - Home Page,Reset TV Box Start Page Visits,Apple iOS,29-08-2024,663.0
2025-02-04,149,12,RTB,RESET TV BOX,DR_Reset Tvbox - Rebooting,Reset_TV Started Reset Process,Apple iOS,29-08-2024,93.062
2025-02-04,150,12,RTB,RESET TV BOX,DR_Reset Tvbox - Complete,Reset_TV Process Complete,Apple iOS,29-08-2024,34.684
2025-02-04,151,12,RTB,RESET TV BOX,DR_Reset Tvbox - Incomplete,Reset_TV Process Incomplete,Apple iOS,29-08-2024,43.76
2025-02-04,152,12,RTB,RESET TV BOX,DR_Reset Tvbox - Agent Chat,Reset_TV Interacted with Chat,Apple iOS,29-08-2024,18.314
2025-02-04,153,12,RTB,RESET TV BOX,DR_Reset Tvbox - Error Outage,Reset_TV Error Outage,Apple iOS,29-08-2024,0.0
2025-02-04,154,12,RTB,RESET TV BOX,DR_Reset Tvbox Error - Non Pay,Reset_TV Non Pay Error,Apple iOS,29-08-2024,0.0
2025-02-04,155,12,RTB,RESET TV BOX,DR_Reset Tvbox Error - DMCA,Reset_TV DMCA Error,Apple iOS,29-08-2024,0.0
2025-02-04,182,15,SH,SMART HELP,DR_SmartHelp - Landing Page,Devices Page Visits,Apple iOS,29-08-2024,3444.0
2025-02-04,183,15,SH,SMART HELP,DR_SmartHelp - Started,Started Troubleshooting (Solution Center),Apple iOS,29-08-2024,2.323
2025-02-04,184,15,SH,SMART HELP,DR_SmartHelp - Result,Saw a Result,Apple iOS,29-08-2024,95.0
2025-02-04,185,15,SH,SMART HELP,DR_SmartHelp Result - Unknown,1st common reason (Unknown),Apple iOS,29-08-2024,78.947
2025-02-04,186,15,SH,SMART HELP,DR_SmartHelp Result - Disconnected,2nd common reason (Disconnected),Apple iOS,29-08-2024,14.474
2025-02-04,187,15,SH,SMART HELP,DR_SmartHelp Result - Incomplete Install,3rd common reason (Incomplete Install),Apple iOS,29-08-2024,5.263
2025-02-04,188,15,SH,SMART HELP,DR_SmartHelp - Reboot Flow Started,Did a Device Reboot,Apple iOS,29-08-2024,0.929
2025-02-04,189,15,SH,SMART HELP,DR_SmartHelp - P&P,Started Proactive and Preventive (P&P),Apple iOS,29-08-2024,59.379
2025-02-04,190,15,SH,SMART HELP,DR_Smarthelp P&P - Let's troubleshoot together,Started P&P troubleshooting,Apple iOS,29-08-2024,55.257
2025-02-04,191,15,SH,SMART HELP,DR_Smarthelp P&P - Reset Complete,Smarthelp Reset Complete,Apple iOS,29-08-2024,19.56
2025-02-04,192,15,SH,SMART HELP,DR_Smarthelp P&P - Let's schedule a technician visit,Schedule Tech,Apple iOS,29-08-2024,22.885
2025-02-04,193,15,SH,SMART HELP,DR_Smarthelp P&P - Connect with a support agent,Connect with Agent,Apple iOS,29-08-2024,3.863
2025-02-04,194,15,SH,SMART HELP,DR_Smarthelp P&P - Interacted with Chat Agent,Smarthelp_P&P Interacted with Chat,Apple iOS,29-08-2024,14.23
2025-02-04,195,15,SH,SMART HELP,DR_SmartHelp - Billing & Account Support,Clicked Billing & Account Support,Apple iOS,29-08-2024,17.393
2025-02-04,196,15,SH,SMART HELP,DR_SmartHelp - Internet Support,Clicked Internet Support,Apple iOS,29-08-2024,18.438
2025-02-04,197,15,SH,SMART HELP,DR_SmartHelp - TV Support,Clicked TV Support,Apple iOS,29-08-2024,1.016
2025-02-04,198,15,SH,SMART HELP,DR_SmartHelp - Homelife Support,Clicked Homelife Support,Apple iOS,29-08-2024,0.377
2025-02-04,199,15,SH,SMART HELP,DR_SmartHelp - Agent Chat,Smarthelp_Interacted with Chat,Apple iOS,29-08-2024,0.755
2025-02-04,237,1,BL,BIL LING,DR_Visits to Billing Home,Billing Section Visits,Google Android,29-08-2024,21322.0
2025-02-04,238,1,BL,BIL LING,DR_Billing Make a Payment,Make Payments,Google Android,29-08-2024,40.235
2025-02-04,239,1,BL,BIL LING,DR_Client Errors on Make Payment,Client Errors on Payment Page,Google Android,29-08-2024,0.0
2025-02-04,240,1,BL,BIL LING,DR_Server Errors on Make Payment,Server Errors on Payment Page,Google Android,29-08-2024,1.119
2025-02-04,241,1,BL,BIL LING,DR_Payment Submit,Payment Submit,Google Android,29-08-2024,36.211
2025-02-04,242,1,BL,BIL LING,DR_Payments,Payment Success Rate,Google Android,29-08-2024,98.886
2025-02-04,243,1,BL,BIL LING,DR_Promise to Pay,Promise to Pay - Linkout,Google Android,29-08-2024,0.0
2025-02-04,244,1,BL,BIL LING,DR_Promise to Pay (Native),Promise to Pay - Native,Google Android,29-08-2024,7.148
