create_dt,metric_id,feature_id,feature_name,metrics,display_names,operating_system_type,Date,Value
31-01-2025,1,1,BIL LING,DR_Visits to Billing Home,Billing Section Visits,Apple iOS,29-08-2024,71742
31-01-2025,2,1,BIL LING,DR_Billing Make a Payment,Make Payments,Apple iOS,29-08-2024,39.419
31-01-2025,3,1,BIL LING,DR_Client Errors on Make Payment,Client Errors on Payment Page,Apple iOS,29-08-2024,0.004
31-01-2025,4,1,BIL LING,DR_Server Errors on Make Payment,Server Errors on Payment Page,Apple iOS,29-08-2024,0.004
31-01-2025,5,1,BIL LING,DR_Payment Submit,Payment Submit,Apple iOS,29-08-2024,36.536
31-01-2025,6,1,BIL LING,DR_Payments,Payment Success Rate,Apple iOS,29-08-2024,97.879
31-01-2025,7,1,BIL LING,DR_Promise to Pay,Promise to Pay - Linkout,Apple iOS,29-08-2024,0
31-01-2025,8,1,BIL LING,DR_Promise to Pay (Native),Promise to Pay - Native,Apple iOS,29-08-2024,4.212
31-01-2025,9,1,BIL LING,DR_CoxApp | Billing - Additional time to pay (Link out),Additional time to pay - Linkout,Apple iOS,29-08-2024,65.156
31-01-2025,10,1,BIL LING,DR_CoxApp | Billing - Future date payment (Link out),Future date payment - Linkout,Apple iOS,29-08-2024,7.512
31-01-2025,11,1,BIL LING,DR_Billing - View Bill Details,Bill Downloads,Apple iOS,29-08-2024,8.903
31-01-2025,12,1,BIL LING,DR_Billing - Activity & Statements,Activity & Statements,Apple iOS,29-08-2024,7.124
31-01-2025,13,1,BIL LING,DR_Billing - Automatic Payments,Easy Pay Enrollments,Apple iOS,29-08-2024,3.414
31-01-2025,14,1,BIL LING,DR_Billing - Manage Payment Methods,Payment Method Changes,Apple iOS,29-08-2024,3.729
31-01-2025,15,1,BIL LING,DR_Billing - Agreements & Discounts,Agreement & Discounts,Apple iOS,29-08-2024,2.795
31-01-2025,16,1,BIL LING,DR_Billing - Bill Delivery,Bill Delivery Options,Apple iOS,29-08-2024,1.093
31-01-2025,17,1,BIL LING,DR_Billing - Edit Billing Address,Address Changes,Apple iOS,29-08-2024,0.191
31-01-2025,18,1,BIL LING,DR_Billing - Move My Service,Move Service,Apple iOS,29-08-2024,1.087
31-01-2025,19,1,BIL LING,DR_Billing visits to chat,Billing_Interacted with chat,Apple iOS,29-08-2024,3.117
31-01-2025,96,7,LOG IN,DR_Login Page Visits,Login Page Visits,Apple iOS,29-08-2024,128340
31-01-2025,97,7,LOG IN,DR_Successful logins,Login Success Rate,Apple iOS,29-08-2024,86.564
31-01-2025,98,7,LOG IN,DR_Auto Logins,Share of Auto Login (Remember/Biometrics),Apple iOS,29-08-2024,85.081
31-01-2025,99,7,LOG IN,DR_Clicks to MFA Verification,with TSV,Apple iOS,29-08-2024,14.485
31-01-2025,100,7,LOG IN,DR_Clicks on Forgot User ID,User ID Recovery,Apple iOS,29-08-2024,0.639
31-01-2025,101,7,LOG IN,Clicks on Forgot Password,Password Reset,Apple iOS,29-08-2024,0.98
31-01-2025,102,7,LOG IN,DR_Need to Register,Registration,Apple iOS,29-08-2024,0.817
31-01-2025,115,9,OVER ALL,DR_Visits,Visits,Apple iOS,29-08-2024,128972
31-01-2025,116,9,OVER ALL,Unique Visitors,Visitors,Apple iOS,29-08-2024,110767
31-01-2025,117,9,OVER ALL,Page Views,Page Views,Apple iOS,29-08-2024,1660279
31-01-2025,118,9,OVER ALL,Average Time Spent on Page,Average Time Spent (mins),Apple iOS,29-08-2024,3.4
31-01-2025,119,9,OVER ALL,DR_New Visitors,New Visitors,Apple iOS,29-08-2024,3.221
31-01-2025,120,9,OVER ALL,DR_Server Errors,Server Errors,Apple iOS,29-08-2024,1.414
31-01-2025,121,9,OVER ALL,DR_Overall Chat,Visits to Chat,Apple iOS,29-08-2024,4.427
31-01-2025,122,9,OVER ALL,DR_Message Us,Visits to Chat (Bot),Apple iOS,29-08-2024,2.966
31-01-2025,123,9,OVER ALL,DR_Agent Chat,Visits to Agent Chat (Skip bot),Apple iOS,29-08-2024,1.603
31-01-2025,124,9,OVER ALL,DR_Self Service Initiated,Visits to Self Service Features,Apple iOS,29-08-2024,54.62
31-01-2025,125,9,OVER ALL,DR_CoxApp | Visits with Chat and No Self Service Initiated,Visits with Chat but No Self Service,Apple iOS,29-08-2024,1.129
31-01-2025,126,9,OVER ALL,DR_CoxApp | Visits with No Self Service and No Chat,Visits with Neither Self Service nor Chat,Apple iOS,29-08-2024,31.659
31-01-2025,127,9,OVER ALL,DR_CoxApp | Visits not logged in,Not Logged-in Visits,Apple iOS,29-08-2024,13.293
31-01-2025,140,11,RESET MODEM,DR_Reset Modem - Home Page,Reset Modem Start Page Visits,Apple iOS,29-08-2024,5306
31-01-2025,141,11,RESET MODEM,DR_Reset Modem - Started Rebooting Process,Started Reset Process,Apple iOS,29-08-2024,91.199
31-01-2025,142,11,RESET MODEM,DR_Reset Modem - Rebooting Complete,Reset Process Complete,Apple iOS,29-08-2024,30.544
31-01-2025,143,11,RESET MODEM,DR_Reset Modem - Rebooting Incomplete,Reset Process Incomplete,Apple iOS,29-08-2024,45.485
31-01-2025,144,11,RESET MODEM,DR_Reset Modem - Agent Chat,Reset_Modem Interacted with Chat,Apple iOS,29-08-2024,14.569
31-01-2025,145,11,RESET MODEM,DR_Reset Modem - Error Outage,Error Outage,Apple iOS,29-08-2024,0
31-01-2025,146,11,RESET MODEM,DR_Reset Modem Error - Non Pay,Non Pay Error,Apple iOS,29-08-2024,0
31-01-2025,147,11,RESET MODEM,DR_Reset Modem Error -DMCA,DMCA Error,Apple iOS,29-08-2024,0
31-01-2025,148,12,RESET TV BOX,DR_Reset Tvbox - Home Page,Reset TV Box Start Page Visits,Apple iOS,29-08-2024,663
31-01-2025,149,12,RESET TV BOX,DR_Reset Tvbox - Rebooting,Reset_TV Started Reset Process,Apple iOS,29-08-2024,93.062
31-01-2025,150,12,RESET TV BOX,DR_Reset Tvbox - Complete,Reset_TV Process Complete,Apple iOS,29-08-2024,34.684
31-01-2025,151,12,RESET TV BOX,DR_Reset Tvbox - Incomplete,Reset_TV Process Incomplete,Apple iOS,29-08-2024,43.76
31-01-2025,152,12,RESET TV BOX,DR_Reset Tvbox - Agent Chat,Reset_TV Interacted with Chat,Apple iOS,29-08-2024,18.314
31-01-2025,153,12,RESET TV BOX,DR_Reset Tvbox - Error Outage,Reset_TV Error Outage,Apple iOS,29-08-2024,0
31-01-2025,154,12,RESET TV BOX,DR_Reset Tvbox Error - Non Pay,Reset_TV Non Pay Error,Apple iOS,29-08-2024,0
31-01-2025,155,12,RESET TV BOX,DR_Reset Tvbox Error - DMCA,Reset_TV DMCA Error,Apple iOS,29-08-2024,0
31-01-2025,182,15,SMART HELP,DR_SmartHelp - Landing Page,Devices Page Visits,Apple iOS,29-08-2024,3444
31-01-2025,183,15,SMART HELP,DR_SmartHelp - Started,Started Troubleshooting (Solution Center),Apple iOS,29-08-2024,2.323
