create_dt,metric_id,feature_name,metrics,display_names,operating_system_type,1st Quartile,3rd Quartile,IQR,Upper,Lower,Yesterday,last_7_days,last_30_days,% Change Last 7 Days,% Change Last 30 Days
31-01-2025,185,SMART HELP,DR_SmartHelp Result - Unknown,1st common reason (Unknown),Apple iOS,54.423,73.521,19.099,87.845,40.099,66.216,58.29,59.206,13.59836481,11.83963842
31-01-2025,10000059,SMART HELP,DR_SmartHelp Result - Unknown,1st common reason (Unknown),Both,54.716,70.603,15.886,82.518,42.801,64.151,56.409,58.838,13.72418421,9.030743414
31-01-2025,419,SMART HELP,DR_SmartHelp Result - Unknown,1st common reason (Unknown),Google Android,50,72.135,22.135,88.737,33.399,59.375,53.121,58.332,11.77372292,1.788389866
31-01-2025,186,SMART HELP,DR_SmartHelp Result - Disconnected,2nd common reason (Disconnected),Apple iOS,10.098,23.292,13.195,33.189,0.201,21.622,20.06,23.126,7.788175305,-6.501615819
31-01-2025,10000060,SMART HELP,DR_SmartHelp Result - Disconnected,2nd common reason (Disconnected),Both,12.419,24.12,11.701,32.896,3.643,23.585,22.08,23.356,6.816814291,0.978602612
31-01-2025,420,SMART HELP,DR_SmartHelp Result - Disconnected,2nd common reason (Disconnected),Google Android,10.07,25.436,15.365,36.96,-1.453,28.125,25.846,23.867,8.817010551,17.84267253
31-01-2025,187,SMART HELP,DR_SmartHelp Result - Incomplete Install,3rd common reason (Incomplete Install),Apple iOS,1.618,6.645,5.027,10.415,-2.152,6.757,9.258,6.236,-27.01672633,8.354135375
31-01-2025,10000061,SMART HELP,DR_SmartHelp Result - Incomplete Install,3rd common reason (Incomplete Install),Both,2.532,7.189,4.657,10.682,-0.961,6.604,10.671,7.382,-38.11429872,-10.53995719
31-01-2025,421,SMART HELP,DR_SmartHelp Result - Incomplete Install,3rd common reason (Incomplete Install),Google Android,2.174,9.661,7.487,15.276,-3.441,6.25,13.843,9.852,-54.85129306,-36.56046042
31-01-2025,12,BIL LING,DR_Billing - Activity & Statements,Activity & Statements,Apple iOS,7.082,7.873,0.791,8.466,6.488,7.765,7.671,7.384,1.223509255,5.160754431
31-01-2025,10000012,BIL LING,DR_Billing - Activity & Statements,Activity & Statements,Both,7.175,7.917,0.742,8.474,6.619,7.843,7.69,7.425,1.995281179,5.625836109
31-01-2025,248,BIL LING,DR_Billing - Activity & Statements,Activity & Statements,Google Android,7.198,8.031,0.833,8.656,6.573,8.109,7.752,7.562,4.599480347,7.233063418
31-01-2025,9,BIL LING,DR_CoxApp | Billing - Additional time to pay (Link out),Additional time to pay - Linkout,Apple iOS,67.43,69.819,2.389,71.61,65.638,69.421,69.563,68.956,-0.204746336,0.674537724
31-01-2025,1000009,BIL LING,DR_CoxApp | Billing - Additional time to pay (Link out),Additional time to pay - Linkout,Both,65.5,67.9,2.401,69.701,63.699,67.764,67.253,66.997,0.759175316,1.144374475
31-01-2025,245,BIL LING,DR_CoxApp | Billing - Additional time to pay (Link out),Additional time to pay - Linkout,Google Android,61.18,63.98,2.8,66.08,59.08,64.245,62.637,63.069,2.566938831,1.865109
31-01-2025,17,BIL LING,DR_Billing - Edit Billing Address,Address Changes,Apple iOS,0.159,0.206,0.047,0.242,0.124,0.189,0.168,0.18,12.40441801,5.13628778
31-01-2025,10000017,BIL LING,DR_Billing - Edit Billing Address,Address Changes,Both,0.162,0.206,0.044,0.239,0.129,0.18,0.173,0.181,4.046242775,-0.753537953
31-01-2025,253,BIL LING,DR_Billing - Edit Billing Address,Address Changes,Google Android,0.163,0.204,0.041,0.235,0.132,0.149,0.19,0.187,-21.5199398,-20.40598291
31-01-2025,15,BIL LING,DR_Billing - Agreements & Discounts,Agreement & Discounts,Apple iOS,2.731,3.122,0.391,3.416,2.438,3.039,2.932,2.822,3.664538765,7.689581857
31-01-2025,10000015,BIL LING,DR_Billing - Agreements & Discounts,Agreement & Discounts,Both,2.778,3.191,0.413,3.501,2.468,3.055,2.975,2.873,2.703870906,6.332374234
31-01-2025,251,BIL LING,DR_Billing - Agreements & Discounts,Agreement & Discounts,Google Android,2.913,3.283,0.37,3.561,2.635,3.109,3.119,3.043,-0.31148367,2.181224597
31-01-2025,118,OVER ALL,Average Time Spent on Page,Average Time Spent (mins),Apple iOS,3.4,3.6,0.2,3.85,3.15,3.7,3.814,3.617,-2.996254682,2.304147465
31-01-2025,10000030,OVER ALL,Average Time Spent on Page,Average Time Spent (mins),Both,7.5,8.075,0.575,8.794,6.781,8.2,8.529,8.043,-3.852596315,1.947782843
31-01-2025,354,OVER ALL,Average Time Spent on Page,Average Time Spent (mins),Google Android,4.1,4.4,0.3,4.775,3.725,4.5,4.714,4.427,-4.545454545,1.656626506
31-01-2025,16,BIL LING,DR_Billing - Bill Delivery,Bill Delivery Options,Apple iOS,1.071,1.205,0.134,1.305,0.971,1.103,1.129,1.149,-2.265822785,-4.036888812
31-01-2025,10000016,BIL LING,DR_Billing - Bill Delivery,Bill Delivery Options,Both,1.086,1.223,0.137,1.326,0.983,1.104,1.144,1.171,-3.508552878,-5.700130972
31-01-2025,252,BIL LING,DR_Billing - Bill Delivery,Bill Delivery Options,Google Android,1.116,1.297,0.181,1.433,0.98,1.109,1.197,1.242,-7.351712615,-10.67736999
31-01-2025,11,BIL LING,DR_Billing - View Bill Details,Bill Downloads,Apple iOS,8.489,9.632,1.143,10.49,7.631,9.805,9.114,8.917,7.585115054,9.963027899
31-01-2025,10000011,BIL LING,DR_Billing - View Bill Details,Bill Downloads,Both,7.516,8.511,0.995,9.257,6.77,8.828,8.092,7.899,9.091551036,11.76428388
31-01-2025,247,BIL LING,DR_Billing - View Bill Details,Bill Downloads,Google Android,4.278,4.896,0.619,5.361,3.814,5.477,4.713,4.529,16.19991514,20.92376305
31-01-2025,1,BIL LING,DR_Visits to Billing Home,Billing Section Visits,Apple iOS,53851.25,68230.25,14379,86204,35877.5,59662,57673.571,59310.467,3.447729215,0.592700333
31-01-2025,1000001,BIL LING,DR_Visits to Billing Home,Billing Section Visits,Both,70027.25,88986,18958.75,112684.438,46328.812,77062,75147.286,77268.7,2.547948695,-0.26750806
31-01-2025,237,BIL LING,DR_Visits to Billing Home,Billing Section Visits,Google Android,16142.25,20595.25,4453,26161.5,10576,17400,17473.714,17958.233,-0.421858138,-3.108509189
31-01-2025,19,BIL LING,DR_Billing visits to chat,Billing_Interacted with chat,Apple iOS,3.087,3.591,0.505,3.97,2.708,3.451,3.345,3.256,3.168908819,5.992198778
31-01-2025,10000019,BIL LING,DR_Billing visits to chat,Billing_Interacted with chat,Both,3.068,3.573,0.505,3.952,2.689,3.4,3.34,3.247,1.783346876,4.709892005
31-01-2025,255,BIL LING,DR_Billing visits to chat,Billing_Interacted with chat,Google Android,3.036,3.576,0.54,3.981,2.631,3.224,3.326,3.218,-3.054254908,0.18022497
31-01-2025,195,SMART HELP,DR_SmartHelp - Billing & Account Support,Clicked Billing & Account Support,Apple iOS,16.842,18.939,2.098,20.512,15.269,19.132,17.74,17.552,7.848411152,8.999960119
31-01-2025,10000069,SMART HELP,DR_SmartHelp - Billing & Account Support,Clicked Billing & Account Support,Both,16.732,18.462,1.73,19.76,15.435,18.025,17.379,17.363,3.717129869,3.814299592
31-01-2025,429,SMART HELP,DR_SmartHelp - Billing & Account Support,Clicked Billing & Account Support,Google Android,15.981,17.903,1.922,19.345,14.539,15.857,16.691,16.987,-4.997517931,-6.650680335
31-01-2025,198,SMART HELP,DR_SmartHelp - Homelife Support,Clicked Homelife Support,Apple iOS,0.254,0.396,0.142,0.503,0.148,0.372,0.328,0.354,13.31592689,5.055069189
31-01-2025,10000072,SMART HELP,DR_SmartHelp - Homelife Support,Clicked Homelife Support,Both,0.268,0.41,0.142,0.516,0.162,0.328,0.354,0.363,-7.419354839,-9.70820334
31-01-2025,432,SMART HELP,DR_SmartHelp - Homelife Support,Clicked Homelife Support,Google Android,0.252,0.44,0.188,0.581,0.112,0.243,0.407,0.38,-40.23190443,-36.1086766
31-01-2025,196,SMART HELP,DR_SmartHelp - Internet Support,Clicked Internet Support,Apple iOS,17.069,18.419,1.35,19.432,16.056,18.512,17.957,17.961,3.089896579,3.06756664
31-01-2025,10000070,SMART HELP,DR_SmartHelp - Internet Support,Clicked Internet Support,Both,16.413,17.422,1.01,18.18,15.655,17.183,17.426,17.312,-1.392042893,-0.744001201
31-01-2025,430,SMART HELP,DR_SmartHelp - Internet Support,Clicked Internet Support,Google Android,14.666,16.35,1.684,17.613,13.403,14.581,16.415,15.999,-11.17425396,-8.865142579
31-01-2025,197,SMART HELP,DR_SmartHelp - TV Support,Clicked TV Support,Apple iOS,1.149,1.491,0.342,1.747,0.893,1.333,1.478,1.406,-9.827986084,-5.165054069
31-01-2025,10000071,SMART HELP,DR_SmartHelp - TV Support,Clicked TV Support,Both,1.091,1.422,0.331,1.67,0.843,1.15,1.421,1.36,-19.09547739,-15.4391039
31-01-2025,431,SMART HELP,DR_SmartHelp - TV Support,Clicked TV Support,Google Android,0.885,1.372,0.487,1.737,0.52,0.79,1.308,1.268,-39.60904226,-37.68077833
31-01-2025,3,BIL LING,DR_Client Errors on Make Payment,Client Errors on Payment Page,Apple iOS,0,0,0,0,0,0,0.002,0.001,-100,-100
31-01-2025,1000003,BIL LING,DR_Client Errors on Make Payment,Client Errors on Payment Page,Both,0,0,0,0,0,0,0.002,0.001,-100,-100
31-01-2025,239,BIL LING,DR_Client Errors on Make Payment,Client Errors on Payment Page,Google Android,0,0,0,0,0,0,,,0,0
31-01-2025,193,SMART HELP,DR_Smarthelp P&P - Connect with a support agent,Connect with Agent,Apple iOS,4.045,5.031,0.986,5.77,3.306,5.207,4.986,4.855,4.441388005,7.245103222
31-01-2025,10000067,SMART HELP,DR_Smarthelp P&P - Connect with a support agent,Connect with Agent,Both,3.879,4.795,0.916,5.482,3.192,4.77,4.855,4.633,-1.75944451,2.957788026
31-01-2025,427,SMART HELP,DR_Smarthelp P&P - Connect with a support agent,Connect with Agent,Google Android,3.252,4.379,1.126,5.223,2.408,3.866,4.585,4.131,-15.6789431,-6.424727496
