metric_id,metrics,display_names,operating_system_type,feature_name,unique_identifier,level_1,level_2,level_3,level_4,level_5,hierarchy_id,parent_id_old,metric_sequence_num,level_no,feature_id,parent_id,metric_nature,create_dt
1,DR_Visits to Billing Home,Billing Section Visits,Apple iOS,BIL LING,BL,Billing Section Visits,,,,,Apple iOS_BL_1,,1,1,1,,Positive,2025-01-27
2,DR_Billing Make a Payment,Make Payments,Apple iOS,BIL LING,BL,,Make Payments,,,,Apple iOS_BL_1.1,Apple iOS_BL_1,2,2,1,1.0,Positive,2025-01-27
3,DR_Payment Submit,Payment Submit,Apple iOS,BIL LING,BL,,Payment Submit,,,,Apple iOS_BL_1.2,Apple iOS_BL_1,3,2,1,1.0,Positive,2025-01-27
4,DR_Payments,Payment Success Rate,Apple iOS,BIL LING,BL,,,Payment Success Rate,,,Apple iOS_BL_1.2.1,Apple iOS_BL_1.2,4,3,1,3.0,Positive,2025-01-27
5,DR_Client Errors on Make Payment,Client Errors on Payment Page,Apple iOS,BIL LING,BL,,,Client Errors on Payment Page,,,Apple iOS_BL_1.2.2,Apple iOS_BL_1.2,5,3,1,3.0,Negative,2025-01-27
6,DR_Server Errors on Make Payment,Server Errors on Payment Page,Apple iOS,BIL LING,BL,,,Server Errors on Payment Page,,,Apple iOS_BL_1.2.3,Apple iOS_BL_1.2,6,3,1,3.0,Negative,2025-01-27
7,DR_Promise to Pay,Promise to Pay - Linkout,Apple iOS,BIL LING,BL,,Promise to Pay - Linkout,,,,Apple iOS_BL_1.3,Apple iOS_BL_1,7,2,1,1.0,Positive,2025-01-27
8,DR_Promise to Pay (Native),Promise to Pay - Native,Apple iOS,BIL LING,BL,,Promise to Pay - Native,,,,Apple iOS_BL_1.4,Apple iOS_BL_1,8,2,1,1.0,Positive,2025-01-27
9,DR_CoxApp | Billing - Additional time to pay (Link out),Additional time to pay - Linkout,Apple iOS,BIL LING,BL,,,Additional time to pay - Linkout,,,Apple iOS_BL_1.4.1,Apple iOS_BL_1.4,9,3,1,8.0,Positive,2025-01-27
10,DR_CoxApp | Billing - Future date payment (Link out),Future date payment - Linkout,Apple iOS,BIL LING,BL,,,Future date payment - Linkout,,,Apple iOS_BL_1.4.2,Apple iOS_BL_1.4,10,3,1,8.0,Positive,2025-01-27
11,DR_Billing - View Bill Details,Bill Downloads,Apple iOS,BIL LING,BL,,Bill Downloads,,,,Apple iOS_BL_1.5,Apple iOS_BL_1,11,2,1,1.0,Positive,2025-01-27
12,DR_Billing - Activity & Statements,Activity & Statements,Apple iOS,BIL LING,BL,,Activity & Statements,,,,Apple iOS_BL_1.6,Apple iOS_BL_1,12,2,1,1.0,Positive,2025-01-27
13,DR_Billing - Automatic Payments,Easy Pay Enrollments,Apple iOS,BIL LING,BL,,Easy Pay Enrollments,,,,Apple iOS_BL_1.7,Apple iOS_BL_1,13,2,1,1.0,Positive,2025-01-27
14,DR_Billing - Manage Payment Methods,Payment Method Changes,Apple iOS,BIL LING,BL,,Payment Method Changes,,,,Apple iOS_BL_1.8,Apple iOS_BL_1,14,2,1,1.0,Positive,2025-01-27
15,DR_Billing - Agreements & Discounts,Agreement & Discounts,Apple iOS,BIL LING,BL,,Agreement & Discounts,,,,Apple iOS_BL_1.9,Apple iOS_BL_1,15,2,1,1.0,Positive,2025-01-27
16,DR_Billing - Bill Delivery,Bill Delivery Options,Apple iOS,BIL LING,BL,,Bill Delivery Options,,,,Apple iOS_BL_1.10,Apple iOS_BL_1,16,2,1,1.0,Positive,2025-01-27
17,DR_Billing - Edit Billing Address,Address Changes,Apple iOS,BIL LING,BL,,Address Changes,,,,Apple iOS_BL_1.11,Apple iOS_BL_1,17,2,1,1.0,Positive,2025-01-27
18,DR_Billing - Move My Service,Move Service,Apple iOS,BIL LING,BL,,Move Service,,,,Apple iOS_BL_1.12,Apple iOS_BL_1,18,2,1,1.0,Positive,2025-01-27
19,DR_Billing visits to chat,Billing_Interacted with chat,Apple iOS,BIL LING,BL,,Billing_Interacted with chat,,,,Apple iOS_BL_1.13,Apple iOS_BL_1,19,2,1,1.0,Negative,2025-01-27
