"CUSTOMER_CATEGORY_DESC","E2E_FINAL_TREATMENT","customer_status_cd","contact_date","Type","channel","customer_key","contact_id","subcontact_id","total_agents","interactions","self_service","chat_count","call_count"
"BUSINESS ACCOUNT","Bronze","A","2023-09-01","Single/Mutiple Relation Location","Phone First","2","2","2","0","2","2","0","0"
"BUSINESS ACCOUNT","Bronze","A","2023-09-01","Single/Mutiple Account Location","Phone First","2","2","2","0","2","2","0","0"
"BUSINESS ACCOUNT","Bronze","A","2023-09-01","Single/Mutiple Relation Location","Digital First","4","4","6","0","7","6","0","0"
"BUSINESS ACCOUNT","Bronze","A","2023-09-01","Single/Mutiple Account Location","Digital First","4","4","6","0","7","6","0","0"
"CARRIER","Bronze","A","2023-09-01","Single/Mutiple Relation Location","Phone First","9","9","12","8","20","4","0","8"
"CARRIER","Bronze","A","2023-09-01","Single/Mutiple Account Location","Phone First","9","9","12","8","20","4","0","8"
"CB BRONZE","Bronze","A","2023-09-01","Single/Mutiple Relation Location","Phone First","49153","49153","55168","31397","101356","27599","299","31098"
"CB BRONZE","Bronze","A","2023-09-01","Single/Mutiple Account Location","Phone First","49153","49153","55168","31397","101356","27599","299","31098"
"CB BRONZE","Silver","A","2023-09-01","Single/Mutiple Relation Location","Phone First","26","26","31","19","58","14","0","19"
"CB BRONZE","Diamond","A","2023-09-01","Single/Mutiple Relation Location","Phone First","9","9","9","5","15","4","0","5"
"CB BRONZE","Bronze","A","2023-09-01","Single/Mutiple Relation Location","Digital First","68146","68146","82048","6171","167833","76763","3336","2835"
"CB BRONZE","Silver","A","2023-09-01","Single/Mutiple Relation Location","Digital First","26","26","34","1","228","33","1","0"
"CB BRONZE","Silver","A","2023-09-01","Single/Mutiple Account Location","Phone First","26","26","31","19","58","14","0","19"
"CB BRONZE","Silver","A","2023-09-01","Single/Mutiple Account Location","Digital First","26","26","34","1","228","33","1","0"
"CB BRONZE","Bronze","A","2023-09-01","Single/Mutiple Account Location","Digital First","68146","68146","82048","6171","167833","76763","3336","2835"
"CB BRONZE","Diamond","A","2023-09-01","Single/Mutiple Account Location","Phone First","9","9","9","5","15","4","0","5"
"CB DIAMOND","Bronze","A","2023-09-01","Single/Mutiple Relation Location","Phone First","1","1","1","1","2","0","0","1"
"CB DIAMOND","Diamond","A","2023-09-01","Single/Mutiple Account Location","Phone First","1087","1087","1247","998","3054","460","8","990"
"CB DIAMOND","Bronze","A","2023-09-01","Single/Mutiple Account Location","Phone First","1","1","1","1","2","0","0","1"
"CB DIAMOND","Bronze","A","2023-09-01","Single/Mutiple Relation Location","Digital First","1","1","1","0","1","1","0","0"
"CB DIAMOND","Bronze","A","2023-09-01","Single/Mutiple Account Location","Digital First","1","1","1","0","1","1","0","0"
"CB DIAMOND","Diamond","A","2023-09-01","Single/Mutiple Relation Location","Digital First","1481","1481","1888","208","5598","1738","63","145"
"CB DIAMOND","Diamond","A","2023-09-01","Single/Mutiple Relation Location","Phone First","1087","1087","1247","998","3054","460","8","990"
"CB DIAMOND","Diamond","A","2023-09-01","Single/Mutiple Account Location","Digital First","1481","1481","1888","208","5598","1738","63","145"
"CB GOLD","Silver","A","2023-09-01","Single/Mutiple Relation Location","Digital First","5","5","6","1","8","5","0","1"
"CB GOLD","Diamond","A","2023-09-01","Single/Mutiple Relation Location","Phone First","1","1","1","2","5","0","0","2"
"CB GOLD","Silver","A","2023-09-01","Single/Mutiple Account Location","Digital First","5","5","6","1","8","5","0","1"
"CB GOLD","Diamond","A","2023-09-01","Single/Mutiple Account Location","Phone First","1","1","1","2","5","0","0","2"
"CB GOLD","Bronze","A","2023-09-01","Single/Mutiple Account Location","Phone First","15","15","17","16","39","5","0","16"
"CB GOLD","Silver","A","2023-09-01","Single/Mutiple Relation Location","Phone First","5","5","5","3","14","4","0","3"
"CB GOLD","Diamond","A","2023-09-01","Single/Mutiple Account Location","Digital First","2","2","3","0","3","3","0","0"
"CB GOLD","Silver","A","2023-09-01","Single/Mutiple Account Location","Phone First","5","5","5","3","14","4","0","3"
"CB GOLD","Bronze","A","2023-09-01","Single/Mutiple Account Location","Digital First","15","15","15","0","23","15","0","0"
"CB GOLD","Diamond","A","2023-09-01","Single/Mutiple Relation Location","Digital First","2","2","3","0","3","3","0","0"
"CB GOLD","Bronze","A","2023-09-01","Single/Mutiple Relation Location","Digital First","15","15","15","0","23","15","0","0"
"CB GOLD","Bronze","A","2023-09-01","Single/Mutiple Relation Location","Phone First","15","15","17","16","39","5","0","16"
"CB PLATINUM","Bronze","A","2023-09-01","Single/Mutiple Relation Location","Digital First","2","2","2","0","2","2","0","0"
"CB PLATINUM","Diamond","A","2023-09-01","Single/Mutiple Account Location","Digital First","2","2","2","0","89","2","0","0"
"CB PLATINUM","Diamond","A","2023-09-01","Single/Mutiple Account Location","Phone First","10","10","11","7","18","4","0","7"
"CB PLATINUM","Silver","A","2023-09-01","Single/Mutiple Account Location","Digital First","1","1","1","0","1","1","0","0"
"CB PLATINUM","Bronze","A","2023-09-01","Single/Mutiple Account Location","Digital First","2","2","2","0","2","2","0","0"
"CB PLATINUM","Bronze","A","2023-09-01","Single/Mutiple Relation Location","Phone First","11","11","14","7","21","7","0","7"
"CB PLATINUM","Silver","A","2023-09-01","Single/Mutiple Relation Location","Digital First","1","1","1","0","1","1","0","0"
"CB PLATINUM","Bronze","A","2023-09-01","Single/Mutiple Account Location","Phone First","11","11","14","7","21","7","0","7"
"CB PLATINUM","Diamond","A","2023-09-01","Single/Mutiple Relation Location","Digital First","2","2","2","0","89","2","0","0"
"CB PLATINUM","Diamond","A","2023-09-01","Single/Mutiple Relation Location","Phone First","10","10","11","7","18","4","0","7"
"CB SILVER","Silver","A","2023-09-01","Single/Mutiple Relation Location","Digital First","3211","3211","4157","318","8968","3901","158","160"
