"id","hs_feature_name","hs_feature_id","primary_intent","primary_intent_detail","cont_display_metric_name","cont_display_metric_seq","create_dt"
"1","SMART HELP","15","Equipment Support","SmartHelp","Smarthelp_containment_rate","1","2025-02-20"
"2","SMART HELP","15","Equipment Support","PnP","PnP_containment_rate","2","2025-02-20"
"3","BIL LING","1","Billing","Billing Concern","Billing_containment_rate","1","2025-02-20"
"4","BIL LING","1","Billing","Billing General","Billing_containment_rate","1","2025-02-20"
"5","BIL LING","1","Billing","Billing Preferences","Billing_containment_rate","1","2025-02-20"
"6","BIL LING","1","Billing","EasyPay","Billing_containment_rate","1","2025-02-20"
"7","BIL LING","1","Billing","Non-Pay Suspension/Disconnect","Billing_containment_rate","1","2025-02-20"
"8","BIL LING","1","Billing","Pay Bill","Billing_containment_rate","1","2025-02-20"
"9","BIL LING","1","Billing","Payment Arrangement","Billing_containment_rate","1","2025-02-20"
"10","BIL LING","1","Billing","Payment Concerns","Billing_containment_rate","1","2025-02-20"
"11","BIL LING","1","Billing","Payment Method","Billing_containment_rate","1","2025-02-20"
"12","BIL LING","1","Billing","Statement Inquiry","Billing_containment_rate","1","2025-02-20"
"13","BIL LING","1","Billing","Usage Inquiry","Billing_containment_rate","1","2025-02-20"
"14","DATA USAGE","3","Billing","Usage Inquiry","Datausage_containment_rate","1","2025-02-20"
"15","LOG IN","7","Account Settings","Access/Authenticate","Login_containment_rate","1","2025-02-20"
"16","LOG IN","7","Account Settings","Contact Preferences","Login_containment_rate","1","2025-02-20"
"17","LOG IN","7","Account Settings","Identity Management - Profile","Login_containment_rate","1","2025-02-20"
"18","LOG IN","7","Account Settings","Identity Management - Users","Login_containment_rate","1","2025-02-20"
"19","LOG IN","7","Account Settings","Name/Business Change","Login_containment_rate","1","2025-02-20"
"20","LOG IN","7","Account Settings","Privacy","Login_containment_rate","1","2025-02-20"
"21","E COMMERCE","4","Manage Services","Add/Upgrade","Ecommerce_containment_rate","1","2025-02-20"
"22","E COMMERCE","4","Manage Services","Campaign Rolloff","Ecommerce_containment_rate","1","2025-02-20"
"23","E COMMERCE","4","Manage Services","Cox Complete Care","Ecommerce_containment_rate","1","2025-02-20"
"24","E COMMERCE","4","Manage Services","Disconnect/Downgrade","Ecommerce_containment_rate","1","2025-02-20"
"25","E COMMERCE","4","Manage Services","Move Address","Ecommerce_containment_rate","1","2025-02-20"
"26","E COMMERCE","4","Manage Services","None","Ecommerce_containment_rate","1","2025-02-20"
"27","E COMMERCE","4","Manage Services","Offer/Deal Inquiry","Ecommerce_containment_rate","1","2025-02-20"
"28","E COMMERCE","4","Manage Services","Order PPV","Ecommerce_containment_rate","1","2025-02-20"
"29","E COMMERCE","4","Manage Services","Remote Replacement","Ecommerce_containment_rate","1","2025-02-20"
"30","E COMMERCE","4","Manage Services","Repackage","Ecommerce_containment_rate","1","2025-02-20"
