"Service","Managed Workflows for Apache Airflow($)","Config($)","VPC($)","OpenSearch Service($)","S3($)","SageMaker($)","CloudWatch($)","QuickSight($)","GuardDuty($)","CloudTrail($)","Athena($)","Key Management Service($)","Glue($)","EC2-Other($)","Claude 3 Haiku ( Bedrock Edition)($)","Secrets Manager($)","Cost Explorer($)","Service Catalog($)","Polly($)","CloudWatch Events($)","SNS($)","SQS($)","Lambda($)","Step Functions($)","API Gateway($)","Simple Workflow Service($)","Elastic File System($)","Glacier($)","Tax($)","CloudFormation($)","Total costs($)"
"Service total","457.8125493502","250.407","193.924025043","148.5600079236","126.8531633283","75.3804292822","69.6943887928","59.903224848","21.5437392976","13.890292","9.02604","6.852784718","2.934165962","0.5264516412","0.38494525","0.3370730592","0.21","0.1162","0.04797","0.001902","0.0008285567","0.000326","0.0003043402","0.0000624519","0.0000225581","0.000014972","0.0000037375","0.000001857","0","0","1438.4079169695"
"2025-01-01","17.76","9.906","7.5240020807","5.7600003072","5.0462150379","1.2225806448","2.2875125937","2.322580608","0.80987828","0.040902","0.0869","0.036878064","0.000233","0.0206451624","","0.0130182256","0.01","0","","0.000081","0.0000035","0.0000104","","0.0000013417","","0.0000004628","0.0000001449","0.0000000704","0","","52.8474429241"
"2025-01-02","17.76","9.804","7.5171597767","5.7600003074","5.0589431181","3.4727433374","2.2796386149","2.322580608","0.82614196","0.043209","0.087125","0.037979064","0.0025425152","0.0206451624","","0.0130182256","0.01","0","","0.000081","0.000005","0.0000084","","0.0000021711","","0.0000002314","0.0000001449","0.0000000716","","","55.0158237087"
"2025-01-03","17.76","9.9","7.5144066845","5.7600003072","4.8406445133","2.9551731197","2.276077994","2.322580608","0.8464681594","0.039784","0.087335","0.038426064","1.266350008","0.0206451624","","0.0130632256","","0.007","","0.00008","0.0000075","0.0000136","0.0000067375","0.0000022215","","0.0000006942","0.0000001449","0.000000071","","","55.6480658152"
"2025-01-04","17.76","10.137","7.5143906062","5.7600003072","4.8459839121","1.2225806448","2.2714115618","2.322580608","0.83105352","0.038615","0.087065","0.037946064","0.0028665152","0.0206451624","","0.0131682256","0.01","0.0056","","0.000012","0.0000105","0.0000156","","0.0000031268","","0.0000004628","0.0000001449","0.0000000722","","","52.880949034"
"2025-01-05","17.76","10.218","7.5161867092","5.7600003072","4.8517490526","1.2225806448","2.2732009209","2.322580608","0.8409696","0.037853","0.086985","0.037610064","0.0027715152","0.0206451624","","0.0131682256","0.01","0.0042","","0.000079","0.0000085","0.0000168","","0.0000024894","","0.0000006942","0.0000001449","0.0000000722","","","52.9786085106"
"2025-01-06","17.76","9.903","7.5122990918","5.7600003072","4.8580927052","4.6809411532","2.2679383922","2.322580608","0.83070188","0.038008","0.08773","0.037742064","0.0035945152","0.0206451624","","0.0130882256","0.01","0.0056","0.04797","0.000083","0.0000105","0.0000128","","0.0000020872","","0.0000006942","0.0000001449","0.000000071","","","56.1600414021"
"2025-01-07","17.76","9.477","7.5097882709","5.7600003072","5.9094318278","10.7788905688","5.0282515956","2.322580608","0.8427576","2.349624","1.16028","2.281138978","0.004910884","0.0206451624","0.1019315","0.0131282256","0.01","0.0042","","0.000078","0.0000085","0.0000104","","0.0000031767","","0.0000006942","0.0000001449","0.000000071","","","71.3346605151"
"2025-01-08","17.76","8.934","7.5160490869","5.7600003072","4.7361257883","4.0743903808","2.373018574","2.322580608","0.86879028","0.119655","0.34864","0.059749978","0.0044608384","0.0206451624","","0.0131082256","0.01","0.0042","","0.000081","0.0000115","0.0000148","","0.0000028083","","0.0000004628","0.0000001449","0.000000071","","","54.9255250166"
"2025-01-09","17.76","8.493","7.518494358","5.7600003072","5.2399353282","1.5567704574","2.3378500449","2.322580608","0.83157128","0.261723","1.129645","0.130067064","0.0044856286","0.0206451624","0.06112575","0.0130932256","0.01","0.0056","","0.00008","0.0000095","0.0000136","","0.0000024052","","0.0000006897","0.0000001449","0.0000000709","","","53.456693625"
"2025-01-10","17.76","8.829","7.5202871812","5.7600003074","4.7788379023","1.2225806448","2.1901091804","2.322580608","0.8138294125","0.119639","0.302095","0.068327064","0.0044340694","0.0206451624","","0.0125705912","","0.0042","","0.000009","0.0000105","0.000014","0.0000063146","0.0000025401","","0.0000006897","0.0000001449","0.0000000685","","","51.7291793814"
"2025-01-11","17.76","10.221","7.5271435766","5.7600003072","4.7280059065","1.2225806448","2.1142519526","2.322580608","0.81978248","0.038199","0.16989","0.038465064","0.0026602584","0.0206451624","","0.0131082256","0.01","0.0056","","0.00008","0.000009","0.0000136","","0.0000025138","","0.0000006897","0.0000001449","0.0000000697","","","52.7740192042"
"2025-01-12","17.5125493502","10.632","7.5306176472","5.7600003072","4.727843339","1.2225806448","2.1204336425","2.322580608","0.816201","0.038219","0.16985","0.038114064","0.0027082584","0.0206451624","","0.0130932256","0.01","0.0042","","0.000081","0.0000085","0.0000124","","0.0000029671","","0.0000006897","0.0000001449","0.0000000721","","","52.9417420231"
"2025-01-13","17.76","9.603","7.5248373983","5.7600003072","5.7959610962","1.2225806448","4.9037489554","2.322580608","0.81323588","2.38313","1.14223","2.259986064","0.0039480568","0.0206451624","","0.0130532256","0.01","0.0056","","0.000079","0.00001","0.0000136","","0.0000019786","","0.0000006897","0.0000001449","0.0000000685","","","61.5446428804"
"2025-01-14","17.76","9.435","7.5195444062","5.7600003071","4.7337481074","4.0809927999","2.1185954724","2.322580608","0.81814556","0.049267","0.23467","0.040766064","0.0030592584","0.0206451624","","0.0131982256","0.01","0.0042","","0.000082","0.0000105","0.0000116","","0.0000023807","","0.0000004598","0.0000001449","0.0000000697","","","54.9245201265"
"2025-01-15","17.76","9.039","7.519941572","5.7600003072","5.8701738123","9.0141450884","4.5319612261","2.322580608","0.866612","2.431143","0.56195","0.418643064","0.005955105","0.0206451624","0.0600225","0.0130632256","0.01","0.0056","","0.00008","0.000007","0.0000128","","0.0000024899","","0.0000006897","0.0000001449","0.0000000673","","","66.2115398628"
"2025-01-16","17.76","8.748","7.5161922481","5.7600003071","4.8334695458","3.8202619546","2.2886414596","2.322580608","0.8288524","0.214923","0.2596","0.082876978","0.0036615808","0.0206451624","0.02732725","0.0130932256","","0.0028","","0.00008","0.000008","0.0000132","","0.0000020867","","0.0000004598","0.0000001449","0.0000000673","","","54.5030296787"
"2025-01-17","17.76","9.117","7.5189054333","5.7600003072","5.3807129178","1.9542781573","3.4612344108","2.322580608","0.8201416394","1.367491","0.423965","0.266207064","0.0053064032","0.0206451624","","0.0130782256","0.01","0.0042","","0.000014","0.0000085","0.0000128","0.0000064313","0.0000037039","","0.0000006897","0.0000001449","0.0000000709","","","56.2057926697"
"2025-01-18","17.76","9.93","7.576096664","5.7600003072","4.7995615708","1.2225806448","2.1249948025","2.322580608","0.82634208","0.038143","0.169845","0.037823064","0.0026944192","0.0206451624","","0.0130482256","0.01","0.0056","","0.000081","0.000007","0.0000104","","0.0000023302","","0.0000004598","0.0000001449","0.0000000745","","","52.6200569579"
"2025-01-19","17.76","10.59","7.4751110571","5.7600003072","4.7997631864","1.2225806448","2.1183334507","2.322580608","0.83045348","0.037928","0.169895","0.037907064","0.0027254192","0.0206451624","","0.0130882256","0.01","0.0056","","0.000081","0.000009","0.0000116","","0.0000024894","","0.0000006897","0.0000001449","0.0000000757","","","53.1767166051"
"2025-01-20","17.76","10.434","7.5199985881","5.7600003072","5.3450068604","1.2225806448","3.3268522581","2.322580608","0.84504112","1.258957","0.276175","0.193184064","0.0048516368","0.0206451624","","0.0130682256","0.01","0.0028","","0.000079","0.0000090076","0.0000116","","0.0000019275","","0.0000006897","0.0000001449","0.0000000745","","","56.3158439196"
"2025-01-21","17.76","11.163","7.5656608144","5.7600003072","4.8786844503","1.2225806448","2.1727739493","2.322580608","0.9648288129","0.096763","0.663295","0.049991064","0.5606063991","0.0206451624","","0.0130982256","","0.0056","","0.00011","0.0006014133","0.000016","0.0002616671","0.0000027334","","0.0000006897","0.0000001449","0.0000000757","","0","55.2211011621"
"2025-01-22","17.76","9.732","7.4667897003","5.7600003074","5.0432362457","4.0272186477","2.6295648654","2.322580608","0.9648782114","0.556723","0.49406","0.107857978","1.0264007327","0.0206451624","0.04062275","0.0131232256","0.01","0.0042","","0.000112","0.0000205523","0.0000148","0.000013423","0.0000030181","","0.0000006897","0.0000001449","0.0000000751","","","57.9800661377"
"2025-01-23","17.76","8.538","7.5681096088","5.7600003072","5.7517095959","6.5111259062","4.116495468","2.322580608","0.84217728","2.034263","0.39974","0.370802064","0.004881126","0.0206451624","0.01573","0.0131032256","0.01","0.0042","","0.000087","0.0000075132","0.0000116","","0.0000032306","","0.0000002299","0.0000001449","0.0000000774","","","62.0436731481"
"2025-01-24","17.76","9.348","7.4638807717","5.7600003072","4.9903390505","5.005110618","2.2706554075","2.322580608","0.8620398358","0.196204","0.257315","0.077291064","0.0034789356","0.0206451624","0.0781855","0.0130332256","0.01","0.0084","","0.000094","0.0000100264","0.0000116","0.0000095625","0.0000020629","0.0000197382","0.0000004598","0.0000001449","0.0000000757","","","56.4473071567"
"2025-01-25","17.76","10.125","7.5662759935","5.7600003072","4.895580678","","2.1020340282","2.322580608","0.8093494662","0.032812","0.08488","0.039002064","0.0025160976","0.0206451624","","0.0130732256","0.01","0.0042","","0.000011","0.0000120307","0.0000116","0.0000002042","0.0000015005","0.0000028199","0.0000006897","0.0000001449","0.0000000757","","","51.5479896963"
"2025-01-26","14.06","8.151","5.9018557173","4.5600002432","0.1134077795","","1.7088079713","1.838709648","0.47349608","0.027115","0.08488","0.028003462","0.0020627856","0.0103225812","","0.0103250536","","0.0028","","0.000087","0.0000050132","0.0000064","","0.0000006706","","0.0000002299","0.000000115","0.0000000574","","","36.9728858078"
"2025-01-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0"
