YEAR_MONTH_NBR,MONTH_END,CHANNEL_GROUP,SALES_CHANNEL_NM,RELEASE_INDICATOR,NRPA_NET_REV_RSTRT_TGT,NRPA_NET_REV_NEWCONN_TGT,NRPA_NET_REV_DWNTR_TGT,NRPA_NET_REV_DWNGRD_TGT,NRPA_NET_REV_DISC_TGT,NRPA_NET_REV_UPTR_TGT,NRPA_NET_REV_UPGD_TGT,NRPA_NET_REV_TRANS_TGT,ACCT_CHG_DISC_TGT,ACCT_CHG_DWNGRD_TGT,ACCT_CHG_DWNTR_TGT,ACCT_CHG_NEWCONN_TGT,ACCT_CHG_RSTRT_TGT,ACCT_CHG_UPGD_TGT,ACCT_CHG_UPTR_TGT,ACCT_CHG_TRANS_TGT,BASIC_SELLIN_CONN_TGT,DATA_SELLIN_CONN_TGT,HL_SELLIN_CONN_TGT,COMPL_PSU_CONN_TARGET,COMPL_PSU_DISC_TARGET,SELLIN_CUST_TGT
202301,2023-01-31 00:00:00,Online,Cox.com,2024LRP,,,,,,,,,,,,,,,,,,,,14784.2537958725,,
202301,2023-01-31 00:00:00,Online,Cox.com,2024LRP,,,,,,,,,,,,,,,,,,,,41536.7130455466,,
202301,2023-01-31 00:00:00,Lead Referral,,2024LRP,17903.7785674579,205893.453525765,-13127.3755770293,-7064.75215213564,-153303.519369551,56357.604154364,7293.05487116732,249.156161148315,1703.37243743946,244.743454036211,283.221747854836,3580.4820959239,228.541410378121,276.179205386871,1071.86307515916,133.630064975544,2849.28920951645,,,1025.42416386638,-809.482526741486,
202301,2023-01-31 00:00:00,Other,,2024LRP,2774.88510973779,31911.1787619845,-85250.8191524204,-52237.1753843353,-102514.556225575,145293.341384304,9671.8128735278,-83389.4908111667,1116.36875686148,1328.27539136741,3441.21,470.843760026747,30.0538570229839,271.903985489241,4843.11137947681,390.817576963652,445.857597006692,,,901.79281683704,-37637.5450594233,
202301,2023-01-31 00:00:00,Sales Operations,,2024LRP,467.650075450318,5377.97586767865,-16285.3484012845,-28659.5281730544,-97680.9738552741,82393.8999913993,136.807036724147,-45694.1109838811,1161.8729181466,453.085191807542,688.23016117842,60.2847669716983,3.84796384925734,3.42017591810366,6623.85077060013,2.68603145679486,34.6780918150351,,,31.3672201002362,-3417.93999266736,
202301,2023-01-31 00:00:00,Inbound,,2024LRP,183112.37380969,2105792.29881144,-34483.7392226065,-3787.94710443133,-194570.376478851,325498.31855,232469.597961243,-28049.3852459763,2026.77475498803,288.115711713514,1376.484,23357.3534640205,1490.89490195876,3760.03024864583,11224.07995,14024.6926229881,7774.58819779349,,,42209.0880617734,-14058.0165162124,
202301,2023-01-31 00:00:00,Retail,,2024LRP,126458.792396356,1454276.11255809,-523424.437531869,-585136.645012253,-2099862.4836,290244.212652325,88897.4518756648,-921.061783547067,18495.0753460123,8036.29072410723,18303.1753792414,19037.9136195983,1215.18597571904,7255.80060497938,10173.5193314787,3246.4783667306,9789.10071806408,,,34213.1666666667,-42266.7871948202,
202301,2023-01-31 00:00:00,Retention,,2024LRP,14754.0391891228,169671.450674912,-2389970.97531429,-1112704.73744864,-4650359.99806589,809689.392744272,30691.8036450827,-10908.6452539081,43461.3083931392,14265.4453519056,76733.632206584,1770.9233024,113.0376576,2046.12024300552,20359.4801656458,1212.07169487868,615.490234861629,,,6685.72,-79900.1235600491,
202301,2023-01-31 00:00:00,Outbound,,2024LRP,966.056832803834,11109.6535772441,-25269.460911335,-3790.88247687056,-10948.5893982201,3748.23283951362,3971.51682654177,172.949728315225,94.0419333225702,61.1858635090528,1376.484,194.931366924692,12.4424276760442,157.328092232768,149.929313580545,6.04357077778844,34.2398576853396,,,597.82231249862,-165.596761656449,
202301,2023-01-31 00:00:00,Online,Cox.com,2024LRP,220660.474881267,2537595.46113458,-738420.47081349,-325194.345,-360085.812267261,659496.4258,125330.7952776,-21568.9932111641,3758.037,4645.63349999999,27529.68,37509.370558,2394.215142,1892.6655,19396.9537,7189.66440372135,4063.73354866094,,,,-21738.5704931994,
202301,2023-01-31 00:00:00,Field Sales,,2024LRP,23223.381587063,267068.888251225,-25285.5092422298,-26402.1506580874,-139515.767582449,17922.4712352533,6523.98556378273,643.976041766567,679.559144631902,281.888694718416,679.074805823294,1490.20861380756,95.1196987536744,234.863480296178,280.525636725703,231.831375035964,800.374137466551,,,3509.7632161831,-4367.01154311869,
202301,2023-01-31 00:00:00,Care,,2024LRP,5091.50204917805,58552.2735655476,-112555.628004241,-45145.695078406,-50115.2496286729,568215.293893034,7362.69820329971,228.265668277069,357.966068776235,604.888093678104,5505.936,529.201232489099,33.7788020737722,110.300673358843,33424.4290525315,25.5172988395511,294.248666701211,,,776.165255204999,-1593.38172273177,
202301,2023-01-31 00:00:00,Field Sales,,2024LRP,35593.2838406239,409322.764167176,-6332.64938810559,-5305.35651945584,-73086.5086480868,15730.7414012009,28505.2680797595,1297.35319363192,803.148446682274,106.107130389117,244.668979318016,5028.17768403583,320.947511746968,602.80600556577,582.620051896328,1297.35319363192,2259.78532190023,,,7348,-2815.54462937992,
202301,2023-01-31 00:00:00,Retail,,2024LRP,10996.4167301179,126458.792396355,-42906.4728288582,-49142.3169575873,-177379.3464,25238.6271871587,7730.21320657953,-80.0923290040927,1503.2148,655.230892767831,1486.60272,1425.10033580158,90.9638512213778,594.631785121502,841.287572905289,246.4638,,,,3576.64,,
202302,2023-02-28 00:00:00,Online,Cox.com,2024LRP,,,,,,,,,,,,,,,,,,,,13636.2769532892,,
202302,2023-02-28 00:00:00,Online,Cox.com,2024LRP,,,,,,,,,,,,,,,,,,,,38311.444773527,,
202302,2023-02-28 00:00:00,Lead Referral,,2024LRP,12540.08,144210.92,-11884.6528728954,-10516.8010930779,-166981.355412577,45424.1133287572,8290.72545284003,661.836064159092,1614.90672546012,226.41121836551,262.007338467713,3224.2,205.8,255.492309794762,991.576366050147,134.778747482497,2575.97320448601,,,947.527927657796,-766.079032923676,
202302,2023-02-28 00:00:00,Other,,2024LRP,2164.8,24895.2,-254676,-73726.9442082625,-126960,89606.870379869,5030.74640958108,-82777.1784789488,1058,1228.78240347104,3183.45,423.940000000001,27.06,251.537320479054,4480.34351899345,394.177040375947,422.594854299478,,,833.288222595102,-35619.464495189,
202302,2023-02-28 00:00:00,Sales Operations,,2024LRP,437.140826739927,5027.11950750916,-15228.9783795849,-36738.2652673927,-100514.641890337,57477.8129671122,134.975875366496,-16354.9607749113,1101.53032208589,419.147350455137,636.679047952157,54.52,3.48,3.16399145256672,6127.69861056634,2.70912055241201,31.3752767966733,,,28.9844126023889,-3234.67410064304,
202302,2023-02-28 00:00:00,Inbound,,2024LRP,163699.339444703,1882542.40361409,-33454.8477844701,-4673.76294196927,-185111.158292904,316588.4253475,229817.185889282,-39464.585276228,1921.51294155204,266.534725417625,1273.38,21031.56,1342.44,3478.38937322964,10383.35275,13655.5658395253,7205.82992228548,,,39044.074547166,-13304.2423298711,
202302,2023-02-28 00:00:00,Retail,,2024LRP,111221.762874354,1279050.27305507,-616595.097433681,-562794.52996606,-2145135.38255206,237407.854404897,63798.3524892393,2214.2320760805,17299.4788915489,7034.93162457574,16664.7323630725,15557.8061163531,993.051454235302,7088.7058321377,9131.07132326527,3163.18868011499,8962.28661851868,,,31453.3666666667,-40000.4921531053,
202302,2023-02-28 00:00:00,Retention,,2024LRP,13025.28,149790.72,-3098090.16,-1226450,-4495476.53,913448.999999999,17661.69,-12220,41204,12910,69714,1594.24,101.76,1893,18834,1222,580.261582402924,,,6177.84,-75615.9736192952,
202302,2023-02-28 00:00:00,Outbound,,2024LRP,470.342399999999,5408.9376,-53481.96,-2882.78083783885,-10485.98,1683.80616878375,1030.44873627193,279.171850654473,89,56.6028045913774,1273.38,175.78,11.22,145.543606818069,138.699025435235,6.09552124292702,30.9347712930291,,,552.408804892588,-156.717659534581,
202302,2023-02-28 00:00:00,Online,Cox.com,2024LRP,198684.64,2284873.36,-717265.000000001,-320892,-341385,616953,115943,-23223,3562.861,4584.168,26740.98,33774.2,2155.8,1750.8975,18145.665,7741.14955704134,3768.39694797754,,,,-20572.9741043462,
202302,2023-02-28 00:00:00,Field Sales,,2024LRP,9762.048,112263.552,-12600,-15042.24,-44692.56,4038.06,14239.54,2555.4465195616,513,216,360,2707.2,172.8,238,167,315,731.711073417668,,,3497.67456348013,-4132.85755924327,
202302,2023-02-28 00:00:00,Care,,2024LRP,4145.63759999999,47674.8324,-125096.8512,-39360.8308321747,-49048.0204719862,439284.430501253,6603.9462396263,-46.7517379466031,339.374877300614,559.579625137541,5093.51999999999,476.58,30.42,102.038724345277,30719.1909441436,25.7366452479141,266.324437108998,,,717.203945157088,-1507.94648297386,
202302,2023-02-28 00:00:00,Field Sales,,2024LRP,26376.9912,303335.3988,-73773.6,-27101.28,-139402,31746,44286,-2650.24385725748,1483,430.999999999999,1180,3813.58,243.42,670.999999999999,813.999999999999,1212,2082.4517688977,,,7065,-2664.57846287478,
202302,2023-02-28 00:00:00,Retail,,2024LRP,9828.28799999998,113025.312,-47124,-62342.1601371069,-157626.21,22437.6183871079,929.346751406159,-497.178035559505,1407,904.820901844802,1386,1283.1376,81.9024,153.10490138487,1068.45801843371,107,,,,3363.04,,
202303,2023-03-31 00:00:00,Online,Cox.com,2024LRP,,,,,,,,,,,,,,,,,,,,15500.8320011927,,
202303,2023-03-31 00:00:00,Online,Cox.com,2024LRP,,,,,,,,,,,,,,,,,,,,43549.9565747794,,
202303,2023-03-31 00:00:00,Lead Referral,,2024LRP,10993.8265933871,126429.005823952,-14699.6493441626,-10413.2068311382,-188784.518180155,56058.9362267411,8477.61751779059,833.271749647672,1876.07448094931,262.025938781634,303.221365642976,3672.58,234.42,295.68151617552,1147.5523609812,163.312020955212,2941.81823782625,,,1086.36322933538,-871.652583903785,
202303,2023-03-31 00:00:00,Other,,2024LRP,4278.0901462094,49198.036681408,-175122.357343709,-60125.0141399833,-128909.113756018,177512.426485542,8673.00454152457,-86912.5085061512,1229.55549241201,1422.07115509653,2947.368,483.16,30.84,291.10440292203,5185.1062200163,477.626111537355,495.728746057062,,,955.384699534145,-40528.1921709948,
202303,2023-03-31 00:00:00,Sales Operations,,2024LRP,514.577708615385,5917.64364907692,-18240.6737401698,-41122.9047765827,-108680.649102742,80632.7490616472,182.719174788385,-25524.8597619557,1279.67324346141,485.079665149545,736.829325183627,62.04,3.96,3.66169060279283,7091.59198292249,3.28265368754196,35.8471650388708,,,33.2313160974102,-3680.44538061787,
202303,2023-03-31 00:00:00,Inbound,,2024LRP,178562.036,2053463.414,-42589.4676,-5521.45038341502,-219230.844957319,354491.616025,257634.793201014,-88934.0966101869,2232.26601117318,308.460915274582,1473.684,23005.56,1468.44,4025.54364376584,12016.66495,16199.289000034,8357.08306822184,,,44099.0918765395,-15137.7034291834,
202303,2023-03-31 00:00:00,Retail,,2024LRP,125206.4,1439873.6,-695632.736444776,-664131.182731337,-2348762.61175127,287250.560882523,58562.2419402852,-1707.78877226473,19095.6309898477,8099.1607650163,18306.1246432836,16717.9,1067.1,7320.28024253565,10638.9096623157,3415.57754452946,10267.7999241201,,,36792.7989459167,-45512.9703910733,
202303,2023-03-31 00:00:00,Retention,,2024LRP,15464,177836,-3502800,-1143611.3474486,-4614941,980872.140598317,15334.2448218457,-36736.1774172821,41204,13946.4798469341,84000.0000000001,1817.02,115.98,2190.60640312081,21797.1586799626,1481.29747650331,678.683052437034,,,7083.04,-86036.6306308056,
