Channel Group,Channel,Sub Channel,Activity,Ratio
Online,Cox.com,Cox.com,New Connect,0.7492
Online,Cox.com,Cox.com,Transfer,0.92
Online,Cox.com,Cox.com,Disconnect,0.802
Online,Cox.com,Cox.com,Upgrade,0.891
Online,Cox.com,Cox.com,Uptier,0.995
Online,Cox.com,Cox.com,Downgrade,0.996
Online,Cox.com,Cox.com,Downtier,0.989
Online,Cox.com,Cox.com,Sidegrade,1
Online,Cox.com,Cox.com,Other,1
Online,eTail,3rd Party - eTailer,New Connect,0.1898
Online,eTail,3rd Party - eTailer,Transfer,0.009
Online,eTail,3rd Party - eTailer,Disconnect,0.107
Online,eTail,3rd Party - eTailer,Upgrade,0.076
Online,eTail,3rd Party - eTailer,Uptier,0.003
Online,eTail,3rd Party - eTailer,Downgrade,0.002
Online,eTail,3rd Party - eTailer,Downtier,0.007
Online,eTail,3rd Party - eTailer,Sidegrade,1
Online,eTail,3rd Party - eTailer,Other,1
Online,eTail,3rd Party - Affinity,New Connect,0.0611
Online,eTail,3rd Party - Affinity,Transfer,0.071
Online,eTail,3rd Party - Affinity,Disconnect,0.091
Online,eTail,3rd Party - Affinity,Upgrade,0.033
Online,eTail,3rd Party - Affinity,Uptier,0.002
Online,eTail,3rd Party - Affinity,Downgrade,0.002
Online,eTail,3rd Party - Affinity,Downtier,0.004
Online,eTail,3rd Party - Affinity,Sidegrade,1
Online,eTail,3rd Party - Affinity,Other,1
