Date String,Channel Group,Channel,Sub Channel,Activity,Ratio String
1/31/24,Online,Cox.com,Cox.com,New Connect,0.709
1/31/24,Online,Cox.com,Cox.com,Transfer,0.942
1/31/24,Online,Cox.com,Cox.com,Disconnect,0.727
1/31/24,Online,Cox.com,Cox.com,Upgrade,0.93
1/31/24,Online,Cox.com,Cox.com,Uptier,1
1/31/24,Online,Cox.com,Cox.com,Downgrade,1
1/31/24,Online,Cox.com,Cox.com,Downtier,1
1/31/24,Online,Cox.com,Cox.com,Sidegrade,1
1/31/24,Online,Cox.com,Cox.com,Other,1
1/31/24,Online,eTail,3rd Party - eTailer,New Connect,0.268
1/31/24,Online,eTail,3rd Party - eTailer,Transfer,0.041
1/31/24,Online,eTail,3rd Party - eTailer,Disconnect,0.261
1/31/24,Online,eTail,3rd Party - eTailer,Upgrade,0.04
1/31/24,Online,eTail,3rd Party - eTailer,Uptier,0
1/31/24,Online,eTail,3rd Party - eTailer,Downgrade,0
1/31/24,Online,eTail,3rd Party - eTailer,Downtier,0
1/31/24,Online,eTail,3rd Party - eTailer,Sidegrade,1
1/31/24,Online,eTail,3rd Party - eTailer,Other,1
1/31/24,Online,eTail,3rd Party - Affinity,New Connect,0.023
1/31/24,Online,eTail,3rd Party - Affinity,Transfer,0.017
1/31/24,Online,eTail,3rd Party - Affinity,Disconnect,0.012
1/31/24,Online,eTail,3rd Party - Affinity,Upgrade,0.03
1/31/24,Online,eTail,3rd Party - Affinity,Uptier,0
1/31/24,Online,eTail,3rd Party - Affinity,Downgrade,0
1/31/24,Online,eTail,3rd Party - Affinity,Downtier,0
1/31/24,Online,eTail,3rd Party - Affinity,Sidegrade,1
1/31/24,Online,eTail,3rd Party - Affinity,Other,1
2/29/24,Online,Cox.com,Cox.com,New Connect,0.713
2/29/24,Online,Cox.com,Cox.com,Transfer,0.942
2/29/24,Online,Cox.com,Cox.com,Disconnect,0.727
2/29/24,Online,Cox.com,Cox.com,Upgrade,0.93
2/29/24,Online,Cox.com,Cox.com,Uptier,1
2/29/24,Online,Cox.com,Cox.com,Downgrade,1
2/29/24,Online,Cox.com,Cox.com,Downtier,1
2/29/24,Online,Cox.com,Cox.com,Sidegrade,1
2/29/24,Online,Cox.com,Cox.com,Other,1
2/29/24,Online,eTail,3rd Party - eTailer,New Connect,0.263
2/29/24,Online,eTail,3rd Party - eTailer,Transfer,0.041
2/29/24,Online,eTail,3rd Party - eTailer,Disconnect,0.261
2/29/24,Online,eTail,3rd Party - eTailer,Upgrade,0.04
2/29/24,Online,eTail,3rd Party - eTailer,Uptier,0
2/29/24,Online,eTail,3rd Party - eTailer,Downgrade,0
2/29/24,Online,eTail,3rd Party - eTailer,Downtier,0
2/29/24,Online,eTail,3rd Party - eTailer,Sidegrade,1
2/29/24,Online,eTail,3rd Party - eTailer,Other,1
2/29/24,Online,eTail,3rd Party - Affinity,New Connect,0.024
2/29/24,Online,eTail,3rd Party - Affinity,Transfer,0.017
2/29/24,Online,eTail,3rd Party - Affinity,Disconnect,0.012
2/29/24,Online,eTail,3rd Party - Affinity,Upgrade,0.03
2/29/24,Online,eTail,3rd Party - Affinity,Uptier,0
2/29/24,Online,eTail,3rd Party - Affinity,Downgrade,0
2/29/24,Online,eTail,3rd Party - Affinity,Downtier,0
2/29/24,Online,eTail,3rd Party - Affinity,Sidegrade,1
2/29/24,Online,eTail,3rd Party - Affinity,Other,1
3/31/24,Online,Cox.com,Cox.com,New Connect,0.709
3/31/24,Online,Cox.com,Cox.com,Transfer,0.942
3/31/24,Online,Cox.com,Cox.com,Disconnect,0.727
3/31/24,Online,Cox.com,Cox.com,Upgrade,0.93
3/31/24,Online,Cox.com,Cox.com,Uptier,1
3/31/24,Online,Cox.com,Cox.com,Downgrade,1
3/31/24,Online,Cox.com,Cox.com,Downtier,1
3/31/24,Online,Cox.com,Cox.com,Sidegrade,1
3/31/24,Online,Cox.com,Cox.com,Other,1
3/31/24,Online,eTail,3rd Party - eTailer,New Connect,0.273
3/31/24,Online,eTail,3rd Party - eTailer,Transfer,0.041
3/31/24,Online,eTail,3rd Party - eTailer,Disconnect,0.261
3/31/24,Online,eTail,3rd Party - eTailer,Upgrade,0.04
3/31/24,Online,eTail,3rd Party - eTailer,Uptier,0
3/31/24,Online,eTail,3rd Party - eTailer,Downgrade,0
3/31/24,Online,eTail,3rd Party - eTailer,Downtier,0
3/31/24,Online,eTail,3rd Party - eTailer,Sidegrade,1
3/31/24,Online,eTail,3rd Party - eTailer,Other,1
3/31/24,Online,eTail,3rd Party - Affinity,New Connect,0.018
3/31/24,Online,eTail,3rd Party - Affinity,Transfer,0.017
3/31/24,Online,eTail,3rd Party - Affinity,Disconnect,0.012
3/31/24,Online,eTail,3rd Party - Affinity,Upgrade,0.03
3/31/24,Online,eTail,3rd Party - Affinity,Uptier,0
3/31/24,Online,eTail,3rd Party - Affinity,Downgrade,0
3/31/24,Online,eTail,3rd Party - Affinity,Downtier,0
3/31/24,Online,eTail,3rd Party - Affinity,Sidegrade,1
3/31/24,Online,eTail,3rd Party - Affinity,Other,1
4/30/24,Online,Cox.com,Cox.com,New Connect,0.699
4/30/24,Online,Cox.com,Cox.com,Transfer,0.942
4/30/24,Online,Cox.com,Cox.com,Disconnect,0.727
4/30/24,Online,Cox.com,Cox.com,Upgrade,0.93
4/30/24,Online,Cox.com,Cox.com,Uptier,1
4/30/24,Online,Cox.com,Cox.com,Downgrade,1
4/30/24,Online,Cox.com,Cox.com,Downtier,1
4/30/24,Online,Cox.com,Cox.com,Sidegrade,1
4/30/24,Online,Cox.com,Cox.com,Other,1
4/30/24,Online,eTail,3rd Party - eTailer,New Connect,0.285
4/30/24,Online,eTail,3rd Party - eTailer,Transfer,0.041
