Date String,Channel Group,Channel,Sub Channel,Activity,Ratio String
1/31/25,Online,Cox.com,Cox.com,New Connect,0.77
1/31/25,Online,Cox.com,Cox.com,Transfer,0.96
1/31/25,Online,Cox.com,Cox.com,Disconnect,0.71
1/31/25,Online,Cox.com,Cox.com,Upgrade,0.96
1/31/25,Online,Cox.com,Cox.com,Uptier,1
1/31/25,Online,Cox.com,Cox.com,Downgrade,1
1/31/25,Online,Cox.com,Cox.com,Downtier,1
1/31/25,Online,Cox.com,Cox.com,Sidegrade,1
1/31/25,Online,Cox.com,Cox.com,Other,1
1/31/25,Online,eTail,3rd Party - eTailer,New Connect,0.23
1/31/25,Online,eTail,3rd Party - eTailer,Transfer,0.04
1/31/25,Online,eTail,3rd Party - eTailer,Disconnect,0.29
1/31/25,Online,eTail,3rd Party - eTailer,Upgrade,0.04
1/31/25,Online,eTail,3rd Party - eTailer,Uptier,0
1/31/25,Online,eTail,3rd Party - eTailer,Downgrade,0
1/31/25,Online,eTail,3rd Party - eTailer,Downtier,0
1/31/25,Online,eTail,3rd Party - eTailer,Sidegrade,1
1/31/25,Online,eTail,3rd Party - eTailer,Other,1
1/31/25,Online,eTail,3rd Party - Affinity,New Connect,0
1/31/25,Online,eTail,3rd Party - Affinity,Transfer,0
1/31/25,Online,eTail,3rd Party - Affinity,Disconnect,0
1/31/25,Online,eTail,3rd Party - Affinity,Upgrade,0
1/31/25,Online,eTail,3rd Party - Affinity,Uptier,0
1/31/25,Online,eTail,3rd Party - Affinity,Downgrade,0
1/31/25,Online,eTail,3rd Party - Affinity,Downtier,0
1/31/25,Online,eTail,3rd Party - Affinity,Sidegrade,1
1/31/25,Online,eTail,3rd Party - Affinity,Other,1
2/28/25,Online,Cox.com,Cox.com,New Connect,0.77
2/28/25,Online,Cox.com,Cox.com,Transfer,0.96
2/28/25,Online,Cox.com,Cox.com,Disconnect,0.71
2/28/25,Online,Cox.com,Cox.com,Upgrade,0.96
2/28/25,Online,Cox.com,Cox.com,Uptier,1
2/28/25,Online,Cox.com,Cox.com,Downgrade,1
2/28/25,Online,Cox.com,Cox.com,Downtier,1
2/28/25,Online,Cox.com,Cox.com,Sidegrade,1
2/28/25,Online,Cox.com,Cox.com,Other,1
2/28/25,Online,eTail,3rd Party - eTailer,New Connect,0.23
2/28/25,Online,eTail,3rd Party - eTailer,Transfer,0.04
2/28/25,Online,eTail,3rd Party - eTailer,Disconnect,0.29
2/28/25,Online,eTail,3rd Party - eTailer,Upgrade,0.04
2/28/25,Online,eTail,3rd Party - eTailer,Uptier,0
2/28/25,Online,eTail,3rd Party - eTailer,Downgrade,0
2/28/25,Online,eTail,3rd Party - eTailer,Downtier,0
2/28/25,Online,eTail,3rd Party - eTailer,Sidegrade,1
2/28/25,Online,eTail,3rd Party - eTailer,Other,1
