Date String,Channel Group,Channel,Sub Channel,Activity,Ratio String
1/31/24,Online,Cox.com,Cox.com,New Connect,0.717
1/31/24,Online,Cox.com,Cox.com,Transfer,0.946
1/31/24,Online,Cox.com,Cox.com,Disconnect,0.715
1/31/24,Online,Cox.com,Cox.com,Upgrade,0.926
1/31/24,Online,Cox.com,Cox.com,Uptier,1
1/31/24,Online,Cox.com,Cox.com,Downgrade,1
1/31/24,Online,Cox.com,Cox.com,Downtier,1
1/31/24,Online,Cox.com,Cox.com,Sidegrade,1
1/31/24,Online,Cox.com,Cox.com,Other,1
1/31/24,Online,eTail,3rd Party - eTailer,New Connect,0.261
1/31/24,Online,eTail,3rd Party - eTailer,Transfer,0.039
1/31/24,Online,eTail,3rd Party - eTailer,Disconnect,0.271
1/31/24,Online,eTail,3rd Party - eTailer,Upgrade,0.038
1/31/24,Online,eTail,3rd Party - eTailer,Uptier,0
1/31/24,Online,eTail,3rd Party - eTailer,Downgrade,0
1/31/24,Online,eTail,3rd Party - eTailer,Downtier,0
1/31/24,Online,eTail,3rd Party - eTailer,Sidegrade,1
1/31/24,Online,eTail,3rd Party - eTailer,Other,1
1/31/24,Online,eTail,3rd Party - Affinity,New Connect,0.022
1/31/24,Online,eTail,3rd Party - Affinity,Transfer,0.015
1/31/24,Online,eTail,3rd Party - Affinity,Disconnect,0.014
1/31/24,Online,eTail,3rd Party - Affinity,Upgrade,0.036
1/31/24,Online,eTail,3rd Party - Affinity,Uptier,0
1/31/24,Online,eTail,3rd Party - Affinity,Downgrade,0
1/31/24,Online,eTail,3rd Party - Affinity,Downtier,0
1/31/24,Online,eTail,3rd Party - Affinity,Sidegrade,1
1/31/24,Online,eTail,3rd Party - Affinity,Other,1
2/29/24,Online,Cox.com,Cox.com,New Connect,0.717
2/29/24,Online,Cox.com,Cox.com,Transfer,0.946
2/29/24,Online,Cox.com,Cox.com,Disconnect,0.715
2/29/24,Online,Cox.com,Cox.com,Upgrade,0.926
2/29/24,Online,Cox.com,Cox.com,Uptier,1
2/29/24,Online,Cox.com,Cox.com,Downgrade,1
2/29/24,Online,Cox.com,Cox.com,Downtier,1
2/29/24,Online,Cox.com,Cox.com,Sidegrade,1
2/29/24,Online,Cox.com,Cox.com,Other,1
2/29/24,Online,eTail,3rd Party - eTailer,New Connect,0.261
2/29/24,Online,eTail,3rd Party - eTailer,Transfer,0.039
2/29/24,Online,eTail,3rd Party - eTailer,Disconnect,0.271
2/29/24,Online,eTail,3rd Party - eTailer,Upgrade,0.038
2/29/24,Online,eTail,3rd Party - eTailer,Uptier,0
2/29/24,Online,eTail,3rd Party - eTailer,Downgrade,0
2/29/24,Online,eTail,3rd Party - eTailer,Downtier,0
2/29/24,Online,eTail,3rd Party - eTailer,Sidegrade,1
2/29/24,Online,eTail,3rd Party - eTailer,Other,1
2/29/24,Online,eTail,3rd Party - Affinity,New Connect,0.022
2/29/24,Online,eTail,3rd Party - Affinity,Transfer,0.015
2/29/24,Online,eTail,3rd Party - Affinity,Disconnect,0.014
2/29/24,Online,eTail,3rd Party - Affinity,Upgrade,0.036
2/29/24,Online,eTail,3rd Party - Affinity,Uptier,0
2/29/24,Online,eTail,3rd Party - Affinity,Downgrade,0
2/29/24,Online,eTail,3rd Party - Affinity,Downtier,0
2/29/24,Online,eTail,3rd Party - Affinity,Sidegrade,1
2/29/24,Online,eTail,3rd Party - Affinity,Other,1
3/31/24,Online,Cox.com,Cox.com,New Connect,0.717
3/31/24,Online,Cox.com,Cox.com,Transfer,0.946
3/31/24,Online,Cox.com,Cox.com,Disconnect,0.715
