Channel Group,Channel,Sub Channel,Activity,Ratio
Online,Cox.com,Cox.com,New Connect,0.734
Online,Cox.com,Cox.com,Transfer,0.859
Online,Cox.com,Cox.com,Disconnect,0.875
Online,Cox.com,Cox.com,Upgrade,0.849
Online,Cox.com,Cox.com,Uptier,0.995
Online,Cox.com,Cox.com,Downgrade,0.981
Online,Cox.com,Cox.com,Downtier,0.99
Online,Cox.com,Cox.com,Sidegrade,1
Online,Cox.com,Cox.com,Other,1
Online,eTail,3rd Party - eTailer,New Connect,0.203
Online,eTail,3rd Party - eTailer,Transfer,0.002
Online,eTail,3rd Party - eTailer,Disconnect,0.062
Online,eTail,3rd Party - eTailer,Upgrade,0.089
Online,eTail,3rd Party - eTailer,Uptier,0.003
Online,eTail,3rd Party - eTailer,Downgrade,0.011
Online,eTail,3rd Party - eTailer,Downtier,0.004
Online,eTail,3rd Party - eTailer,Sidegrade,1
Online,eTail,3rd Party - eTailer,Other,1
Online,eTail,3rd Party - Affinity,New Connect,0.063
Online,eTail,3rd Party - Affinity,Transfer,0.139
Online,eTail,3rd Party - Affinity,Disconnect,0.063
Online,eTail,3rd Party - Affinity,Upgrade,0.062
Online,eTail,3rd Party - Affinity,Uptier,0.002
Online,eTail,3rd Party - Affinity,Downgrade,0.008
Online,eTail,3rd Party - Affinity,Downtier,0.006
Online,eTail,3rd Party - Affinity,Sidegrade,1
Online,eTail,3rd Party - Affinity,Other,1
