"date","h_channel_group","h_channel","channel_group","channel","sub_channel","target_version","activity","activity_base","accounts_changed_target","net_revenue_target","psu_connects_target","psu_disconnects_target","ncr_target","company_ac_target"
"2023-03-01 00:00:00.000","Inbound","Inbound","Inbound","Inbound",,"LRP","New Connect","New Connect","25586.0","2356719.04","44099.0",,"25586.0","62145.0"
"2023-03-01 00:00:00.000","Other","Lead Referral","Other","Lead Referral",,"LRP","New Connect","New Connect","3907.0","229575.94","1086.0",,"3907.0","62145.0"
"2020-12-01 00:00:00.000","Other","Other","Other","Other",,"LRP","Downtier","- Base","6811.0","-277654.91",,,,"184016.0"
"2023-03-01 00:00:00.000","Field Sales","Third Party Retail","Field Sales","Third Party Retail",,"LRP","New Connect","New Connect","4517.0","297787.96","7941.0",,"4517.0","62145.0"
"2020-12-01 00:00:00.000","Other","Lead Referral","Other","Lead Referral",,"LRP","Downtier","- Base","415.0","-29263.56",,,,"184016.0"
"2023-03-01 00:00:00.000","Online","Cox.com","Online","Cox.com","Cox.com","LRP","New Connect","New Connect",,,"49264.929000000004",,,"62145.0"
"2020-12-01 00:00:00.000","Inbound","Inbound","Inbound","Inbound",,"LRP","Downtier","- Base","1835.0","-51512.68",,,,"184016.0"
"2023-03-01 00:00:00.000","Online","National Affiliates","Online","National Affiliates","3rd Party - Affinity","LRP","New Connect","New Connect",,,,,,"62145.0"
"2023-03-01 00:00:00.000","Online","eTailers","Online","eTailers","3rd Party - eTailer","LRP","New Connect","New Connect",,,"11782.071",,,"62145.0"
"2023-03-01 00:00:00.000","Field Sales","Direct","Field Sales","Direct",,"LRP","New Connect","New Connect","5487.0","456404.3","8084.0",,"5487.0","62145.0"
"2020-12-01 00:00:00.000","Retention","Retention","Retention","Retention",,"LRP","Downtier","- Base","129915.0","-4508494.48",,,,"184016.0"
"2020-12-01 00:00:00.000","Other","Retail","Retail","Retail",,"LRP","Downtier","- Base","25814.0","-823505.8",,,,"184016.0"
"2021-12-01 00:00:00.000","Other","Lead Referral","Other","Lead Referral",,"LRP","Uptier","+ Base","1377.0","71522.75",,,,"134411.0"
"2021-09-01 00:00:00.000","Other","Other","Other","Other",,"LRP","Transfer","Transfer","464.0","-128215.08",,,,"21213.0"
"2021-12-01 00:00:00.000","Other","Other","Other","Other",,"LRP","Uptier","+ Base","6827.0","164334.06",,,,"134411.0"
"2021-09-01 00:00:00.000","Inbound","Inbound","Inbound","Inbound",,"LRP","Transfer","Transfer","12610.0","-14050.44",,,,"21213.0"
"2023-02-01 00:00:00.000","Other","Other","Other","Other",,"LRP","Uptier","+ Base","4480.0","134410.31",,,,"82663.0"
"2023-02-01 00:00:00.000","Field Sales","Direct","Field Sales","Direct",,"LRP","Uptier","+ Base","539.0","14552.45",,,,"82663.0"
"2021-12-01 00:00:00.000","Retention","Retention","Retention","Retention",,"LRP","Uptier","+ Base","30341.0","1268511.89",,,,"134411.0"
"2023-02-01 00:00:00.000","Other","Lead Referral","Other","Lead Referral",,"LRP","Uptier","+ Base","992.0","52136.2",,,,"82663.0"
"2023-02-01 00:00:00.000","Other","Retail","Retail","Retail",,"LRP","Uptier","+ Base","9728.0","291851.95",,,,"82663.0"
"2022-09-01 00:00:00.000","Care","Care","Care","Care",,"LRP","Downgrade","- Base","755.0","-47645.29",,,,"31783.0"
"2022-09-01 00:00:00.000","Field Sales","Third Party Retail","Field Sales","Third Party Retail",,"LRP","Downgrade","- Base","762.0","-49295.28",,,,"31783.0"
"2023-08-01 00:00:00.000","Other","Other","Other","Other",,"OPR","Transfer","Transfer","341.7807843315","-71026.9084904517",,,,"36235.1716394841"
"2023-09-01 00:00:00.000","Other","Outbound","Other","Outbound",,"OPR","Upgrade","+ Base","307.85394045460004","3450.8353292123",,,,"15961.7064405118"
"2023-09-01 00:00:00.000","Care","Care","Care","Care",,"OPR","Upgrade","+ Base","248.92997651730002","16578.5520863825",,,,"15961.7064405118"
"2022-09-01 00:00:00.000","Other","Lead Referral","Other","Lead Referral",,"LRP","Downgrade","- Base","240.0","-6717.3",,,,"31783.0"
"2022-09-01 00:00:00.000","Inbound","Inbound","Inbound","Inbound",,"LRP","Downgrade","- Base","270.0","-6232.56",,,,"31783.0"
"2023-08-01 00:00:00.000","Online","Cox.com","Online","Cox.com","Cox.com","OPR","Transfer","Transfer","11807.082818925124","-33826.004260096284",,,,"36235.1716394841"
"2023-09-01 00:00:00.000","Online","eTailers","Online","eTailers","3rd Party - eTailer","OPR","Upgrade","+ Base","113.9361085147728","9367.64866422902",,,,"15961.7064405118"
