"primary_intent_detail","contact_dt","sub_contact_id","contained","containment_rate"
"PnP","2024-08-27","1839","1593","86.62"
"SmartHelp","2024-08-27","1453","1346","92.64"
"SmartHelp","2024-08-26","1500","1399","93.27"
"PnP","2024-08-26","1932","1658","85.82"
"PnP","2024-08-25","1900","1680","88.42"
"SmartHelp","2024-08-25","1208","1143","94.62"
"PnP","2024-08-24","1983","1727","87.09"
"SmartHelp","2024-08-24","1436","1347","93.8"
"PnP","2024-08-23","2351","2053","87.32"
"SmartHelp","2024-08-23","1694","1606","94.81"
"SmartHelp","2024-08-22","1622","1511","93.16"
"PnP","2024-08-22","2206","1932","87.58"
"SmartHelp","2024-08-21","1827","1746","95.57"
"PnP","2024-08-21","2616","2321","88.72"
"PnP","2024-08-20","1967","1721","87.49"
"SmartHelp","2024-08-20","1504","1407","93.55"
"SmartHelp","2024-08-19","1642","1530","93.18"
"PnP","2024-08-19","2093","1772","84.66"
"SmartHelp","2024-08-18","1452","1385","95.39"
"PnP","2024-08-18","2006","1792","89.33"
"PnP","2024-08-17","2070","1829","88.36"
"SmartHelp","2024-08-17","1503","1423","94.68"
"PnP","2024-08-16","2232","1934","86.65"
"SmartHelp","2024-08-16","1735","1636","94.29"
"PnP","2024-08-15","2248","1968","87.54"
"SmartHelp","2024-08-15","1640","1543","94.09"
"SmartHelp","2024-08-14","1704","1608","94.37"
"PnP","2024-08-14","2108","1854","87.95"
"SmartHelp","2024-08-13","1518","1417","93.35"
"PnP","2024-08-13","1827","1595","87.3"
"SmartHelp","2024-08-12","1598","1492","93.37"
"PnP","2024-08-12","1949","1670","85.68"
"PnP","2024-08-11","1725","1543","89.45"
"SmartHelp","2024-08-11","1329","1268","95.41"
"SmartHelp","2024-08-10","1406","1327","94.38"
"PnP","2024-08-10","1692","1496","88.42"
"PnP","2024-08-09","1813","1600","88.25"
"SmartHelp","2024-08-09","1576","1484","94.16"
"PnP","2024-08-08","1801","1563","86.79"
"SmartHelp","2024-08-08","1514","1418","93.66"
"SmartHelp","2024-08-07","1572","1468","93.38"
"PnP","2024-08-07","1897","1640","86.45"
"SmartHelp","2024-08-06","1698","1588","93.52"
"PnP","2024-08-06","1922","1681","87.46"
"PnP","2024-08-05","1745","1487","85.21"
"SmartHelp","2024-08-05","1604","1494","93.14"
"PnP","2024-08-04","1706","1527","89.51"
"SmartHelp","2024-08-04","1387","1310","94.45"
