all_data,,
#,distinct_customer_count,Last_Contacted_Cox_app
4,2894398,0-30 days
3,333739,1-2 Years
7,2840578,31-90 days
2,2141117,6-12 months
5,2561962,91-180 days
1,4956236,Never Contacted
6,2994230,Null
,,
2024-10,,
#,distinct_customer_count,Last_Contacted_Cox_app
3,491879,0-30 days
1,4035719,Never Contacted
2,2234270,Null
,,
2024-09,,
#,distinct_customer_count,Last_Contacted_Cox_app
1,1039477,0-30 days
4,473259,31-90 days
3,4036047,Never Contacted
2,1229857,Null
,,
2024-08,,
#,distinct_customer_count,Last_Contacted_Cox_app
3,314074,0-30 days
2,1458612,31-90 days
4,4049211,Never Contacted
1,985675,Null
,,
2024-07,,
#,distinct_customer_count,Last_Contacted_Cox_app
3,216826,0-30 days
4,1215098,31-90 days
2,500013,91-180 days
5,4055954,Never Contacted
1,822870,Null
,,
2024-06,,
#,distinct_customer_count,Last_Contacted_Cox_app
4,164133,0-30 days
5,497769,31-90 days
3,1382279,91-180 days
1,4073768,Never Contacted
2,719191,Null
,,
2024-05,,
#,distinct_customer_count,Last_Contacted_Cox_app
4,138162,0-30 days
2,369433,31-90 days
3,1621799,91-180 days
1,4084871,Never Contacted
5,638288,Null
,,
2024-04,,
#,distinct_customer_count,Last_Contacted_Cox_app
5,111573,0-30 days
6,296601,31-90 days
3,544086,6-12 months
4,1239902,91-180 days
2,4096213,Never Contacted
1,581945,Null
,,
2024-03,,
#,distinct_customer_count,Last_Contacted_Cox_app
5,93979,0-30 days
1,246815,31-90 days
3,1277928,6-12 months
4,620683,91-180 days
2,4091915,Never Contacted
6,536196,Null
,,
2024-02,,
#,distinct_customer_count,Last_Contacted_Cox_app
5,85289,0-30 days
1,200843,31-90 days
2,1510817,6-12 months
4,479655,91-180 days
6,4102169,Never Contacted
3,495363,Null
,,
2024-01,,
#,distinct_customer_count,Last_Contacted_Cox_app
5,75492,0-30 days
6,178041,31-90 days
2,1658926,6-12 months
4,390329,91-180 days
3,4114937,Never Contacted
1,465099,Null
,,
2023-12,,
#,distinct_customer_count,Last_Contacted_Cox_app
5,70842,0-30 days
3,160010,31-90 days
2,1774765,6-12 months
4,325913,91-180 days
6,4127614,Never Contacted
1,432920,Null
,,
2023-11,,
#,distinct_customer_count,Last_Contacted_Cox_app
5,61427,0-30 days
2,145496,31-90 days
1,1869113,6-12 months
4,274632,91-180 days
3,4138466,Never Contacted
6,408575,Null
,,
2023-10,,
#,distinct_customer_count,Last_Contacted_Cox_app
2,59500,0-30 days
4,333739,1-2 Years
3,132390,31-90 days
5,1594085,6-12 months
1,242798,91-180 days
6,4148305,Never Contacted
7,389149,Null
