"channel_group","month_end","activity","accounts changed target","net revenue target","compl_psu_conn_target"
"Care","1/1/19","Disconnect","645","-71647.89","8316"
"Care","1/1/19","Downgrade","3563","-236651.39","8316"
"Care","1/1/19","Downtier","22468","-417024.52","8316"
"Care","1/1/19","New Connect","1600","171273.7","8316"
"Care","1/1/19","Transfer","107","-658.95","8316"
"Care","1/1/19","Upgrade","2546","120076","8316"
"Care","1/1/19","Uptier","62621","896057","8316"
"Care","2/1/19","Disconnect","460","-52625.08","10129"
"Care","2/1/19","Downgrade","4568","-339538.8","10129"
"Care","2/1/19","Downtier","18626","-337248.1","10129"
"Care","2/1/19","New Connect","1581","168785.36","10129"
"Care","2/1/19","Transfer","117","-2959.77","10129"
"Care","2/1/19","Upgrade","2535","116493.94","10129"
"Care","2/1/19","Uptier","60021","863033.58","10129"
"Care","3/1/19","Disconnect","488","-59527.03","10264"
"Care","3/1/19","Downgrade","3834","-158992.96","10264"
"Care","3/1/19","Downtier","17985","-345621.73","10264"
"Care","3/1/19","New Connect","1726","168681.2","10264"
"Care","3/1/19","Transfer","168","-548.45","10264"
"Care","3/1/19","Upgrade","2618","108751.17","10264"
"Care","3/1/19","Uptier","63674","913754.19","10264"
"Care","4/1/19","Disconnect","483","-57150.85","10217"
"Care","4/1/19","Downgrade","5197","-107664.9","10217"
"Care","4/1/19","Downtier","16490","-325781.8","10217"
"Care","4/1/19","New Connect","1341","137362.26","10217"
"Care","4/1/19","Transfer","112","-2393.58","10217"
"Care","4/1/19","Upgrade","2285","92177.89","10217"
"Care","4/1/19","Uptier","59287","866064.12","10217"
"Care","5/1/19","Disconnect","516","-63293.86","10550"
"Care","5/1/19","Downgrade","6107","-120970.87","10550"
"Care","5/1/19","Downtier","17184","-339820.54","10550"
"Care","5/1/19","New Connect","1437","148427.74","10550"
"Care","5/1/19","Transfer","131","-3171.45","10550"
"Care","5/1/19","Upgrade","2415","98383.95","10550"
"Care","5/1/19","Uptier","61800","868992.56","10550"
"Care","6/1/19","Disconnect","508","-61585.72","9491"
"Care","6/1/19","Downgrade","5108","-118218.57","9491"
"Care","6/1/19","Downtier","17252","-331532.07","9491"
"Care","6/1/19","New Connect","1493","152626.25","9491"
"Care","6/1/19","Transfer","141","-917.47","9491"
"Care","6/1/19","Upgrade","2338","105823.2","9491"
"Care","6/1/19","Uptier","65993","941910.24","9491"
"Care","7/1/19","Disconnect","510","-63234.67","9194"
"Care","7/1/19","Downgrade","5203","-126101.49","9194"
"Care","7/1/19","Downtier","17063","-321215.22","9194"
"Care","7/1/19","New Connect","1519","147387.75","9194"
"Care","7/1/19","Transfer","94","-747.85","9194"
"Care","7/1/19","Upgrade","2468","106974.1","9194"
"Care","7/1/19","Uptier","69982","1024025.44","9194"
"Care","8/1/19","Disconnect","481","-58176.2","7523"
"Care","8/1/19","Downgrade","2874","-95217.51","7523"
"Care","8/1/19","Downtier","17656","-344722.91","7523"
"Care","8/1/19","New Connect","1530","136864.56","7523"
"Care","8/1/19","Transfer","105","167.75","7523"
"Care","8/1/19","Upgrade","2486","111912.2","7523"
"Care","8/1/19","Uptier","75339","1087089.74","7523"
"Care","9/1/19","Disconnect","416","-53453.36","6314"
"Care","9/1/19","Downgrade","2832","-88892.61","6314"
"Care","9/1/19","Downtier","15622","-304450.57","6314"
"Care","9/1/19","New Connect","1254","120433.63","6314"
"Care","9/1/19","Transfer","69","-329.07","6314"
"Care","9/1/19","Upgrade","2309","105884.52","6314"
"Care","9/1/19","Uptier","63838","935722.71","6314"
"Care","10/1/19","Disconnect","444","-52913.49","8850"
"Care","10/1/19","Downgrade","8265","-112570.67","8850"
"Care","10/1/19","Downtier","14653","-292223.91","8850"
"Care","10/1/19","New Connect","1244","113771.35","8850"
"Care","10/1/19","Transfer","51","346.25","8850"
"Care","10/1/19","Upgrade","2257","101562.48","8850"
"Care","10/1/19","Uptier","59662","887297.6","8850"
"Care","11/1/19","Disconnect","410","-48311.64","8275"
"Care","11/1/19","Downgrade","6836","-111586.07","8275"
"Care","11/1/19","Downtier","12789","-255060.89","8275"
"Care","11/1/19","New Connect","1183","113758.97","8275"
"Care","11/1/19","Transfer","67","-313.87","8275"
"Care","11/1/19","Upgrade","1967","91224.44","8275"
"Care","11/1/19","Uptier","54613","821516.52","8275"
"Care","12/1/19","Disconnect","568","-71361.22","6298"
"Care","12/1/19","Downgrade","4180","-92921.45","6298"
"Care","12/1/19","Downtier","13853","-279497.45","6298"
"Care","12/1/19","New Connect","1297","116671.38","6298"
"Care","12/1/19","Transfer","68","417.58","6298"
"Care","12/1/19","Upgrade","1588","79738.9","6298"
"Care","12/1/19","Uptier","56109","863861.76","6298"
"Care","1/1/20","Disconnect","460","-57960.23","4449"
"Care","1/1/20","Downgrade","3772","-86817.09","4449"
"Care","1/1/20","Downtier","15501","-326891.74","4449"
"Care","1/1/20","New Connect","831","79538.27","4449"
"Care","1/1/20","Transfer","47","162.44","4449"
"Care","1/1/20","Upgrade","498","27509.3","4449"
"Care","1/1/20","Uptier","64969","1048740.59","4449"
"Care","2/1/20","Disconnect","378","-46921.99","3887"
"Care","2/1/20","Downgrade","4077","-80973.09","3887"
"Care","2/1/20","Downtier","13489","-288976.4","3887"
"Care","2/1/20","New Connect","742","76676.91","3887"
"Care","2/1/20","Transfer","29","-1047.75","3887"
"Care","2/1/20","Upgrade","254","16127.47","3887"
"Care","2/1/20","Uptier","59707","920448.57","3887"
"Care","3/1/20","Disconnect","407","-48866.08","3740"
"Care","3/1/20","Downgrade","3545","-109036.12","3740"
"Care","3/1/20","Downtier","14024","-305002.37","3740"
"Care","3/1/20","New Connect","920","85249.8","3740"
"Care","3/1/20","Transfer","56","192.48","3740"
"Care","3/1/20","Upgrade","298","19395.48","3740"
"Care","3/1/20","Uptier","67652","1014789.99","3740"
"Care","4/1/20","Disconnect","555","-56015.07","3700"
"Care","4/1/20","Downgrade","2800","-162734","3700"
"Care","4/1/20","Downtier","16133","-340305.55","3700"
"Care","4/1/20","New Connect","865","78399.54","3700"
"Care","4/1/20","Transfer","50","293.74","3700"
"Care","4/1/20","Upgrade","445","25546.09","3700"
"Care","4/1/20","Uptier","64880","949024.94","3700"
"Care","5/1/20","Disconnect","423","-49790.88","3582"
"Care","5/1/20","Downgrade","2552","-152685.34","3582"
"Care","5/1/20","Downtier","14705","-306288.57","3582"
"Care","5/1/20","New Connect","816","74958.48","3582"
"Care","5/1/20","Transfer","65","526.91","3582"
"Care","5/1/20","Upgrade","373","22059.77","3582"
"Care","5/1/20","Uptier","61390","897108.8","3582"
"Care","6/1/20","Disconnect","423","-49073.05","3314"
"Care","6/1/20","Downgrade","1973","-131304.01","3314"
"Care","6/1/20","Downtier","13826","-299087.78","3314"
"Care","6/1/20","New Connect","761","68955.41","3314"
"Care","6/1/20","Transfer","84","1003.09","3314"
"Care","6/1/20","Upgrade","407","26202.14","3314"
"Care","6/1/20","Uptier","61489","875942.09","3314"
"Care","7/1/20","Disconnect","434","-51177.64","3677"
"Care","7/1/20","Downgrade","1946","-132537.19","3677"
"Care","7/1/20","Downtier","15011","-332212.34","3677"
"Care","7/1/20","New Connect","914","90457.75","3677"
"Care","7/1/20","Transfer","72","161.62","3677"
"Care","7/1/20","Upgrade","392","23392.46","3677"
"Care","7/1/20","Uptier","69459","1050787.55","3677"
"Care","8/1/20","Disconnect","501","-62206.1","3338"
"Care","8/1/20","Downgrade","1797","-121337.67","3338"
"Care","8/1/20","Downtier","14847","-335937.68","3338"
"Care","8/1/20","New Connect","906","87399.97","3338"
"Care","8/1/20","Transfer","86","465.63","3338"
"Care","8/1/20","Upgrade","337","21814.58","3338"
"Care","8/1/20","Uptier","74411","1310903.73","3338"
"Care","9/1/20","Disconnect","650","-84872.24","3347"
"Care","9/1/20","Downgrade","1484","-97325.28","3347"
"Care","9/1/20","Downtier","14407","-319023.41","3347"
"Care","9/1/20","New Connect","986","86765.45","3347"
"Care","9/1/20","Transfer","63","421.37","3347"
"Care","9/1/20","Upgrade","362","21589.2","3347"
"Care","9/1/20","Uptier","73438","1260476.58","3347"
"Care","10/1/20","Disconnect","406","-51169.88","2818"
"Care","10/1/20","Downgrade","1260","-85523.66","2818"
"Care","10/1/20","Downtier","13874","-305578.72","2818"
"Care","10/1/20","New Connect","702","67568.48","2818"
"Care","10/1/20","Transfer","66","66.76","2818"
"Care","10/1/20","Upgrade","330","19253.1","2818"
"Care","10/1/20","Uptier","67719","1112405.02","2818"
"Care","11/1/20","Disconnect","372","-49641.33","2436"
"Care","11/1/20","Downgrade","1164","-81264.96","2436"
"Care","11/1/20","Downtier","12076","-263191.66","2436"
"Care","11/1/20","New Connect","660","62241.86","2436"
"Care","11/1/20","Transfer","50","361.53","2436"
"Care","11/1/20","Upgrade","266","15433.79","2436"
"Care","11/1/20","Uptier","63261","1000220.85","2436"
"Care","12/1/20","Disconnect","371","-49458.9","2386"
"Care","12/1/20","Downgrade","1087","-73987.24","2386"
"Care","12/1/20","Downtier","13932","-299842.24","2386"
"Care","12/1/20","New Connect","690","68157.81","2386"
"Care","12/1/20","Transfer","41","-824.42","2386"
"Care","12/1/20","Upgrade","243","15322.05","2386"
"Care","12/1/20","Uptier","57392","974717.25","2386"
"Care","1/1/21","Disconnect","358","-48680.78","2201"
"Care","1/1/21","Downgrade","1047","-69508.26","2201"
"Care","1/1/21","Downtier","14808","-318556.47","2201"
"Care","1/1/21","New Connect","777","74106.29","2201"
"Care","1/1/21","Transfer","37","602.64","2201"
"Care","1/1/21","Upgrade","221","12572.38","2201"
"Care","1/1/21","Uptier","55647","963083.91","2201"
"Care","2/1/21","Disconnect","362","-47512.85","1849"
"Care","2/1/21","Downgrade","960","-67288.54","1849"
"Care","2/1/21","Downtier","14265","-322751.11","1849"
"Care","2/1/21","New Connect","610","57498.19","1849"
"Care","2/1/21","Transfer","33","2.58","1849"
"Care","2/1/21","Upgrade","201","11445.1","1849"
