date,Flow Name (v42),ALTRX - Res: NC Orders,ALTRX - Res: CC Orders,ALTRX - Res: Transfer Orders
Mon. 17 Mar. 2025,WLS:Emergency Broadband Benefit,0,0,0
Mon. 17 Mar. 2025,WLS:Existing Customer C2C Downgrade,0,1,0
Tue. 18 Mar. 2025,WLS:Existing Customer C2C Downgrade,0,0,0
Wed. 19 Mar. 2025,WLS:Existing Customer C2C Downgrade,0,0,0
Thu. 20 Mar. 2025,WLS:Existing Customer C2C Downgrade,0,3,0
Fri. 21 Mar. 2025,WLS:Existing Customer C2C Downgrade,0,1,0
Sat. 22 Mar. 2025,WLS:Existing Customer C2C Downgrade,0,0,0
Sun. 23 Mar. 2025,WLS:Existing Customer C2C Downgrade,0,1,0
Thu. 20 Mar. 2025,equip-swap:upgrade-commitment,0,11,0
Fri. 21 Mar. 2025,equip-swap:upgrade-commitment,0,13,0
Tue. 18 Mar. 2025,WLS:Emergency Broadband Benefit,1,0,0
Wed. 19 Mar. 2025,WLS:Emergency Broadband Benefit,0,0,0
Thu. 20 Mar. 2025,WLS:Emergency Broadband Benefit,0,0,0
Fri. 21 Mar. 2025,WLS:Emergency Broadband Benefit,0,0,0
Sat. 22 Mar. 2025,WLS:Emergency Broadband Benefit,0,0,0
Sun. 23 Mar. 2025,WLS:Emergency Broadband Benefit,0,0,0
Mon. 17 Mar. 2025,WLS:StraightUp Internet Shop,14,0,0
Tue. 18 Mar. 2025,WLS:StraightUp Internet Shop,12,1,0
Wed. 19 Mar. 2025,WLS:StraightUp Internet Shop,17,0,0
Mon. 17 Mar. 2025,equip-swap:upgrade-commitment,0,0,0
Tue. 18 Mar. 2025,equip-swap:upgrade-commitment,0,0,0
Wed. 19 Mar. 2025,equip-swap:upgrade-commitment,0,0,0
Sat. 22 Mar. 2025,equip-swap:upgrade-commitment,0,14,0
Sun. 23 Mar. 2025,equip-swap:upgrade-commitment,0,11,0
Mon. 17 Mar. 2025,WLS:Connect 2 Compete Shop,17,0,0
Tue. 18 Mar. 2025,WLS:Connect 2 Compete Shop,13,0,0
Wed. 19 Mar. 2025,WLS:Connect 2 Compete Shop,16,0,0
Thu. 20 Mar. 2025,WLS:Connect 2 Compete Shop,18,0,0
Thu. 20 Mar. 2025,WLS:StraightUp Internet Shop,17,0,0
Fri. 21 Mar. 2025,WLS:StraightUp Internet Shop,13,0,0
Sat. 22 Mar. 2025,WLS:StraightUp Internet Shop,10,0,0
Sun. 23 Mar. 2025,WLS:StraightUp Internet Shop,11,0,0
Mon. 17 Mar. 2025,WLS:Boost Mobile Store,15,0,0
Mon. 17 Mar. 2025,WLS:Connect Assist Lead,0,0,0
Mon. 17 Mar. 2025,transfer:transfer-as-is,0,0,4
Tue. 18 Mar. 2025,WLS:Connect Assist Lead,0,1,0
Tue. 18 Mar. 2025,transfer:transfer-as-is,0,0,4
Sat. 22 Mar. 2025,WLS:Connect 2 Compete Shop,9,0,0
Sun. 23 Mar. 2025,WLS:Connect 2 Compete Shop,9,0,0
Fri. 21 Mar. 2025,WLS:Connect 2 Compete Shop,11,0,0
Wed. 19 Mar. 2025,WLS:Boost Mobile Store,11,0,0
Wed. 19 Mar. 2025,WLS:Connect Assist Lead,0,0,0
Wed. 19 Mar. 2025,transfer:transfer-as-is,0,0,3
Thu. 20 Mar. 2025,WLS:Connect Assist Lead,0,0,0
Thu. 20 Mar. 2025,transfer:transfer-as-is,0,0,3
Fri. 21 Mar. 2025,WLS:Boost Mobile Store,10,0,0
