"containment_metric_id","primary_intent","primary_intent_detail","sub_contact_id","selfservice_containment","initial_channel","lob","contact_dt","containment_rate","hs_feature_name","cont_display_metric_name","create_dt"
"13","Billing","Usage Inquiry","10226","10187","CoxApp","R","2024-11-02","99.62","BIL LING","Billing_containment_rate","2025-02-19"
"14","Billing","Usage Inquiry","10226","10187","CoxApp","R","2024-11-02","99.62","DATA USAGE","Datausage_containment_rate","2025-02-19"
"30","Manage Services","Repackage","1006","941","CoxApp","R","2024-11-02","93.54","E COMMERCE","Ecommerce_containment_rate","2025-02-19"
"52","Internet Support","Internet Service Interruption","225","185","CoxApp","R","2024-11-02","82.22","S UPPORT","Support_containment_rate","2025-02-19"
"51","Internet Support","Internet Mobile App","1620","1606","CoxApp","R","2024-11-02","99.14","S UPPORT","Support_containment_rate","2025-02-19"
"31","Manage Services","Restart/Reconnect Service","3","1","CoxApp","R","2024-11-02","33.33","E COMMERCE","Ecommerce_containment_rate","2025-02-19"
"49","Internet Support","Internet General Inquiry","1","0","CoxApp","R","2024-11-02","0.0","S UPPORT","Support_containment_rate","2025-02-19"
"21","Manage Services","Add/Upgrade","1722","1635","CoxApp","R","2024-11-02","94.95","E COMMERCE","Ecommerce_containment_rate","2025-02-19"
"38","Manage Services","Add/Upgrade","1722","1635","CoxApp","R","2024-11-02","94.95","S UPPORT","Support_containment_rate","2025-02-19"
"17","Account Settings","Identity Management - Profile","1719","1692","CoxApp","R","2024-11-02","98.43","LOG IN","Login_containment_rate","2025-02-19"
"12","Billing","Statement Inquiry","1437","1428","CoxApp","R","2024-11-02","99.37","BIL LING","Billing_containment_rate","2025-02-19"
"45","Equipment Support","Reboot","5089","4967","CoxApp","R","2024-11-02","97.6","S UPPORT","Support_containment_rate","2025-02-19"
"9","Billing","Payment Arrangement","2672","2633","CoxApp","R","2024-11-02","98.54","BIL LING","Billing_containment_rate","2025-02-19"
"24","Manage Services","Disconnect/Downgrade","157","126","CoxApp","R","2024-11-02","80.25","E COMMERCE","Ecommerce_containment_rate","2025-02-19"
"26","Equipment Support","None","29","29","CoxApp","R","2024-11-02","100.0","E COMMERCE","Ecommerce_containment_rate","2025-02-19"
"44","Equipment Support","None","29","29","CoxApp","R","2024-11-02","100.0","S UPPORT","Support_containment_rate","2025-02-19"
"60","Mobile Support","Mobile Protection Plan","11","1","CoxApp","R","2024-11-02","9.09","S UPPORT","Support_containment_rate","2025-02-19"
"15","Account Settings","Access/Authenticate","69","68","CoxApp","R","2024-11-02","98.55","LOG IN","Login_containment_rate","2025-02-19"
"4","Billing","Billing General","19977","19944","CoxApp","R","2024-11-02","99.83","BIL LING","Billing_containment_rate","2025-02-19"
"26","Manage Services","None","85","82","CoxApp","R","2024-11-02","96.47","E COMMERCE","Ecommerce_containment_rate","2025-02-19"
"44","Manage Services","None","85","82","CoxApp","R","2024-11-02","96.47","S UPPORT","Support_containment_rate","2025-02-19"
"3","Billing","Billing Concern","1218","1185","CoxApp","R","2024-11-02","97.29","BIL LING","Billing_containment_rate","2025-02-19"
"35","General Support","General Inquiry","645","643","CoxApp","R","2024-11-02","99.69","S UPPORT","Support_containment_rate","2025-02-19"
"68","TV Support","TV General Inquiry","41","41","CoxApp","R","2024-11-02","100.0","S UPPORT","Support_containment_rate","2025-02-19"
"36","General Support","Mobile App","3","3","CoxApp","R","2024-11-02","100.0","S UPPORT","Support_containment_rate","2025-02-19"
"61","Mobile Support","Mobile Service Interruption","2","0","CoxApp","R","2024-11-02","0.0","S UPPORT","Support_containment_rate","2025-02-19"
"76","Security Support","Security Mobile App","37","32","CoxApp","R","2024-11-02","86.49","S UPPORT","Support_containment_rate","2025-02-19"
"62","Phone Support","Phone Features","61","61","CoxApp","R","2024-11-02","100.0","S UPPORT","Support_containment_rate","2025-02-19"
"6","Billing","EasyPay","888","881","CoxApp","R","2024-11-02","99.21","BIL LING","Billing_containment_rate","2025-02-19"
"1","Equipment Support","SmartHelp","1495","1386","CoxApp","R","2024-11-02","92.71","SMART HELP","Smarthelp_containment_rate","2025-02-19"
"25","Manage Services","Move Address","680","586","CoxApp","R","2024-11-02","86.18","E COMMERCE","Ecommerce_containment_rate","2025-02-19"
"5","Billing","Billing Preferences","287","280","CoxApp","R","2024-11-02","97.56","BIL LING","Billing_containment_rate","2025-02-19"
"53","Internet Support","Internet Service Quality","16","7","CoxApp","R","2024-11-02","43.75","S UPPORT","Support_containment_rate","2025-02-19"
"23","Manage Services","Cox Complete Care","23","19","CoxApp","R","2024-11-02","82.61","E COMMERCE","Ecommerce_containment_rate","2025-02-19"
"70","TV Support","TV Mobile App","256","255","CoxApp","R","2024-11-02","99.61","S UPPORT","Support_containment_rate","2025-02-19"
"34","General Support","Complaint/Escalation","2","0","CoxApp","R","2024-11-02","0.0","S UPPORT","Support_containment_rate","2025-02-19"
"20","Account Settings","Privacy","2","2","CoxApp","R","2024-11-02","100.0","LOG IN","Login_containment_rate","2025-02-19"
"8","Billing","Pay Bill","24631","24604","CoxApp","R","2024-11-02","99.89","BIL LING","Billing_containment_rate","2025-02-19"
"50","Internet Support","Internet General Support","1280","1269","CoxApp","R","2024-11-02","99.14","S UPPORT","Support_containment_rate","2025-02-19"
"63","Phone Support","Phone General Support","43","43","CoxApp","R","2024-11-02","100.0","S UPPORT","Support_containment_rate","2025-02-19"
"27","Manage Services","Offer/Deal Inquiry","726","691","CoxApp","R","2024-11-02","95.18","E COMMERCE","Ecommerce_containment_rate","2025-02-19"
"48","Internet Support","Internet Features","595","585","CoxApp","R","2024-11-02","98.32","S UPPORT","Support_containment_rate","2025-02-19"
"42","Equipment Support","Internet Pods","24","23","CoxApp","R","2024-11-02","95.83","S UPPORT","Support_containment_rate","2025-02-19"
"40","Equipment Support","Device Swap","3","0","CoxApp","R","2024-11-02","0.0","S UPPORT","Support_containment_rate","2025-02-19"
"55","Internet Support","Speedtest","11","11","CoxApp","R","2024-11-02","100.0","S UPPORT","Support_containment_rate","2025-02-19"
"18","Account Settings","Identity Management - Users","3057","3036","CoxApp","R","2024-11-02","99.31","LOG IN","Login_containment_rate","2025-02-19"
"2","Equipment Support","PnP","2040","1734","CoxApp","R","2024-11-02","85.0","SMART HELP","PnP_containment_rate","2025-02-19"
"69","TV Support","TV General Support","118","116","CoxApp","R","2024-11-02","98.31","S UPPORT","Support_containment_rate","2025-02-19"
"16","Account Settings","Contact Preferences","4","4","CoxApp","R","2024-11-02","100.0","LOG IN","Login_containment_rate","2025-02-19"
"21","Equipment Support","Add/Upgrade","10","7","CoxApp","R","2024-11-02","70.0","E COMMERCE","Ecommerce_containment_rate","2025-02-19"
"38","Equipment Support","Add/Upgrade","10","7","CoxApp","R","2024-11-02","70.0","S UPPORT","Support_containment_rate","2025-02-19"
"7","Billing","Non-Pay Suspension/Disconnect","2443","2371","CoxApp","R","2024-11-02","97.05","BIL LING","Billing_containment_rate","2025-02-19"
"33","General Support","All Service Interruption","1561","1508","CoxApp","R","2024-11-02","96.6","S UPPORT","Support_containment_rate","2025-02-19"
"11","Billing","Payment Method","234","234","CoxApp","R","2024-11-02","100.0","BIL LING","Billing_containment_rate","2025-02-19"
"58","Mobile Support","Mobile General Inquiry","79","77","CoxApp","R","2024-11-02","97.47","S UPPORT","Support_containment_rate","2025-02-19"
"59","Mobile Support","Mobile General Support","351","350","CoxApp","R","2024-11-02","99.72","S UPPORT","Support_containment_rate","2025-02-19"
"74","Security Support","Security General Inquiry","17","17","CoxApp","R","2024-11-02","100.0","S UPPORT","Support_containment_rate","2025-02-19"
"67","TV Support","TV Features","4","1","CoxApp","R","2024-11-02","25.0","S UPPORT","Support_containment_rate","2025-02-19"
"41","Equipment Support","Equipment Return","3","3","CoxApp","R","2024-11-02","100.0","S UPPORT","Support_containment_rate","2025-02-19"
"72","TV Support","TV Service Quality","3","0","CoxApp","R","2024-11-02","0.0","S UPPORT","Support_containment_rate","2025-02-19"
"4","Billing","Billing General","25739","25653","CoxApp","R","2024-11-01","99.67","BIL LING","Billing_containment_rate","2025-02-19"
"1","Equipment Support","SmartHelp","1546","1440","CoxApp","R","2024-11-01","93.14","SMART HELP","Smarthelp_containment_rate","2025-02-19"
"3","Billing","Billing Concern","1546","1332","CoxApp","R","2024-11-01","86.16","BIL LING","Billing_containment_rate","2025-02-19"
"40","Equipment Support","Device Swap","1","1","CoxApp","R","2024-11-01","100.0","S UPPORT","Support_containment_rate","2025-02-19"
"25","Manage Services","Move Address","843","676","CoxApp","R","2024-11-01","80.19","E COMMERCE","Ecommerce_containment_rate","2025-02-19"
"30","Manage Services","Repackage","899","816","CoxApp","R","2024-11-01","90.77","E COMMERCE","Ecommerce_containment_rate","2025-02-19"
"69","TV Support","TV General Support","117","115","CoxApp","R","2024-11-01","98.29","S UPPORT","Support_containment_rate","2025-02-19"
"42","Equipment Support","Internet Pods","26","22","CoxApp","R","2024-11-01","84.62","S UPPORT","Support_containment_rate","2025-02-19"
"55","Internet Support","Speedtest","6","6","CoxApp","R","2024-11-01","100.0","S UPPORT","Support_containment_rate","2025-02-19"
"60","Mobile Support","Mobile Protection Plan","9","1","CoxApp","R","2024-11-01","11.11","S UPPORT","Support_containment_rate","2025-02-19"
"54","Internet Support","Manage Equipment","1","1","CoxApp","R","2024-11-01","100.0","S UPPORT","Support_containment_rate","2025-02-19"
"17","Account Settings","Identity Management - Profile","1965","1912","CoxApp","R","2024-11-01","97.3","LOG IN","Login_containment_rate","2025-02-19"
"62","Phone Support","Phone Features","75","75","CoxApp","R","2024-11-01","100.0","S UPPORT","Support_containment_rate","2025-02-19"
"53","Internet Support","Internet Service Quality","16","10","CoxApp","R","2024-11-01","62.5","S UPPORT","Support_containment_rate","2025-02-19"
"45","Equipment Support","Reboot","4530","4402","CoxApp","R","2024-11-01","97.17","S UPPORT","Support_containment_rate","2025-02-19"
"9","Billing","Payment Arrangement","3108","3022","CoxApp","R","2024-11-01","97.23","BIL LING","Billing_containment_rate","2025-02-19"
"27","Manage Services","Offer/Deal Inquiry","690","638","CoxApp","R","2024-11-01","92.46","E COMMERCE","Ecommerce_containment_rate","2025-02-19"
"35","General Support","General Inquiry","805","798","CoxApp","R","2024-11-01","99.13","S UPPORT","Support_containment_rate","2025-02-19"
"11","Billing","Payment Method","314","308","CoxApp","R","2024-11-01","98.09","BIL LING","Billing_containment_rate","2025-02-19"
"36","General Support","Mobile App","7","7","CoxApp","R","2024-11-01","100.0","S UPPORT","Support_containment_rate","2025-02-19"
"16","Account Settings","Contact Preferences","9","9","CoxApp","R","2024-11-01","100.0","LOG IN","Login_containment_rate","2025-02-19"
"64","Phone Support","Phone Service Interruption","3","0","CoxApp","R","2024-11-01","0.0","S UPPORT","Support_containment_rate","2025-02-19"
"18","Account Settings","Identity Management - Users","3339","3297","CoxApp","R","2024-11-01","98.74","LOG IN","Login_containment_rate","2025-02-19"
"33","General Support","All Service Interruption","1928","1865","CoxApp","R","2024-11-01","96.73","S UPPORT","Support_containment_rate","2025-02-19"
"70","TV Support","TV Mobile App","164","164","CoxApp","R","2024-11-01","100.0","S UPPORT","Support_containment_rate","2025-02-19"
"58","Mobile Support","Mobile General Inquiry","110","106","CoxApp","R","2024-11-01","96.36","S UPPORT","Support_containment_rate","2025-02-19"
"7","Billing","Non-Pay Suspension/Disconnect","3256","3156","CoxApp","R","2024-11-01","96.93","BIL LING","Billing_containment_rate","2025-02-19"
"8","Billing","Pay Bill","43189","42965","CoxApp","R","2024-11-01","99.48","BIL LING","Billing_containment_rate","2025-02-19"
"76","Security Support","Security Mobile App","25","23","CoxApp","R","2024-11-01","92.0","S UPPORT","Support_containment_rate","2025-02-19"
"49","Internet Support","Internet General Inquiry","2","2","CoxApp","R","2024-11-01","100.0","S UPPORT","Support_containment_rate","2025-02-19"
