date,Flow Name (v42),ALTRX - Res: NC Visits,ALTRX - Res: CC Visits,ALTRX - Res: Transfer Visits
Mon. 17 Mar. 2025,WLS:Existing Customer C2C Downgrade,0,4,0
Tue. 18 Mar. 2025,WLS:Existing Customer C2C Downgrade,1,5,0
Wed. 19 Mar. 2025,WLS:Existing Customer C2C Downgrade,0,5,0
Thu. 20 Mar. 2025,WLS:Existing Customer C2C Downgrade,0,6,0
Sat. 22 Mar. 2025,WLS:Existing Customer C2C Downgrade,0,5,0
Fri. 21 Mar. 2025,WLS:Existing Customer C2C Downgrade,0,12,0
Sat. 22 Mar. 2025,transfer:transfer-as-is,0,0,0
Sat. 22 Mar. 2025,WLS:lead-mobile-transfer-lead,0,0,1
Sun. 23 Mar. 2025,transfer:transfer-as-is,0,0,2
Sun. 23 Mar. 2025,WLS:lead-mobile-transfer-lead,0,0,0
Mon. 17 Mar. 2025,transfer:transfer-as-is,0,0,0
Mon. 17 Mar. 2025,WLS:lead-mobile-transfer-lead,0,0,0
Tue. 18 Mar. 2025,transfer:transfer-as-is,0,0,0
Tue. 18 Mar. 2025,WLS:lead-mobile-transfer-lead,0,0,0
Wed. 19 Mar. 2025,transfer:transfer-as-is,0,0,0
Wed. 19 Mar. 2025,WLS:lead-mobile-transfer-lead,0,0,0
Thu. 20 Mar. 2025,transfer:transfer-as-is,0,0,0
Thu. 20 Mar. 2025,WLS:lead-mobile-transfer-lead,0,0,0
Fri. 21 Mar. 2025,transfer:transfer-as-is,0,0,0
Fri. 21 Mar. 2025,WLS:lead-mobile-transfer-lead,0,0,0
Mon. 17 Mar. 2025,main:StraightUp Internet Shop,0,0,0
Mon. 17 Mar. 2025,equip-swap:upgrade-commitment,0,0,0
Tue. 18 Mar. 2025,main:StraightUp Internet Shop,1,1,0
Tue. 18 Mar. 2025,equip-swap:upgrade-commitment,0,0,0
Wed. 19 Mar. 2025,main:StraightUp Internet Shop,1,0,0
Wed. 19 Mar. 2025,equip-swap:upgrade-commitment,0,1,0
Thu. 20 Mar. 2025,main:StraightUp Internet Shop,2,0,0
Thu. 20 Mar. 2025,equip-swap:upgrade-commitment,0,0,0
Fri. 21 Mar. 2025,main:StraightUp Internet Shop,0,0,0
Fri. 21 Mar. 2025,equip-swap:upgrade-commitment,0,1,0
Fri. 21 Mar. 2025,etailer:etailer,0,0,0
Fri. 21 Mar. 2025,WLS:AllConnect Cart,0,0,0
Sat. 22 Mar. 2025,etailer:etailer,0,0,0
Sat. 22 Mar. 2025,WLS:AllConnect Cart,0,0,0
Sun. 23 Mar. 2025,WLS:Existing Customer C2C Downgrade,0,4,0
Mon. 17 Mar. 2025,WLS:StraightUp Internet Shop,2,1,0
Tue. 18 Mar. 2025,WLS:StraightUp Internet Shop,1,3,0
Wed. 19 Mar. 2025,WLS:StraightUp Internet Shop,1,1,0
Thu. 20 Mar. 2025,WLS:StraightUp Internet Shop,2,2,0
Fri. 21 Mar. 2025,WLS:StraightUp Internet Shop,3,2,0
Sat. 22 Mar. 2025,WLS:StraightUp Internet Shop,1,5,0
